generator_directory,error_type,peripheral,register,field_name,key,correct_value,generated_value
23,missing,afio,evcr,port,bit_offset,4,
23,missing,afio,evcr,port,access,read-write,
23,missing,afio,evcr,port,bit_width,3,
23,missing,afio,mapr,i2c1_remap,bit_offset,1,
23,missing,afio,mapr,i2c1_remap,access,read-write,
23,missing,afio,mapr,i2c1_remap,bit_width,1,
23,missing,afio,mapr,spi1_remap,bit_offset,0,
23,missing,afio,mapr,spi1_remap,access,read-write,
23,missing,afio,mapr,spi1_remap,bit_width,1,
23,missing,afio,mapr,tim1_remap,bit_offset,6,
23,missing,afio,mapr,tim1_remap,access,read-write,
23,missing,afio,mapr,tim1_remap,bit_width,2,
23,missing,afio,mapr,tim2_remap,bit_offset,8,
23,missing,afio,mapr,tim2_remap,access,read-write,
23,missing,afio,mapr,tim2_remap,bit_width,2,
23,missing,afio,mapr,tim3_remap,bit_offset,10,
23,missing,afio,mapr,tim3_remap,access,read-write,
23,missing,afio,mapr,tim3_remap,bit_width,2,
23,missing,afio,mapr,tim5ch4_iremap,bit_offset,16,
23,missing,afio,mapr,tim5ch4_iremap,access,read-write,
23,missing,afio,mapr,tim5ch4_iremap,bit_width,1,
23,missing,afio,mapr,usart1_remap,bit_offset,2,
23,missing,afio,mapr,usart1_remap,access,read-write,
23,missing,afio,mapr,usart1_remap,bit_width,1,
23,missing,afio,mapr,usart2_remap,bit_offset,3,
23,missing,afio,mapr,usart2_remap,access,read-write,
23,missing,afio,mapr,usart2_remap,bit_width,1,
23,missing,afio,mapr,usart3_remap,bit_offset,4,
23,missing,afio,mapr,usart3_remap,access,read-write,
23,missing,afio,mapr,usart3_remap,bit_width,2,
23,missing,afio,mapr2,tim13_remap,bit_offset,8,
23,missing,afio,mapr2,tim13_remap,access,read-write,
23,missing,afio,mapr2,tim13_remap,bit_width,1,
23,missing,afio,mapr2,tim14_remap,bit_offset,9,
23,missing,afio,mapr2,tim14_remap,access,read-write,
23,missing,afio,mapr2,tim14_remap,bit_width,1,
23,missing,afio,mapr2,tim1_dma_remap,bit_offset,4,
23,missing,afio,mapr2,tim1_dma_remap,access,read-write,
23,missing,afio,mapr2,tim1_dma_remap,bit_width,1,
23,missing,afio,mapr2,tim67_dac_dma_remap,bit_offset,11,
23,missing,afio,mapr2,tim67_dac_dma_remap,access,read-write,
23,missing,afio,mapr2,tim67_dac_dma_remap,bit_width,1,
23,missing,afio,mapr2,cec_remap,bit_offset,3,
23,missing,afio,mapr2,cec_remap,access,read-write,
23,missing,afio,mapr2,cec_remap,bit_width,1,
23,missing,afio,mapr2,tim15_remap,bit_offset,0,
23,missing,afio,mapr2,tim15_remap,access,read-write,
23,missing,afio,mapr2,tim15_remap,bit_width,1,
23,missing,afio,mapr2,tim16_remap,bit_offset,1,
23,missing,afio,mapr2,tim16_remap,access,read-write,
23,missing,afio,mapr2,tim16_remap,bit_width,1,
23,missing,afio,mapr2,tim17_remap,bit_offset,2,
23,missing,afio,mapr2,tim17_remap,access,read-write,
23,missing,afio,mapr2,tim17_remap,bit_width,1,
23,missing,bkp,csr,,address_offset,0x34,
23,missing,bkp,csr,,reset_value,0x00000000,
23,missing,bkp,csr,,size,16,
23,missing,bkp,csr,tpie,bit_offset,2,
23,missing,bkp,csr,tpie,access,read-write,
23,missing,bkp,csr,tpie,bit_width,1,
23,missing,bkp,csr,cte,bit_offset,0,
23,missing,bkp,csr,cte,access,write-only,
23,missing,bkp,csr,cte,bit_width,1,
23,missing,bkp,csr,cti,bit_offset,1,
23,missing,bkp,csr,cti,access,write-only,
23,missing,bkp,csr,cti,bit_width,1,
23,missing,bkp,csr,tef,bit_offset,8,
23,missing,bkp,csr,tef,access,read-only,
23,missing,bkp,csr,tef,bit_width,1,
23,missing,bkp,csr,tif,bit_offset,9,
23,missing,bkp,csr,tif,access,read-only,
23,missing,bkp,csr,tif,bit_width,1,
23,wrong,bkp,dr17,,address_offset,0x54,0x58
23,wrong,cec,csr,tsom,access,read-write,write-only
23,missing,cec,esr,rbtfe,bit_offset,2,
23,missing,cec,esr,rbtfe,access,read-only,
23,missing,cec,esr,rbtfe,bit_width,1,
23,missing,dac,dor1,,address_offset,0x2C,
23,missing,dac,dor1,,reset_value,0x00000000,
23,missing,dac,dor1,,size,32,
23,missing,dac,dor1,dacc1dor,bit_offset,0,
23,missing,dac,dor1,dacc1dor,access,read-only,
23,missing,dac,dor1,dacc1dor,bit_width,12,
23,missing,dac,dor2,,address_offset,0x30,
23,missing,dac,dor2,,reset_value,0x00000000,
23,missing,dac,dor2,,size,32,
23,missing,dac,dor2,dacc2dor,bit_offset,0,
23,missing,dac,dor2,dacc2dor,access,read-only,
23,missing,dac,dor2,dacc2dor,bit_width,12,
23,missing,exti,emr,mr0,bit_offset,0,
23,missing,exti,emr,mr0,access,read-write,
23,missing,exti,emr,mr0,bit_width,1,
23,missing,exti,emr,mr1,bit_offset,1,
23,missing,exti,emr,mr1,access,read-write,
23,missing,exti,emr,mr1,bit_width,1,
23,missing,exti,emr,mr10,bit_offset,10,
23,missing,exti,emr,mr10,access,read-write,
23,missing,exti,emr,mr10,bit_width,1,
23,missing,exti,emr,mr11,bit_offset,11,
23,missing,exti,emr,mr11,access,read-write,
23,missing,exti,emr,mr11,bit_width,1,
23,missing,exti,emr,mr12,bit_offset,12,
23,missing,exti,emr,mr12,access,read-write,
