generator_directory,peripheral,register,register_found,correct,wrong,missing,total_facts,accuracy
23,afio,evcr,True,9,0,3,12,75.0
23,afio,exticr1,True,15,0,0,15,100.0
23,afio,exticr2,True,15,0,0,15,100.0
23,afio,exticr3,True,15,0,0,15,100.0
23,afio,exticr4,True,15,0,0,15,100.0
23,afio,mapr,True,12,0,27,39,30.76923076923077
23,afio,mapr2,True,12,0,24,36,33.33333333333333
23,bkp,cr,True,9,0,0,9,100.0
23,bkp,csr,False,0,0,18,18,0.0
23,bkp,dr1,True,5,0,0,5,100.0
23,bkp,dr10,True,5,0,0,5,100.0
23,bkp,dr11,True,5,0,0,5,100.0
23,bkp,dr12,True,5,0,0,5,100.0
23,bkp,dr13,True,5,0,0,5,100.0
23,bkp,dr14,True,5,0,0,5,100.0
23,bkp,dr15,True,5,0,0,5,100.0
23,bkp,dr16,True,5,0,0,5,100.0
23,bkp,dr17,True,4,1,0,5,80.0
23,bkp,dr18,True,5,0,0,5,100.0
23,bkp,dr19,True,5,0,0,5,100.0
23,bkp,dr2,True,5,0,0,5,100.0
23,bkp,dr20,True,5,0,0,5,100.0
23,bkp,dr3,True,5,0,0,5,100.0
23,bkp,dr4,True,5,0,0,5,100.0
23,bkp,dr5,True,5,0,0,5,100.0
23,bkp,dr6,True,5,0,0,5,100.0
23,bkp,dr7,True,5,0,0,5,100.0
23,bkp,dr8,True,5,0,0,5,100.0
23,bkp,dr9,True,5,0,0,5,100.0
23,bkp,rtccr,True,15,0,0,15,100.0
23,cec,cfgr,True,15,0,0,15,100.0
23,cec,csr,True,26,1,0,27,96.29629629629629
23,cec,esr,True,21,0,3,24,87.5
23,cec,oar,True,6,0,0,6,100.0
23,cec,pres,True,6,0,0,6,100.0
23,cec,rxd,True,6,0,0,6,100.0
23,cec,txd,True,6,0,0,6,100.0
23,crc,cr,True,6,0,0,6,100.0
23,crc,dr,True,6,0,0,6,100.0
23,crc,idr,True,6,0,0,6,100.0
23,dac,cr,True,51,0,0,51,100.0
23,dac,dhr12l1,True,6,0,0,6,100.0
23,dac,dhr12l2,True,6,0,0,6,100.0
23,dac,dhr12ld,True,9,0,0,9,100.0
23,dac,dhr12r1,True,6,0,0,6,100.0
23,dac,dhr12r2,True,6,0,0,6,100.0
23,dac,dhr12rd,True,9,0,0,9,100.0
23,dac,dhr8r1,True,6,0,0,6,100.0
23,dac,dhr8r2,True,6,0,0,6,100.0
23,dac,dhr8rd,True,9,0,0,9,100.0
23,dac,dor1,False,0,0,6,6,0.0
23,dac,dor2,False,0,0,6,6,0.0
23,dac,sr,True,9,0,0,9,100.0
23,dac,swtrigr,True,9,0,0,9,100.0
23,exti,emr,True,3,0,54,57,5.263157894736842
23,exti,ftsr,True,3,0,54,57,5.263157894736842
23,exti,imr,True,3,0,54,57,5.263157894736842
23,exti,pr,True,2,1,54,57,3.508771929824561
23,exti,rtsr,True,3,0,54,57,5.263157894736842
23,exti,swier,True,3,0,54,57,5.263157894736842
23,flash,acr,True,6,0,0,6,100.0
23,flash,ar,False,0,0,2,2,0.0
23,flash,cr,False,0,0,7,7,0.0
23,flash,keyr,False,0,0,2,2,0.0
23,flash,obr,False,0,0,5,5,0.0
23,flash,optkeyr,False,0,0,2,2,0.0
23,flash,sr,False,0,0,5,5,0.0
23,flash,wrpr,False,0,0,3,3,0.0
23,fsmc,bcr1,True,3,0,43,46,6.521739130434782
23,fsmc,bcr2,True,3,0,44,47,6.382978723404255
23,fsmc,bcr3,True,3,0,44,47,6.382978723404255
23,fsmc,bcr4,True,3,0,44,47,6.382978723404255
23,fsmc,btr1,True,23,1,0,24,95.83333333333334
23,fsmc,btr2,True,23,1,0,24,95.83333333333334
23,fsmc,btr3,True,23,1,0,24,95.83333333333334
23,fsmc,btr4,True,23,1,0,24,95.83333333333334
23,fsmc,bwtr1,True,14,1,0,15,93.33333333333333
23,fsmc,bwtr2,True,16,1,0,17,94.11764705882352
23,fsmc,bwtr3,True,16,1,0,17,94.11764705882352
23,fsmc,bwtr4,True,16,1,0,17,94.11764705882352
23,iwdg,kr,True,5,1,0,6,83.33333333333334
23,iwdg,pr,True,6,0,0,6,100.0
23,iwdg,rlr,True,6,0,0,6,100.0
23,iwdg,sr,True,9,0,0,9,100.0
23,pwr,cr,True,22,2,0,24,91.66666666666666
23,pwr,csr,True,15,0,0,15,100.0
23,rcc,ahbenr,False,0,0,21,21,0.0
23,rcc,apb1enr,True,60,9,0,69,86.95652173913044
23,rcc,apb1rstr,False,0,0,73,73,0.0
23,rcc,apb2enr,True,48,0,0,48,100.0
23,rcc,apb2rstr,False,0,0,48,48,0.0
23,rcc,bdcr,True,21,0,0,21,100.0
23,rcc,cfgr,False,0,0,33,33,0.0
23,rcc,cfgr2,False,0,0,6,6,0.0
23,rcc,cir,False,0,0,54,54,0.0
23,rcc,cr,False,0,0,33,33,0.0
23,rcc,csr,False,0,0,30,30,0.0
23,rtc,alrh,True,3,0,3,6,50.0
23,rtc,alrl,True,3,0,3,6,50.0
23,rtc,cnth,True,3,0,3,6,50.0
23,rtc,cntl,True,3,0,3,6,50.0
23,rtc,crh,True,12,0,0,12,100.0
23,rtc,crl,True,21,0,0,21,100.0
23,rtc,divh,True,3,0,3,6,50.0
23,rtc,divl,True,3,0,3,6,50.0
23,rtc,prlh,True,6,0,0,6,100.0
23,rtc,prll,True,6,0,0,6,100.0
23,tim1,arr,True,6,0,0,6,100.0
23,tim1,bdtr,False,0,0,27,27,0.0
23,tim1,ccer,True,12,0,33,45,26.666666666666668
23,tim1,ccmr1_input,False,0,0,6,6,0.0
23,tim1,ccmr1_output,False,0,0,10,10,0.0
23,tim1,ccmr2_input,False,0,0,6,6,0.0
23,tim1,ccmr2_output,False,0,0,10,10,0.0
23,tim1,ccr1,True,5,1,0,6,83.33333333333334
23,tim1,ccr2,True,6,0,0,6,100.0
23,tim1,ccr3,True,5,1,0,6,83.33333333333334
23,tim1,ccr4,True,6,0,0,6,100.0
23,tim1,cnt,True,6,0,0,6,100.0
23,tim1,cr1,True,27,0,0,27,100.0
23,tim1,cr2,True,0,3,36,39,0.0
23,tim1,dcr,False,0,0,9,9,0.0
23,tim1,dier,True,0,0,15,15,0.0
23,tim1,dmar,True,1,0,0,1,100.0
23,tim1,egr,True,0,0,8,8,0.0
23,tim1,psc,True,0,0,1,1,0.0
23,tim1,rcr,True,2,0,0,2,100.0
23,tim1,smcr,True,12,0,0,12,100.0
23,tim1,sr,True,12,0,0,12,100.0
23,tim12,arr,True,2,0,0,2,100.0
23,tim12,ccer,True,6,0,0,6,100.0
23,tim12,ccmr1_input,False,0,0,6,6,0.0
23,tim12,ccmr1_output,False,0,0,8,8,0.0
23,tim12,ccr1,True,0,1,0,1,0.0
23,tim12,ccr2,True,0,1,0,1,0.0
23,tim12,cnt,True,1,0,0,1,100.0
23,tim12,cr1,True,9,0,0,9,100.0
23,tim12,cr2,True,1,0,0,1,100.0
23,tim12,dier,False,0,0,4,4,0.0
23,tim12,egr,False,0,0,5,5,0.0
23,tim12,psc,True,1,0,0,1,100.0
23,tim12,smcr,True,3,0,0,3,100.0
23,tim12,sr,True,0,6,0,6,0.0
23,tim13,arr,True,2,0,0,2,100.0
23,tim13,ccer,True,3,0,0,3,100.0
23,tim13,ccmr1_input,False,0,0,3,3,0.0
23,tim13,ccmr1_output,False,0,0,4,4,0.0
23,tim13,ccr1,True,1,0,0,1,100.0
23,tim13,cnt,False,0,0,1,1,0.0
23,tim13,cr1,False,0,0,5,5,0.0
23,tim13,dier,True,2,0,0,2,100.0
23,tim13,egr,False,0,0,2,2,0.0
23,tim13,psc,True,1,0,0,1,100.0
23,tim13,sr,True,3,0,0,3,100.0
23,tim15,arr,True,1,0,0,1,100.0
23,tim15,bdtr,True,9,0,0,9,100.0
23,tim15,ccer,False,0,0,10,10,0.0
23,tim15,ccmr1_input,False,0,0,6,6,0.0
23,tim15,ccmr1_output,False,0,0,8,8,0.0
23,tim15,ccr1,True,1,0,0,1,100.0
23,tim15,ccr2,True,2,0,0,2,100.0
23,tim15,cnt,True,1,0,0,1,100.0
23,tim15,cr1,True,6,0,0,6,100.0
23,tim15,cr2,True,7,0,0,7,100.0
23,tim15,dcr,True,5,0,0,5,100.0
23,tim15,dier,True,10,0,0,10,100.0
23,tim15,dmar,True,2,0,0,2,100.0
23,tim15,egr,True,0,5,1,6,0.0
23,tim15,psc,True,1,0,0,1,100.0
23,tim15,rcr,True,1,0,0,1,100.0
23,tim15,smcr,True,0,0,3,3,0.0
23,tim15,sr,True,0,8,0,8,0.0
23,tim16,arr,True,1,0,0,1,100.0
23,tim16,bdtr,False,0,0,8,8,0.0
23,tim16,ccer,False,0,0,4,4,0.0
23,tim16,ccmr1_input,False,0,0,3,3,0.0
23,tim16,ccmr1_output,False,0,0,4,4,0.0
23,tim16,ccr1,True,0,1,0,1,0.0
23,tim16,cnt,False,0,0,1,1,0.0
23,tim16,cr1,True,6,0,0,6,100.0
23,tim16,cr2,True,0,0,5,5,0.0
23,tim16,dcr,True,2,0,0,2,100.0
23,tim16,dier,False,0,0,8,8,0.0
23,tim16,dmar,True,1,0,0,1,100.0
23,tim16,egr,False,0,0,5,5,0.0
23,tim16,psc,False,0,0,1,1,0.0
23,tim16,rcr,True,1,0,0,1,100.0
23,tim16,sr,False,0,0,6,6,0.0
23,tim2,arr,True,2,0,0,2,100.0
23,tim2,ccer,False,0,0,8,8,0.0
23,tim2,ccmr1_input,False,0,0,6,6,0.0
23,tim2,ccmr1_output,False,0,0,10,10,0.0
23,tim2,ccmr2_input,True,6,0,0,6,100.0
23,tim2,ccmr2_output,True,10,0,0,10,100.0
23,tim2,ccr1,False,0,0,1,1,0.0
23,tim2,ccr2,True,1,0,0,1,100.0
23,tim2,ccr3,True,1,0,0,1,100.0
23,tim2,ccr4,False,0,0,1,1,0.0
23,tim2,cnt,True,1,0,0,1,100.0
23,tim2,cr1,True,5,0,3,8,62.5
23,tim2,cr2,False,0,0,3,3,0.0
23,tim2,dcr,False,0,0,2,2,0.0
23,tim2,dier,True,2,0,10,12,16.666666666666664
23,tim2,dmar,False,0,0,1,1,0.0
23,tim2,egr,False,0,0,6,6,0.0
23,tim2,psc,True,1,0,0,1,100.0
23,tim2,smcr,False,0,0,9,9,0.0
23,tim2,sr,False,0,0,10,10,0.0
23,tim6,arr,True,2,0,0,2,100.0
23,tim6,cnt,True,1,0,0,1,100.0
23,tim6,cr1,True,0,0,5,5,0.0
23,tim6,cr2,True,1,0,0,1,100.0
23,tim6,dier,True,2,0,0,2,100.0
23,tim6,egr,True,1,0,0,1,100.0
23,tim6,psc,True,1,0,0,1,100.0
23,tim6,sr,True,2,0,0,2,100.0
23,wwdg,cfr,True,3,0,0,3,100.0
23,wwdg,cr,True,3,0,0,3,100.0
23,wwdg,sr,True,1,0,0,1,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,afio,evcr,False,0,0,12,12,0.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,afio,exticr1,True,15,0,0,15,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,afio,exticr2,True,15,0,0,15,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,afio,exticr3,True,15,0,0,15,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,afio,exticr4,True,15,0,0,15,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,afio,mapr,True,39,0,0,39,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,afio,mapr2,True,27,6,3,36,75.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,cr,True,9,0,0,9,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,csr,False,0,0,18,18,0.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr1,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr10,True,4,1,0,5,80.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr11,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr12,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr13,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr14,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr15,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr16,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr17,True,4,1,0,5,80.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr18,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr19,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr2,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr20,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr3,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr4,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr5,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr6,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr7,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr8,True,5,0,0,5,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,dr9,True,4,1,0,5,80.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,bkp,rtccr,True,15,0,0,15,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,cec,cfgr,True,15,0,0,15,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,cec,csr,True,18,0,9,27,66.66666666666666
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,cec,esr,True,21,0,3,24,87.5
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,cec,oar,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,cec,pres,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,cec,rxd,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,cec,txd,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,crc,cr,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,crc,dr,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,crc,idr,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,cr,True,51,0,0,51,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dhr12l1,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dhr12l2,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dhr12ld,True,9,0,0,9,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dhr12r1,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dhr12r2,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dhr12rd,True,9,0,0,9,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dhr8r1,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dhr8r2,True,6,0,0,6,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dhr8rd,True,9,0,0,9,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dor1,False,0,0,6,6,0.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,dor2,False,0,0,6,6,0.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,sr,True,9,0,0,9,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,dac,swtrigr,True,9,0,0,9,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,exti,emr,True,57,0,0,57,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,exti,ftsr,True,57,0,0,57,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,exti,imr,True,57,0,0,57,100.0
local_rm0041_md_chunks_v2_emb2_rrlocal_mf_pa1,exti,pr,True,56,1,0,57,98.24561403508771
