SVD File,Crate,RM,Bug Description,PR,Status
"stm32c051, stm32c091, stm32c092",stm32-rs,rm0490,"CRC_POL: reset value: svd = 0x0, agent = 0x4C11DB7",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"EXTI_RTSR2: address offset: svd = 0x28, agent = 0x20",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"EXTI_FTSR2: address offset: svd = 0x2C, agent = 0x24",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"EXTI_SWIER2: address offset: svd = 0x30, agent = 0x28",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"EXTI_RPR2: address offset: svd = 0x34, agent = 0x2C",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"EXTI_FPR2: address offset: svd = 0x38, agent = 0x30",,
"stm32c091, stm32c092",stm32-rs,rm0490,"FLASH_CR_PNB: bit width: svd = 6, agent = 7",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"GPIOA_OSPEEDR: reset value: svd = 0x0, agent = 0xC000000",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOB\C\D\F_OSPEEDR: reset value: svd = 0xC000000, agent = 0x0",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"GPIOA_PUPDR: reset value: svd = 0x0, agent = 0x24000000",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOB\C\D\F_PUPDR: reset value: svd = 0x24000000, agent = 0x0",,
"stm32c011, stm32c031",stm32-rs,rm0490,"GPIOB\C\D\F_MODER: reset value: svd = 0xEBFFFFFF, agent = 0xFFFFFFFF",,
"stm32c051, stm32c091, stm32c092",stm32-rs,rm0490,"IWDG_WINR: reset value: svd = 0x0, agent = 0xFFF",,
"stm32c051, stm32c091, stm32c092",stm32-rs,rm0490,"RCC_APBSMENR1: reset value: svd = 0x18636C03, agent = 0x186F7C03",,
"stm32c051, stm32c071, stm32c091, stm32c092",stm32-rs,rm0490,"RCC_APBSMENR2: reset value: svd = 0x16D801, agent = 0x17D801",,
"stm32c031",stm32-rs,rm0490,"RCC_CSR1_LSEDRV: bit width: svd = 2, agent = 1",,
"stm32c011, stm32c031, stm32c071",stm32-rs,rm0490,"RTC_TSDR: reset value: svd = 0x2101, agent = 0x0",,
