SVD File,Crate,RM,Bug Description,PR,Status
"stm32h742, stm32h743, stm32h753, stm32h753v",stm32-rs,rm0433,"ADC3_HTR2: reset value: svd = 0x0, agent = 0xFFF0000, RM = 0x3FFFFFF",,
"stm32h742, stm32h743, stm32h753, stm32h753v",stm32-rs,rm0433,"ADC3_HTR3: reset value: svd = 0x0, agent = 0xFFF0000, RM = 0x3FFFFFF",,
"stm32h742, stm32h743, stm32h753v",stm32-rs,rm0433,"AXI_COMP_ID_0: reset value: svd = 0x4, agent = 0xD",,
"stm32h742, stm32h743, stm32h753v",stm32-rs,rm0433,"AXI_COMP_ID_2: reset value: svd = 0x4, agent = 0x5",,
"stm32h742, stm32h743, stm32h753v",stm32-rs,rm0433,"AXI_COMP_ID_3: reset value: svd = 0x4, agent = 0xB1",,
"stm32h742, stm32h743",stm32-rs,rm0433,"CRC_DR8: size: svd = 8, agent = 32",,
stm32h742,stm32-rs,rm0433,"DMAMUX2_C0CR_DMAREQ_ID: bit width: svd = 8, agent = 6, RM = 5",,
stm32h742,stm32-rs,rm0433,"DMAMUX2_C1CR_DMAREQ_ID: bit width: svd = 8, agent = 6, RM = 5",,
stm32h742,stm32-rs,rm0433,"DMAMUX2_C2CR_DMAREQ_ID: bit width: svd = 8, agent = 6, RM = 5",,
stm32h742,stm32-rs,rm0433,"DMAMUX2_C3CR_DMAREQ_ID: bit width: svd = 8, agent = 6, RM = 5",,
stm32h742,stm32-rs,rm0433,"FDCAN1_CREL: reset value: svd = 0x0, agent = 0x32141218",,
stm32h742,stm32-rs,rm0433,"FDCAN1_DBTP: reset value: svd = 0x0, agent = 0xA33",,
stm32h742,stm32-rs,rm0433,"FDCAN1_ENDN: reset value: svd = 0x0, agent = 0x87654321",,
stm32h742,stm32-rs,rm0433,"FDCAN1_NBTP: reset value: svd = 0x0, agent = 0x6000A03",,
stm32h742,stm32-rs,rm0433,"FDCAN1_PSR: reset value: svd = 0x0, agent = 0x707",,
stm32h742,stm32-rs,rm0433,"FDCAN1_TTCTC: reset value: svd = 0x0, agent = 0x3F0000",,
stm32h742,stm32-rs,rm0433,"FDCAN2_CCCR: reset value: svd = 0x0, agent = 0x1",,
stm32h742,stm32-rs,rm0433,"FDCAN2_CREL: reset value: svd = 0x0, agent = 0x32141218",,
stm32h742,stm32-rs,rm0433,"FDCAN2_DBTP: reset value: svd = 0x0, agent = 0xA33",,
stm32h742,stm32-rs,rm0433,"FDCAN2_ENDN: reset value: svd = 0x0, agent = 0x87654321",,
stm32h742,stm32-rs,rm0433,"FDCAN2_NBTP: reset value: svd = 0x0, agent = 0x6000A03",,
stm32h742,stm32-rs,rm0433,"FDCAN2_PSR: reset value: svd = 0x0, agent = 0x707",,
stm32h742,stm32-rs,rm0433,"FDCAN2_TOCC: reset value: svd = 0x0, agent = 0xFFFF0000",,
stm32h742,stm32-rs,rm0433,"FDCAN2_TOCV: reset value: svd = 0x0, agent = 0xFFFF",,
