model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name
gpt-oss-120b,4355,2560,780,412,5135,exti,imr
gpt-oss-120b,4355,4352,747,355,5102,exti,emr
gpt-oss-120b,3313,0,527,402,3840,exti,rtsr
gpt-oss-120b,3711,0,770,307,4481,exti,swier
gpt-oss-120b,3313,3072,258,124,3571,exti,ftsr
gpt-oss-120b,5103,4864,791,362,5894,exti,pr
gpt-oss-120b,17682,2560,1810,430,19492,tim2,dier
gpt-oss-120b,18814,2560,521,260,19335,tim2,psc
gpt-oss-120b,8359,2560,801,409,9160,tim2,ccr3
gpt-oss-120b,24950,2560,1768,452,26718,tim2,sr
gpt-oss-120b,18363,2560,1184,286,19547,tim2,cr2
gpt-oss-120b,51019,2560,728,463,51747,tim2,arr
gpt-oss-120b,9646,2560,598,209,10244,tim2,dmar
