model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name
gpt-oss-120b,3313,0,501,367,3814,exti,ftsr
gpt-oss-120b,4355,0,864,389,5219,exti,emr
gpt-oss-120b,3313,0,441,309,3754,exti,rtsr
gpt-oss-120b,5103,2560,901,446,6004,exti,pr
gpt-oss-120b,3711,2560,2703,501,6414,exti,swier
gpt-oss-120b,4355,0,797,419,5152,exti,imr
gpt-oss-120b,4532,0,530,380,5062,bkp,dr42
gpt-oss-120b,4532,0,389,277,4921,bkp,dr32
gpt-oss-120b,9570,2560,1588,795,11158,bkp,dr18
gpt-oss-120b,4532,0,493,315,5025,bkp,dr23
gpt-oss-120b,4532,0,436,297,4968,bkp,dr33
gpt-oss-120b,4532,2560,363,218,4895,bkp,dr40
gpt-oss-120b,9604,6912,1173,498,10777,bkp,dr3
gpt-oss-120b,4532,2560,480,309,5012,bkp,dr37
gpt-oss-120b,4532,0,1281,790,5813,bkp,dr2
gpt-oss-120b,4532,2560,245,110,4777,bkp,dr27
gpt-oss-120b,4532,2560,293,153,4825,bkp,dr36
gpt-oss-120b,9652,5120,1217,520,10869,bkp,dr5
gpt-oss-120b,9508,5120,1485,727,10993,bkp,dr15
gpt-oss-120b,4532,2560,380,218,4912,bkp,dr30
gpt-oss-120b,9592,5120,1652,823,11244,bkp,dr8
gpt-oss-120b,9576,2560,1713,1083,11289,bkp,dr17
gpt-oss-120b,9550,5120,1520,849,11070,bkp,dr9
gpt-oss-120b,4532,2560,258,108,4790,bkp,dr31
gpt-oss-120b,4532,2560,400,273,4932,bkp,dr35
gpt-oss-120b,4532,2560,320,200,4852,bkp,dr22
gpt-oss-120b,4532,2560,365,183,4897,bkp,dr25
gpt-oss-120b,5543,2560,920,389,6463,bkp,cr
gpt-oss-120b,9573,5120,1247,560,10820,bkp,dr4
gpt-oss-120b,9616,5120,1320,675,10936,bkp,dr19
gpt-oss-120b,9474,5120,1054,529,10528,bkp,dr13
gpt-oss-120b,4532,2560,281,166,4813,bkp,dr24
gpt-oss-120b,4532,2560,1656,1133,6188,bkp,dr11
gpt-oss-120b,9617,5120,1221,437,10838,bkp,dr1
gpt-oss-120b,6051,2560,1034,366,7085,bkp,rtccr
gpt-oss-120b,4532,0,367,187,4899,bkp,dr38
gpt-oss-120b,4532,0,370,212,4902,bkp,dr39
gpt-oss-120b,9514,5120,1573,866,11087,bkp,dr6
gpt-oss-120b,9546,2560,1844,1114,11390,bkp,dr14
gpt-oss-120b,4531,2560,1513,392,6044,bkp,csr
gpt-oss-120b,4532,2560,629,490,5161,bkp,dr28
gpt-oss-120b,4532,2560,412,289,4944,bkp,dr34
gpt-oss-120b,9504,5120,1139,566,10643,bkp,dr16
gpt-oss-120b,4532,2560,470,320,5002,bkp,dr26
gpt-oss-120b,9558,5120,1560,924,11118,bkp,dr10
gpt-oss-120b,9619,5120,1634,973,11253,bkp,dr12
gpt-oss-120b,4532,2560,253,96,4785,bkp,dr21
gpt-oss-120b,9597,5120,1415,763,11012,bkp,dr20
gpt-oss-120b,4532,2560,423,302,4955,bkp,dr29
gpt-oss-120b,4532,2560,303,101,4835,bkp,dr41
gpt-oss-120b,9581,5120,1412,584,10993,bkp,dr7
gpt-oss-120b,12603,2560,587,250,13190,tim2,ccr2
