peripheral_name,start_page,end_page,total_tokens,chunk_count_800_400,total_tokens_chunks_800_400
crc,48,49,1692,4,3200
pwr,60,63,2675,6,4800
bkp,66,70,19526,48,38400
rcc,80,101,15320,38,30400
gpio,113,116,3684,9,7200
afio,123,131,14922,37,29600
exti,140,143,14125,35,28000
dma,154,161,12375,30,24000
adc,175,189,27219,68,54400
dac,202,211,10879,27,21600
tim1,257,283,24658,61,48800
tim2/tim3/tim5,321,341,19905,49,39200
tim12,364,378,12719,31,24800
tim13/tim14,379,387,8510,21,16800
tim15,415,436,19466,48,38400
tim16/tim17,437,455,16228,40,32000
tim6/tim7,463,468,4994,12,9600
rtc,474,480,7935,19,15200
iwdg,483,486,2956,7,5600
wwdg,491,493,1729,4,3200
fsmc,526,535,8098,20,16000
spi,559,565,5764,14,11200
i2c,586,598,9656,24,19200
usart,636,646,7883,19,15200
cec,663,668,5248,13,10400
swdp,682,682,581,1,800
swap,682,682,581,1,800
dbgmcu,689,690,1340,3,2400
tpiu,696,696,617,1,800
dbg,698,698,657,1,800
des,699,701,2438,6,4800
