peripheral,register,field_name,key,just_svd,just_output,both,SourceFile
tim16,sr,uif,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,smcr,ts,enum_names,0,8,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,csr,lsion,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,spi2rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,ahbenr,dma2en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,tim14rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
cec,cfgr,ie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,afioen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,dier,uie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim12,sr,cc1if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,tim12en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim13,egr,ug,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,csr,wwdgrstf,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,iopgrst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,egr,cc4g,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,bdtr,ossi,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr3,accmod,enum_names,0,4,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,ccer,cc1e,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,cecen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,bdtr,lock,enum_names,0,4,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,afiorst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,iopfrst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,tim2rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,iopeen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,tim13rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,smcr,ece,enum_names,0,1,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,uart4en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,dcr,dbl,enum_names,0,4,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,bdcr,rtcen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr2,busturn,bit_offset,16,15,evaluation/results/rm0041/11/original/field_diff.csv
