peripheral,just_svd,both,SourceFile
dac,0,14,evaluation/results/rm0041/11/original/register_summary.csv
bkp,0,45,evaluation/results/rm0041/11/original/register_summary.csv
tim1,4,18,evaluation/results/rm0041/11/original/register_summary.csv
afio,0,7,evaluation/results/rm0041/11/original/register_summary.csv
wwdg,0,3,evaluation/results/rm0041/11/original/register_summary.csv
cec,1,6,evaluation/results/rm0041/11/original/register_summary.csv
tim15,2,16,evaluation/results/rm0041/11/original/register_summary.csv
flash,0,8,evaluation/results/rm0041/11/original/register_summary.csv
exti,0,6,evaluation/results/rm0041/11/original/register_summary.csv
rtc,0,10,evaluation/results/rm0041/11/original/register_summary.csv
tim12,2,12,evaluation/results/rm0041/11/original/register_summary.csv
tim6,0,8,evaluation/results/rm0041/11/original/register_summary.csv
fsmc,0,12,evaluation/results/rm0041/11/original/register_summary.csv
rcc,0,11,evaluation/results/rm0041/11/original/register_summary.csv
tim2,4,16,evaluation/results/rm0041/11/original/register_summary.csv
crc,0,3,evaluation/results/rm0041/11/original/register_summary.csv
tim16,2,14,evaluation/results/rm0041/11/original/register_summary.csv
tim13,2,9,evaluation/results/rm0041/11/original/register_summary.csv
dac,3,11,evaluation/results/rm0041/11/updated/register_summary.csv
tim12,5,9,evaluation/results/rm0041/11/updated/register_summary.csv
afio,1,6,evaluation/results/rm0041/11/updated/register_summary.csv
flash,1,7,evaluation/results/rm0041/11/updated/register_summary.csv
rcc,5,6,evaluation/results/rm0041/11/updated/register_summary.csv
tim15,8,10,evaluation/results/rm0041/11/updated/register_summary.csv
crc,2,1,evaluation/results/rm0041/11/updated/register_summary.csv
tim1,11,11,evaluation/results/rm0041/11/updated/register_summary.csv
cec,2,5,evaluation/results/rm0041/11/updated/register_summary.csv
rtc,1,9,evaluation/results/rm0041/11/updated/register_summary.csv
tim6,3,5,evaluation/results/rm0041/11/updated/register_summary.csv
tim2,10,10,evaluation/results/rm0041/11/updated/register_summary.csv
tim13,6,5,evaluation/results/rm0041/11/updated/register_summary.csv
bkp,14,31,evaluation/results/rm0041/11/updated/register_summary.csv
exti,2,4,evaluation/results/rm0041/11/updated/register_summary.csv
fsmc,5,7,evaluation/results/rm0041/11/updated/register_summary.csv
tim16,6,10,evaluation/results/rm0041/11/updated/register_summary.csv
wwdg,1,2,evaluation/results/rm0041/11/updated/register_summary.csv
