peripheral,register,field_name,key,just_svd,just_output,both
iwdg,sr,rvu,enum_names,0,2,0
iwdg,sr,pvu,enum_names,0,2,0
iwdg,kr,key,enum_names,0,1,0
iwdg,pr,pr,enum_names,0,7,0
tim6,sr,uif,enum_names,0,2,0
tim6,cr1,cen,enum_names,0,2,0
tim6,cr1,urs,enum_names,0,2,0
tim6,cr1,arpe,enum_names,0,2,0
tim6,cr1,udis,enum_names,0,2,0
tim6,cr1,opm,enum_names,0,2,0
tim6,cr2,mms,enum_names,0,8,0
tim6,dier,ude,enum_names,0,2,0
tim6,dier,uie,enum_names,0,2,0
tim15,sr,cc1of,enum_names,0,2,0
tim15,sr,cc2if,enum_names,0,2,0
tim15,sr,cc2of,enum_names,0,2,0
tim15,sr,uif,enum_names,0,2,0
tim15,sr,cc1if,enum_names,0,2,0
tim15,sr,comif,enum_names,0,2,0
tim15,sr,tif,enum_names,0,2,0
tim15,sr,bif,enum_names,0,2,0
tim15,bdtr,moe,enum_names,0,2,0
tim15,bdtr,lock,enum_names,0,4,0
tim15,bdtr,aoe,enum_names,0,2,0
tim15,bdtr,bke,enum_names,0,2,0
tim15,bdtr,ossr,enum_names,0,2,0
tim15,bdtr,bkp,enum_names,0,2,0
tim15,bdtr,ossi,enum_names,0,2,0
tim15,cr1,cen,enum_names,0,2,0
tim15,cr1,urs,enum_names,0,2,0
tim15,cr1,arpe,enum_names,0,2,0
tim15,cr1,ckd,enum_names,0,4,0
tim15,cr1,udis,enum_names,0,2,0
tim15,cr1,opm,enum_names,0,2,0
tim15,ccer,cc2np,enum_names,0,2,0
tim15,ccer,cc1ne,enum_names,0,2,0
tim15,ccer,cc2e,enum_names,0,2,0
tim15,ccer,cc2p,enum_names,0,2,0
tim15,ccer,cc1p,enum_names,0,2,0
tim15,ccer,cc1e,enum_names,0,2,0
tim15,ccer,cc1np,enum_names,0,2,0
tim15,cr2,ccus,enum_names,0,2,0
tim15,cr2,ois1n,enum_names,0,2,0
tim15,cr2,ccpc,enum_names,0,2,0
tim15,cr2,ccds,enum_names,0,2,0
tim15,cr2,mms,enum_names,0,6,0
tim15,cr2,ois2,enum_names,0,2,0
tim15,cr2,ois1,enum_names,0,2,0
tim15,dier,tde,enum_names,0,2,0
tim15,dier,bie,enum_names,0,2,0
tim15,dier,cc1ie,enum_names,0,2,0
tim15,dier,cc2ie,enum_names,0,2,0
tim15,dier,tie,enum_names,0,2,0
tim15,dier,comie,enum_names,0,2,0
tim15,dier,cc1de,enum_names,0,2,0
tim15,dier,uie,enum_names,0,2,0
tim15,dier,ude,enum_names,0,2,0
tim15,dier,cc2de,enum_names,0,2,0
tim15,egr,comg,enum_names,0,2,0
tim15,egr,cc2g,enum_names,0,2,0
tim15,egr,tg,enum_names,0,2,0
tim15,egr,ug,enum_names,0,2,0
tim15,egr,cc1g,enum_names,0,2,0
tim15,egr,bg,enum_names,0,2,0
tim15,smcr,ts,enum_names,0,7,0
tim15,smcr,sms,enum_names,0,8,0
tim15,smcr,msm,enum_names,0,2,0
flash,acr,hlfcya,enum_names,0,2,0
flash,cr,strt,enum_names,0,2,0
flash,cr,per,enum_names,0,2,0
flash,cr,optpg,enum_names,0,2,0
flash,cr,opter,enum_names,0,2,0
flash,cr,lock,enum_names,0,2,0
flash,cr,errie,enum_names,0,2,0
flash,cr,pg,enum_names,0,2,0
flash,cr,optwre,enum_names,0,2,0
flash,cr,mer,enum_names,0,2,0
flash,cr,eopie,enum_names,0,2,0
wwdg,cr,wdga,enum_names,0,2,0
wwdg,cfr,ewi,enum_names,0,2,0
wwdg,cfr,wdgtb,enum_names,0,4,0
pwr,csr,sbf,enum_names,0,2,0
pwr,csr,wuf,enum_names,0,2,0
pwr,csr,pvdo,enum_names,0,2,0
pwr,csr,ewup,enum_names,0,2,0
pwr,cr,dbp,enum_names,0,2,0
pwr,cr,pvde,enum_names,0,2,0
pwr,cr,csbf,enum_names,0,2,0
pwr,cr,cwuf,enum_names,0,2,0
pwr,cr,pdds,enum_names,0,2,0
pwr,cr,lpds,enum_names,0,2,0
pwr,cr,pls,enum_names,0,8,0
tim2,sr,cc1of,enum_names,0,2,0
tim2,sr,cc2if,enum_names,0,2,0
tim2,sr,cc3of,enum_names,0,2,0
tim2,sr,uif,enum_names,0,2,0
tim2,sr,cc4if,enum_names,0,2,0
tim2,sr,cc1if,enum_names,0,2,0
tim2,sr,cc2of,enum_names,0,2,0
tim2,sr,tif,enum_names,0,2,0
tim2,sr,cc4of,enum_names,0,2,0
tim2,sr,cc3if,enum_names,0,2,0
tim2,ccr2,ccr2,enum_names,0,1,0
tim2,cr1,cen,enum_names,0,2,0
tim2,cr1,cms,enum_names,0,4,0
tim2,cr1,urs,enum_names,0,2,0
tim2,cr1,arpe,enum_names,0,2,0
tim2,cr1,dir,enum_names,0,2,0
tim2,cr1,ckd,enum_names,0,4,0
tim2,cr1,udis,enum_names,0,2,0
tim2,cr1,opm,enum_names,0,2,0
