error_type,peripheral,register,field_name,key,correct_value,generated_value
missing,afio,mapr2,tim13_remap,bit_offset,8,
missing,afio,mapr2,tim13_remap,access,read-write,
missing,afio,mapr2,tim13_remap,bit_width,1,
missing,afio,mapr2,tim14_remap,bit_offset,9,
missing,afio,mapr2,tim14_remap,access,read-write,
missing,afio,mapr2,tim14_remap,bit_width,1,
missing,afio,mapr2,tim1_dma_remap,bit_offset,4,
missing,afio,mapr2,tim1_dma_remap,access,read-write,
missing,afio,mapr2,tim1_dma_remap,bit_width,1,
missing,afio,mapr2,tim67_dac_dma_remap,bit_offset,11,
missing,afio,mapr2,tim67_dac_dma_remap,access,read-write,
missing,afio,mapr2,tim67_dac_dma_remap,bit_width,1,
missing,afio,mapr2,cec_remap,bit_offset,3,
missing,afio,mapr2,cec_remap,access,read-write,
missing,afio,mapr2,cec_remap,bit_width,1,
missing,afio,mapr2,tim15_remap,bit_offset,0,
missing,afio,mapr2,tim15_remap,access,read-write,
missing,afio,mapr2,tim15_remap,bit_width,1,
missing,afio,mapr2,tim16_remap,bit_offset,1,
missing,afio,mapr2,tim16_remap,access,read-write,
missing,afio,mapr2,tim16_remap,bit_width,1,
missing,afio,mapr2,tim17_remap,bit_offset,2,
missing,afio,mapr2,tim17_remap,access,read-write,
missing,afio,mapr2,tim17_remap,bit_width,1,
wrong,bkp,dr17,,address_offset,0x54,0x58
missing,cec,esr,rbtfe,bit_offset,2,
missing,cec,esr,rbtfe,access,read-only,
missing,cec,esr,rbtfe,bit_width,1,
wrong,cec,txd,txd,access,read-write,write-only
wrong,dac,dhr12ld,,size,32,None
missing,dac,dhr12ld,dacc1dhr,bit_offset,4,
missing,dac,dhr12ld,dacc1dhr,access,read-write,
missing,dac,dhr12ld,dacc1dhr,bit_width,12,
missing,dac,dhr12ld,dacc2dhr,bit_offset,20,
missing,dac,dhr12ld,dacc2dhr,access,read-write,
missing,dac,dhr12ld,dacc2dhr,bit_width,12,
missing,dac,dor2,,address_offset,0x30,
missing,dac,dor2,,reset_value,0x00000000,
missing,dac,dor2,,size,32,
missing,dac,dor2,dacc2dor,bit_offset,0,
missing,dac,dor2,dacc2dor,access,read-only,
missing,dac,dor2,dacc2dor,bit_width,12,
wrong,exti,pr,,reset_value,0x00000000,None
missing,flash,ar,,address_offset,0x14,
missing,flash,ar,,size,32,
missing,flash,cr,,address_offset,0x10,
missing,flash,cr,,reset_value,0x80,
missing,flash,cr,,size,32,
missing,flash,cr,lock,bit_offset,7,
missing,flash,cr,lock,access,read-write,
missing,flash,cr,strt,bit_offset,6,
missing,flash,cr,strt,access,read-write,
missing,flash,keyr,,address_offset,0x4,
missing,flash,keyr,,size,32,
missing,flash,obr,,address_offset,0x1C,
missing,flash,obr,,reset_value,0x3FFFFFC,
missing,flash,obr,,size,32,
missing,flash,obr,data0,bit_offset,10,
missing,flash,obr,data0,access,read-only,
missing,flash,optkeyr,,address_offset,0x8,
missing,flash,optkeyr,,size,32,
missing,flash,sr,,address_offset,0xC,
missing,flash,sr,,reset_value,0x0,
missing,flash,sr,,size,32,
missing,flash,sr,eop,bit_offset,5,
missing,flash,sr,eop,access,read-write,
missing,flash,wrpr,,address_offset,0x20,
missing,flash,wrpr,,reset_value,0xFFFFFFFF,
missing,flash,wrpr,,size,32,
wrong,fsmc,bcr1,,address_offset,0x0,0xA0000000
wrong,fsmc,bcr2,,address_offset,0x8,0xA0000008
wrong,fsmc,bcr3,,reset_value,0x30D2,None
missing,fsmc,bcr4,,address_offset,0x18,
missing,fsmc,bcr4,,reset_value,0x30D2,
missing,fsmc,bcr4,,size,32,
missing,fsmc,bcr4,asyncwait,bit_offset,15,
missing,fsmc,bcr4,asyncwait,access,read-write,
missing,fsmc,bcr4,asyncwait,bit_width,1,
missing,fsmc,bcr4,bursten,bit_offset,8,
missing,fsmc,bcr4,bursten,access,read-write,
missing,fsmc,bcr4,bursten,bit_width,1,
missing,fsmc,bcr4,cburstrw,bit_offset,19,
missing,fsmc,bcr4,cburstrw,access,read-write,
missing,fsmc,bcr4,cburstrw,bit_width,1,
missing,fsmc,bcr4,extmod,bit_offset,14,
missing,fsmc,bcr4,extmod,access,read-write,
missing,fsmc,bcr4,extmod,bit_width,1,
missing,fsmc,bcr4,faccen,bit_offset,6,
missing,fsmc,bcr4,faccen,access,read-write,
missing,fsmc,bcr4,faccen,bit_width,1,
missing,fsmc,bcr4,mbken,bit_offset,0,
missing,fsmc,bcr4,mbken,access,read-write,
missing,fsmc,bcr4,mbken,bit_width,1,
missing,fsmc,bcr4,mtyp,bit_offset,2,
missing,fsmc,bcr4,mtyp,access,read-write,
missing,fsmc,bcr4,mtyp,bit_width,2,
missing,fsmc,bcr4,muxen,bit_offset,1,
missing,fsmc,bcr4,muxen,access,read-write,
missing,fsmc,bcr4,muxen,bit_width,1,
missing,fsmc,bcr4,mwid,bit_offset,4,
missing,fsmc,bcr4,mwid,access,read-write,
missing,fsmc,bcr4,mwid,bit_width,2,
missing,fsmc,bcr4,waitcfg,bit_offset,11,
missing,fsmc,bcr4,waitcfg,access,read-write,
missing,fsmc,bcr4,waitcfg,bit_width,1,
missing,fsmc,bcr4,waiten,bit_offset,13,
missing,fsmc,bcr4,waiten,access,read-write,
missing,fsmc,bcr4,waiten,bit_width,1,
missing,fsmc,bcr4,waitpol,bit_offset,9,
missing,fsmc,bcr4,waitpol,access,read-write,
missing,fsmc,bcr4,waitpol,bit_width,1,
missing,fsmc,bcr4,wrapmod,bit_offset,10,
missing,fsmc,bcr4,wrapmod,access,read-write,
missing,fsmc,bcr4,wrapmod,bit_width,1,
missing,fsmc,bcr4,wren,bit_offset,12,
missing,fsmc,bcr4,wren,access,read-write,
missing,fsmc,bcr4,wren,bit_width,1,
missing,fsmc,bcr4,cpsize,bit_offset,16,
missing,fsmc,bcr4,cpsize,bit_width,3,
wrong,fsmc,bwtr1,accmod,bit_offset,28,27
wrong,fsmc,bwtr1,accmod,bit_width,2,3
wrong,fsmc,bwtr2,accmod,bit_offset,28,27
wrong,fsmc,bwtr2,accmod,bit_width,2,3
wrong,fsmc,bwtr3,accmod,bit_offset,28,27
wrong,fsmc,bwtr3,accmod,bit_width,2,3
wrong,fsmc,bwtr4,accmod,bit_offset,28,27
wrong,fsmc,bwtr4,accmod,bit_width,2,3
wrong,pwr,cr,,reset_value,0x00000000,None
wrong,pwr,cr,csbf,access,read-write,None
wrong,pwr,cr,cwuf,access,read-write,None
wrong,pwr,cr,dbp,access,read-write,None
wrong,pwr,cr,lpds,access,read-write,None
wrong,pwr,cr,pdds,access,read-write,None
wrong,pwr,cr,pls,access,read-write,None
wrong,pwr,cr,pvde,access,read-write,None
missing,rcc,ahbenr,,address_offset,0x14,
missing,rcc,ahbenr,,reset_value,0x00000014,
missing,rcc,ahbenr,,size,32,
missing,rcc,ahbenr,crcen,bit_offset,6,
missing,rcc,ahbenr,crcen,access,read-write,
missing,rcc,ahbenr,crcen,bit_width,1,
missing,rcc,ahbenr,dma1en,bit_offset,0,
missing,rcc,ahbenr,dma1en,access,read-write,
missing,rcc,ahbenr,dma1en,bit_width,1,
missing,rcc,ahbenr,dma2en,bit_offset,1,
missing,rcc,ahbenr,dma2en,access,read-write,
missing,rcc,ahbenr,dma2en,bit_width,1,
missing,rcc,ahbenr,flitfen,bit_offset,4,
missing,rcc,ahbenr,flitfen,access,read-write,
missing,rcc,ahbenr,flitfen,bit_width,1,
missing,rcc,ahbenr,fsmcen,bit_offset,8,
missing,rcc,ahbenr,fsmcen,access,read-write,
missing,rcc,ahbenr,fsmcen,bit_width,1,
missing,rcc,ahbenr,sramen,bit_offset,2,
missing,rcc,ahbenr,sramen,access,read-write,
missing,rcc,ahbenr,sramen,bit_width,1,
wrong,rcc,apb1enr,tim12en,bit_offset,6,8
wrong,rcc,apb1enr,tim13en,bit_offset,7,9
wrong,rcc,apb1enr,tim14en,bit_offset,8,10
wrong,rcc,apb1enr,tim2en,bit_offset,0,2
wrong,rcc,apb1enr,tim3en,bit_offset,1,3
wrong,rcc,apb1enr,tim4en,bit_offset,2,4
wrong,rcc,apb1enr,tim5en,bit_offset,3,5
wrong,rcc,apb1enr,tim6en,bit_offset,4,6
wrong,rcc,apb1enr,tim7en,bit_offset,5,7
wrong,rcc,apb1enr,wwdgen,bit_offset,11,12
missing,rcc,apb1rstr,,address_offset,0x10,
