model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,file_search_tokens,peripheral_name,register_name
gpt-oss-120b,10847,4096,6041,2781,16888,6593,afio,"exticr4, evcr, mapr2, exticr3, exticr2, mapr, exticr1"
gpt-oss-120b,17189,11264,5853,1640,23042,3095,bkp,"dr32, dr9, dr24, dr7, dr8, dr19, dr41, dr18, dr27, dr34"
gpt-oss-120b,15397,8192,4434,1391,19831,2577,bkp,"dr26, dr31, dr10, dr39, dr21, dr38, dr15, rtccr, dr13, dr30"
gpt-oss-120b,18713,8192,3904,1469,22617,4322,bkp,"dr29, dr36, dr14, dr6, dr40, dr22, dr35, dr1, dr20, dr23"
gpt-oss-120b,19376,8192,7613,2086,26989,3827,bkp,"dr11, dr25, dr4, dr33, dr37, csr, cr, dr5, dr12, dr2"
gpt-oss-120b,16491,8192,2694,1038,19185,3450,bkp,"dr17, dr28, dr3, dr42, dr16"
gpt-oss-120b,9797,9728,3888,1492,13685,5571,cec,"oar, cfgr, pres, esr, txd, csr, rxd"
gpt-oss-120b,6207,6144,2112,1292,8319,2002,crc,"dr, cr, idr"
gpt-oss-120b,12920,4096,6894,3380,19814,8645,dac,"dhr8rd, dhr12l2, swtrigr, dor1, dhr12rd, cr, dhr12r2, sr, dhr8r2, dhr12r1"
gpt-oss-120b,9239,9216,2079,1336,11318,5011,dac,"dhr8r1, dor2, dhr12l1, dhr12ld"
gpt-oss-120b,8635,4096,5431,1041,14066,4427,exti,"ftsr, pr, imr, emr"
gpt-oss-120b,6813,4096,3322,1230,10135,2620,exti,"rtsr, swier"
gpt-oss-120b,8817,8704,1701,830,10518,4581,flash,"optkeyr, ar, obr, sr, cr, wrpr, keyr, acr"
gpt-oss-120b,20687,8192,13580,3916,34267,3403,fsmc,"btr3, bcr4, bwtr2, btr4, bcr3, btr1, bcr1"
gpt-oss-120b,18213,8192,8897,2913,27110,3145,fsmc,"bcr2, btr2, bwtr4, bwtr3, bwtr1"
gpt-oss-120b,6780,4096,3360,2055,10140,2571,iwdg,"kr, rlr, pr, sr"
gpt-oss-120b,6538,4096,3465,2030,10003,2333,pwr,"cr, csr"
gpt-oss-120b,11925,4096,9852,5162,21777,7675,rcc,"cfgr2, apb2enr, apb1enr, cfgr, bdcr, cr, ahbenr"
gpt-oss-120b,7900,4096,688,298,8588,3691,rcc,"apb2rstr, cir, apb1rstr, csr"
