model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,file_search_tokens,peripheral_name,register_name
gpt-oss-120b,9958,4096,3916,1977,13874,5721,afio,"exticr2, exticr4, mapr2, evcr, exticr1"
gpt-oss-120b,7313,4096,4582,2643,11895,3117,afio,"mapr, exticr3"
gpt-oss-120b,6826,0,2549,1005,9375,2577,bkp,"dr15, dr9, dr21, dr11, dr4, dr23, dr37, dr3, dr20, dr40"
gpt-oss-120b,6826,4096,2518,860,9344,2577,bkp,"dr28, dr13, dr27, dr12, dr10, dr42, dr32, dr18, dr2, dr17"
gpt-oss-120b,8964,4096,4506,1543,13470,4699,bkp,"dr38, dr19, dr14, dr8, dr5, dr1, dr25, cr, dr29, csr"
gpt-oss-120b,8573,4096,4077,2521,12650,4323,bkp,"dr24, rtccr, dr31, dr39, dr6, dr34, dr7, dr16, dr36, dr22"
gpt-oss-120b,6439,4096,1008,545,7447,2223,bkp,"dr26, dr41, dr35, dr33, dr30"
gpt-oss-120b,9797,0,4032,2102,13829,5571,cec,"pres, esr, csr, cfgr, txd, rxd, oar"
gpt-oss-120b,6207,4096,1521,824,7728,2002,crc,"cr, dr, idr"
gpt-oss-120b,12358,4096,4568,2108,16926,8074,dac,"dhr12r2, cr, dhr12r1, dhr12l2, dhr8r1, dhr12l1, dhr8rd, dor2, dor1, dhr12rd"
gpt-oss-120b,9801,4096,2703,1309,12504,5582,dac,"swtrigr, sr, dhr12ld, dhr8r2"
gpt-oss-120b,5932,4096,2007,918,7939,1748,exti,ftsr
gpt-oss-120b,5793,4096,2030,697,7823,1609,exti,imr
gpt-oss-120b,5930,4096,2378,963,8308,1746,exti,pr
gpt-oss-120b,5933,4096,1692,535,7625,1749,exti,rtsr
gpt-oss-120b,5932,4096,1869,625,7801,1747,exti,swier
gpt-oss-120b,5125,4096,2447,922,7572,942,exti,emr
gpt-oss-120b,8817,0,1338,462,10155,4581,flash,"ar, keyr, cr, acr, obr, optkeyr, wrpr, sr"
gpt-oss-120b,7707,4096,3990,1711,11697,3476,fsmc,"bwtr1, bwtr2, btr1, btr3"
gpt-oss-120b,5953,4096,4998,2596,10951,1747,fsmc,"btr4, bwtr4, bwtr3"
gpt-oss-120b,6485,4096,913,428,7398,2288,fsmc,"bcr2, bcr3"
gpt-oss-120b,5944,4096,2387,1675,8331,1747,fsmc,"btr2, bcr4"
gpt-oss-120b,5844,4096,3748,2368,9592,1661,fsmc,bcr1
gpt-oss-120b,6780,4096,2984,1610,9764,2571,iwdg,"kr, rlr, sr, pr"
gpt-oss-120b,6538,4096,3618,2269,10156,2333,pwr,"cr, csr"
gpt-oss-120b,7154,4096,2647,1328,9801,2944,rcc,"cr, bdcr, csr"
gpt-oss-120b,5490,0,459,267,5949,1310,rcc,apb2rstr
gpt-oss-120b,6805,4096,4480,2416,11285,2608,rcc,"apb1enr, cfgr2"
gpt-oss-120b,6934,4096,4646,2914,11580,2743,rcc,"cfgr, apb2enr"
gpt-oss-120b,5557,4096,341,95,5898,1364,rcc,"ahbenr, cir"
gpt-oss-120b,5562,4096,407,229,5969,1376,rcc,apb1rstr
