model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name
gpt-oss-120b,4332,0,561,399,4893,cec,csr
gpt-oss-120b,3315,2560,390,279,3705,cec,oar
gpt-oss-120b,6076,5888,640,485,6716,rcc,cir
gpt-oss-120b,6080,2560,387,244,6467,rcc,apb1rstr
gpt-oss-120b,3313,2560,403,257,3716,exti,ftsr
gpt-oss-120b,3313,2560,689,496,4002,exti,rtsr
gpt-oss-120b,4064,2560,361,257,4425,tim1,cr2
gpt-oss-120b,4064,2560,388,249,4452,tim1,bdtr
gpt-oss-120b,7401,7168,563,369,7964,tim1,ccr1
gpt-oss-120b,3124,2560,378,268,3502,tim1,cnt
gpt-oss-120b,4064,2560,427,267,4491,tim1,cr1
gpt-oss-120b,6454,2560,663,508,7117,iwdg,rlr
gpt-oss-120b,4532,4352,332,202,4864,bkp,dr29
gpt-oss-120b,4532,2560,350,240,4882,bkp,dr21
gpt-oss-120b,4532,2560,345,245,4877,bkp,dr26
gpt-oss-120b,4532,4352,267,110,4799,bkp,dr40
gpt-oss-120b,4532,2560,251,140,4783,bkp,dr32
gpt-oss-120b,4532,2560,331,195,4863,bkp,dr27
gpt-oss-120b,4532,2560,432,300,4964,bkp,dr23
gpt-oss-120b,4532,4352,372,263,4904,bkp,dr37
gpt-oss-120b,4532,2560,304,201,4836,bkp,dr39
gpt-oss-120b,4532,2560,394,234,4926,bkp,dr31
gpt-oss-120b,4532,2560,354,215,4886,bkp,dr24
gpt-oss-120b,4532,2560,496,376,5028,bkp,dr28
gpt-oss-120b,4532,2560,338,216,4870,bkp,dr41
gpt-oss-120b,4532,2560,442,319,4974,bkp,dr35
gpt-oss-120b,4532,2560,261,106,4793,bkp,dr42
gpt-oss-120b,4532,4352,396,270,4928,bkp,dr25
gpt-oss-120b,4532,2560,229,116,4761,bkp,dr36
gpt-oss-120b,4532,2560,558,405,5090,bkp,dr30
gpt-oss-120b,4532,2560,381,181,4913,bkp,dr33
gpt-oss-120b,4532,2560,335,219,4867,bkp,dr22
gpt-oss-120b,4532,2560,341,129,4873,bkp,dr38
gpt-oss-120b,5421,2560,316,197,5737,rtc,divl
gpt-oss-120b,5421,5376,245,132,5666,rtc,alrh
gpt-oss-120b,5421,2560,336,168,5757,rtc,cnth
gpt-oss-120b,5421,2560,615,456,6036,rtc,cntl
gpt-oss-120b,5421,2560,472,353,5893,rtc,divh
gpt-oss-120b,5421,2560,296,171,5717,rtc,alrl
gpt-oss-120b,5490,2560,522,404,6012,crc,dr
gpt-oss-120b,3429,2560,364,168,3793,flash,obr
gpt-oss-120b,3430,2560,333,210,3763,flash,wrpr
gpt-oss-120b,3429,2560,380,238,3809,flash,ar
gpt-oss-120b,3430,2560,399,283,3829,flash,keyr
gpt-oss-120b,3429,3328,379,253,3808,flash,sr
gpt-oss-120b,3431,2560,312,191,3743,flash,optkeyr
gpt-oss-120b,3429,3328,448,352,3877,flash,cr
gpt-oss-120b,5084,2560,319,178,5403,dac,dhr12ld
gpt-oss-120b,5865,2560,431,277,6296,dac,dhr12r2
gpt-oss-120b,3276,3072,411,291,3687,dac,sr
gpt-oss-120b,5084,2560,403,272,5487,dac,dhr8rd
gpt-oss-120b,4136,2560,638,463,4774,dac,cr
gpt-oss-120b,3393,2560,1706,308,5099,dac,swtrigr
gpt-oss-120b,5862,2560,548,330,6410,dac,dor2
gpt-oss-120b,18363,18176,350,197,18713,tim6,cr2
gpt-oss-120b,4050,3840,839,453,4889,tim2,smcr
gpt-oss-120b,7469,2560,450,291,7919,tim15,ccer
gpt-oss-120b,5422,2560,421,266,5843,tim15,dcr
gpt-oss-120b,5423,5376,457,330,5880,tim15,ccr2
gpt-oss-120b,5422,2560,360,149,5782,wwdg,cr
gpt-oss-120b,3125,3072,247,105,3372,fsmc,btr4
gpt-oss-120b,3125,2560,684,526,3809,fsmc,bcr4
gpt-oss-120b,3125,2560,441,329,3566,fsmc,btr3
gpt-oss-120b,3125,2560,459,306,3584,fsmc,bcr2
gpt-oss-120b,3125,3072,348,209,3473,fsmc,btr1
gpt-oss-120b,3125,2560,388,279,3513,fsmc,btr2
