peripheral_name,register_name,field_name,key,value,agent_judgement,confidence_score
afio,evcr,,address_offset,0x00,True,0.99
afio,evcr,,reset_value,0x00000000,True,0.99
afio,evcr,,size,32,True,1.0
afio,evcr,EVOE,bit_offset,7,True,1.0
afio,evcr,EVOE,bit_width,1,True,0.98
afio,evcr,EVOE,access,read-write,True,0.99
afio,evcr,PIN,bit_offset,0,True,1.0
afio,evcr,PIN,bit_width,4,True,0.99
afio,evcr,PIN,access,read-write,True,1.0
afio,exticr1,,address_offset,0x08,True,1.0
afio,exticr1,,reset_value,0x0000,True,1.0
afio,exticr1,,size,32,True,0.98
afio,exticr1,EXTI0,bit_offset,0,True,0.99
afio,exticr1,EXTI0,bit_width,4,True,0.99
afio,exticr1,EXTI0,access,read-write,True,1.0
afio,exticr1,EXTI1,bit_offset,4,True,0.96
afio,exticr1,EXTI1,bit_width,4,True,1.0
afio,exticr1,EXTI1,access,read-write,True,0.99
afio,exticr1,EXTI2,bit_offset,8,True,0.99
afio,exticr1,EXTI2,bit_width,4,True,0.99
afio,exticr1,EXTI2,access,read-write,True,0.99
afio,exticr1,EXTI3,bit_offset,12,True,0.99
afio,exticr1,EXTI3,bit_width,4,True,0.99
afio,exticr1,EXTI3,access,read-write,True,0.98
afio,exticr2,,address_offset,0x0C,True,1.0
afio,exticr2,,reset_value,0x0000,True,1.0
afio,exticr2,,size,32,True,0.96
afio,exticr2,EXTI4,bit_offset,0,True,0.99
afio,exticr2,EXTI4,bit_width,4,True,1.0
afio,exticr2,EXTI4,access,read-write,True,1.0
afio,exticr2,EXTI5,bit_offset,4,True,1.0
afio,exticr2,EXTI5,bit_width,4,True,0.99
afio,exticr2,EXTI5,access,read-write,True,0.99
afio,exticr2,EXTI6,bit_offset,8,True,0.98
afio,exticr2,EXTI6,bit_width,4,True,1.0
afio,exticr2,EXTI6,access,read-write,True,1.0
afio,exticr2,EXTI7,bit_offset,12,True,0.98
afio,exticr2,EXTI7,bit_width,4,True,0.99
afio,exticr2,EXTI7,access,read-write,True,0.97
afio,exticr3,,address_offset,0x10,True,1.0
afio,exticr3,,reset_value,0x0000,True,1.0
afio,exticr3,,size,32,True,0.99
afio,exticr3,EXTI8,bit_offset,0,True,0.99
afio,exticr3,EXTI8,bit_width,4,True,1.0
afio,exticr3,EXTI8,access,read-write,True,0.99
afio,exticr3,EXTI9,bit_offset,4,True,0.98
afio,exticr3,EXTI9,bit_width,4,True,1.0
afio,exticr3,EXTI9,access,read-write,True,1.0
afio,exticr3,EXTI10,bit_offset,8,True,0.99
afio,exticr3,EXTI10,bit_width,4,True,1.0
afio,exticr3,EXTI10,access,read-write,True,1.0
afio,exticr3,EXTI11,bit_offset,12,True,0.98
afio,exticr3,EXTI11,bit_width,4,True,0.99
afio,exticr3,EXTI11,access,read-write,True,0.98
afio,exticr4,,address_offset,0x14,True,1.0
afio,exticr4,,reset_value,0x0000,True,1.0
afio,exticr4,,size,32,True,0.96
afio,exticr4,EXTI12,bit_offset,0,True,1.0
afio,exticr4,EXTI12,bit_width,4,True,1.0
afio,exticr4,EXTI12,access,read-write,True,0.98
afio,exticr4,EXTI13,bit_offset,4,True,0.99
afio,exticr4,EXTI13,bit_width,4,True,1.0
afio,exticr4,EXTI13,access,read-write,True,1.0
afio,exticr4,EXTI14,bit_offset,8,True,0.95
afio,exticr4,EXTI14,bit_width,4,True,1.0
afio,exticr4,EXTI14,access,read-write,True,0.99
afio,exticr4,EXTI15,bit_offset,12,True,1.0
afio,exticr4,EXTI15,bit_width,4,True,0.99
afio,exticr4,EXTI15,access,read-write,True,0.99
afio,mapr,,address_offset,0x04,True,1.0
afio,mapr,,reset_value,0x00000000,True,1.0
afio,mapr,,size,32,True,0.95
afio,mapr,SWJ_CFG,bit_offset,26,False,1.0
afio,mapr,SWJ_CFG,bit_width,3,True,0.99
afio,mapr,SWJ_CFG,access,write-only,True,1.0
afio,mapr,PD01_REMAP,bit_offset,15,True,1.0
afio,mapr,PD01_REMAP,bit_width,1,True,0.98
afio,mapr,PD01_REMAP,access,read-write,True,1.0
afio,mapr,TIM4_REMAP,bit_offset,12,True,1.0
afio,mapr,TIM4_REMAP,bit_width,1,True,0.99
afio,mapr,TIM4_REMAP,access,read-write,True,0.98
afio,mapr,TIM3_REMAP,bit_offset,11,False,1.0
afio,mapr,TIM3_REMAP,bit_width,2,True,0.99
afio,mapr,TIM3_REMAP,access,read-write,True,0.95
afio,mapr,TIM2_REMAP,bit_offset,9,False,0.99
afio,mapr,TIM2_REMAP,bit_width,2,True,0.99
afio,mapr,TIM2_REMAP,access,read-write,True,0.99
afio,mapr,TIM1_REMAP,bit_offset,7,False,1.0
afio,mapr,TIM1_REMAP,bit_width,2,True,0.99
afio,mapr,TIM1_REMAP,access,read-write,True,0.95
afio,mapr,USART3_REMAP,bit_offset,5,False,0.99
afio,mapr,USART3_REMAP,bit_width,2,True,1.0
afio,mapr,USART3_REMAP,access,read-write,True,0.97
afio,mapr,USART2_REMAP,bit_offset,3,True,0.99
afio,mapr,USART2_REMAP,bit_width,1,True,1.0
afio,mapr,USART2_REMAP,access,read-write,True,0.99
afio,mapr,USART1_REMAP,bit_offset,2,True,1.0
afio,mapr,USART1_REMAP,bit_width,1,True,0.99
afio,mapr,USART1_REMAP,access,read-write,True,0.97
afio,mapr,I2C1_REMAP,bit_offset,1,True,1.0
afio,mapr,I2C1_REMAP,bit_width,1,True,1.0
afio,mapr,I2C1_REMAP,access,read-write,True,0.98
afio,mapr,SPI1_REMAP,bit_offset,0,True,1.0
afio,mapr,SPI1_REMAP,bit_width,1,True,0.99
afio,mapr,SPI1_REMAP,access,read-write,True,0.97
afio,mapr2,,address_offset,None,False,0.99
afio,mapr2,,reset_value,None,False,1.0
afio,mapr2,,size,32,False,0.0
bkp,cr,,address_offset,0x30,True,1.0
bkp,cr,,reset_value,0x00000000,True,1.0
bkp,cr,TPAL,bit_offset,1,True,1.0
bkp,cr,TPAL,bit_width,1,True,0.97
bkp,cr,TPAL,access,read-write,True,0.97
bkp,cr,TPE,bit_offset,0,True,1.0
bkp,cr,TPE,bit_width,1,True,0.99
bkp,cr,TPE,access,read-write,True,1.0
bkp,csr,,address_offset,0x34,True,1.0
bkp,csr,,reset_value,0x00000000,True,1.0
bkp,csr,,size,16,True,0.99
bkp,csr,TIF,bit_offset,9,True,1.0
bkp,csr,TIF,bit_width,1,True,1.0
bkp,csr,TIF,access,read-only,True,1.0
bkp,csr,TEF,bit_offset,8,True,1.0
bkp,csr,TEF,bit_width,1,True,1.0
bkp,csr,TEF,access,read-only,True,0.98
bkp,csr,TPIE,bit_offset,2,True,1.0
bkp,csr,TPIE,bit_width,1,True,0.99
bkp,csr,TPIE,access,read-write,True,0.99
bkp,csr,CTI,bit_offset,1,True,1.0
bkp,csr,CTI,bit_width,1,True,0.99
bkp,csr,CTI,access,write-only,True,0.99
bkp,csr,CTE,bit_offset,0,True,1.0
bkp,csr,CTE,bit_width,1,True,1.0
bkp,csr,CTE,access,write-only,True,1.0
bkp,dr1,,address_offset,0x4,True,0.99
bkp,dr1,,reset_value,0x00000000,True,1.0
bkp,dr1,,size,16,True,0.98
bkp,dr1,D[15:0],bit_offset,0,True,1.0
bkp,dr1,D[15:0],bit_width,16,True,0.99
bkp,dr1,D[15:0],access,read-write,True,1.0
bkp,dr10,,address_offset,0x28,True,1.0
bkp,dr10,,reset_value,0x00000000,True,1.0
bkp,dr10,,size,32,False,1.0
bkp,dr10,D[15:0],bit_offset,0,True,0.99
bkp,dr10,D[15:0],bit_width,16,True,0.97
bkp,dr10,D[15:0],access,read-write,True,0.99
bkp,dr11,,address_offset,0x40,True,1.0
bkp,dr11,,reset_value,0x00000000,True,0.99
bkp,dr11,,size,16,True,1.0
bkp,dr11,D,bit_offset,0,True,0.99
bkp,dr11,D,bit_width,16,True,1.0
bkp,dr11,D,access,read-write,False,0.0
bkp,dr12,,address_offset,0x44,True,0.99
bkp,dr12,,reset_value,0x00000000,True,0.99
bkp,dr12,,size,32,False,0.99
bkp,dr12,D,bit_offset,0,True,0.97
