model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name,field_name,key
gpt-oss-120b,5057,0,247,121,5304,afio,evcr,,address_offset
gpt-oss-120b,5113,1792,344,194,5457,afio,evcr,,reset_value
gpt-oss-120b,5101,0,405,289,5506,afio,evcr,,size
gpt-oss-120b,5103,0,250,95,5353,afio,evcr,EVOE,bit_offset
gpt-oss-120b,5010,0,349,212,5359,afio,evcr,EVOE,bit_width
gpt-oss-120b,5020,1792,460,337,5480,afio,evcr,EVOE,access
gpt-oss-120b,5167,0,349,203,5516,afio,evcr,PIN,bit_offset
gpt-oss-120b,5167,0,254,159,5421,afio,evcr,PIN,bit_width
gpt-oss-120b,5141,0,393,272,5534,afio,evcr,PIN,access
gpt-oss-120b,5242,0,261,119,5503,afio,exticr1,,address_offset
gpt-oss-120b,5254,0,279,154,5533,afio,exticr1,,reset_value
gpt-oss-120b,5235,0,328,211,5563,afio,exticr1,,size
gpt-oss-120b,5225,0,407,209,5632,afio,exticr1,EXTI0,bit_offset
gpt-oss-120b,5238,1792,352,158,5590,afio,exticr1,EXTI0,bit_width
gpt-oss-120b,5237,1792,347,208,5584,afio,exticr1,EXTI0,access
gpt-oss-120b,5225,1792,449,262,5674,afio,exticr1,EXTI1,bit_offset
gpt-oss-120b,5238,0,369,210,5607,afio,exticr1,EXTI1,bit_width
gpt-oss-120b,5249,1792,409,257,5658,afio,exticr1,EXTI1,access
gpt-oss-120b,5249,1792,389,213,5638,afio,exticr1,EXTI2,bit_offset
gpt-oss-120b,5249,1792,318,155,5567,afio,exticr1,EXTI2,bit_width
gpt-oss-120b,5249,1792,376,217,5625,afio,exticr1,EXTI2,access
gpt-oss-120b,5249,1792,340,156,5589,afio,exticr1,EXTI3,bit_offset
gpt-oss-120b,5249,0,482,247,5731,afio,exticr1,EXTI3,bit_width
gpt-oss-120b,5242,1792,397,219,5639,afio,exticr1,EXTI3,access
gpt-oss-120b,5227,1792,260,147,5487,afio,exticr2,,address_offset
gpt-oss-120b,5254,0,240,91,5494,afio,exticr2,,reset_value
gpt-oss-120b,5235,1792,295,172,5530,afio,exticr2,,size
gpt-oss-120b,5160,1792,532,308,5692,afio,exticr2,EXTI4,bit_offset
gpt-oss-120b,5249,1792,373,211,5622,afio,exticr2,EXTI4,bit_width
gpt-oss-120b,5228,0,544,341,5772,afio,exticr2,EXTI4,access
gpt-oss-120b,5160,1792,407,242,5567,afio,exticr2,EXTI5,bit_offset
gpt-oss-120b,5249,1792,305,166,5554,afio,exticr2,EXTI5,bit_width
gpt-oss-120b,5228,1792,361,208,5589,afio,exticr2,EXTI5,access
gpt-oss-120b,5242,1792,432,240,5674,afio,exticr2,EXTI6,bit_offset
gpt-oss-120b,5249,1792,341,188,5590,afio,exticr2,EXTI6,bit_width
gpt-oss-120b,5228,1792,467,325,5695,afio,exticr2,EXTI6,access
gpt-oss-120b,5249,1792,431,249,5680,afio,exticr2,EXTI7,bit_offset
gpt-oss-120b,5249,1792,381,196,5630,afio,exticr2,EXTI7,bit_width
gpt-oss-120b,5228,1792,441,247,5669,afio,exticr2,EXTI7,access
gpt-oss-120b,5234,1792,271,129,5505,afio,exticr3,,address_offset
gpt-oss-120b,5235,1792,260,134,5495,afio,exticr3,,reset_value
gpt-oss-120b,5229,1792,328,208,5557,afio,exticr3,,size
gpt-oss-120b,5255,1792,452,277,5707,afio,exticr3,EXTI8,bit_offset
gpt-oss-120b,5255,1792,498,274,5753,afio,exticr3,EXTI8,bit_width
gpt-oss-120b,5255,1792,336,217,5591,afio,exticr3,EXTI8,access
gpt-oss-120b,5255,1792,531,336,5786,afio,exticr3,EXTI9,bit_offset
gpt-oss-120b,5255,1792,438,257,5693,afio,exticr3,EXTI9,bit_width
gpt-oss-120b,5255,1792,551,391,5806,afio,exticr3,EXTI9,access
gpt-oss-120b,5255,1792,489,320,5744,afio,exticr3,EXTI10,bit_offset
gpt-oss-120b,5255,1792,382,197,5637,afio,exticr3,EXTI10,bit_width
gpt-oss-120b,5255,1792,347,213,5602,afio,exticr3,EXTI10,access
gpt-oss-120b,5255,1792,458,282,5713,afio,exticr3,EXTI11,bit_offset
gpt-oss-120b,5255,1792,301,173,5556,afio,exticr3,EXTI11,bit_width
gpt-oss-120b,5255,1792,362,208,5617,afio,exticr3,EXTI11,access
gpt-oss-120b,5234,0,230,99,5464,afio,exticr4,,address_offset
gpt-oss-120b,5153,1792,320,179,5473,afio,exticr4,,reset_value
gpt-oss-120b,5229,1792,315,181,5544,afio,exticr4,,size
gpt-oss-120b,5236,1792,399,215,5635,afio,exticr4,EXTI12,bit_offset
gpt-oss-120b,5255,1792,495,325,5750,afio,exticr4,EXTI12,bit_width
gpt-oss-120b,5222,1792,433,271,5655,afio,exticr4,EXTI12,access
gpt-oss-120b,5234,1792,574,375,5808,afio,exticr4,EXTI13,bit_offset
gpt-oss-120b,5243,1792,455,298,5698,afio,exticr4,EXTI13,bit_width
gpt-oss-120b,5222,1792,555,351,5777,afio,exticr4,EXTI13,access
gpt-oss-120b,5244,1792,502,324,5746,afio,exticr4,EXTI14,bit_offset
gpt-oss-120b,5243,1792,390,184,5633,afio,exticr4,EXTI14,bit_width
gpt-oss-120b,5222,0,386,225,5608,afio,exticr4,EXTI14,access
gpt-oss-120b,5231,1792,653,477,5884,afio,exticr4,EXTI15,bit_offset
gpt-oss-120b,5244,1792,399,191,5643,afio,exticr4,EXTI15,bit_width
gpt-oss-120b,5238,1792,392,218,5630,afio,exticr4,EXTI15,access
