model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name
gpt-oss-120b,3313,2560,481,300,3794,exti,ftsr
gpt-oss-120b,3313,3072,430,305,3743,exti,rtsr
gpt-oss-120b,3430,2560,259,110,3689,flash,wrpr
gpt-oss-120b,3429,2560,374,274,3803,flash,sr
gpt-oss-120b,3429,2560,904,740,4333,flash,ar
gpt-oss-120b,3429,3328,352,188,3781,flash,obr
gpt-oss-120b,3431,2560,607,482,4038,flash,optkeyr
gpt-oss-120b,3430,3328,456,333,3886,flash,keyr
gpt-oss-120b,3429,2560,413,286,3842,flash,cr
gpt-oss-120b,7469,2560,367,200,7836,tim15,ccer
gpt-oss-120b,18363,2560,287,161,18650,tim6,cr2
gpt-oss-120b,6453,2560,460,310,6913,iwdg,pr
gpt-oss-120b,6454,2560,394,217,6848,iwdg,rlr
gpt-oss-120b,4064,2560,332,170,4396,tim1,cr1
gpt-oss-120b,4064,2560,470,316,4534,tim1,bdtr
gpt-oss-120b,4064,2560,492,360,4556,tim1,cr2
gpt-oss-120b,3124,3072,279,110,3403,tim1,cnt
gpt-oss-120b,7401,7168,367,192,7768,tim1,ccr3
gpt-oss-120b,7401,2560,488,386,7889,tim1,ccr4
gpt-oss-120b,7401,7168,412,295,7813,tim1,ccr1
gpt-oss-120b,3125,2560,529,338,3654,fsmc,bcr3
gpt-oss-120b,3125,2560,554,415,3679,fsmc,bcr4
gpt-oss-120b,3125,2560,400,243,3525,fsmc,btr4
gpt-oss-120b,3125,2560,812,653,3937,fsmc,btr1
gpt-oss-120b,3125,2560,267,151,3392,fsmc,bcr2
gpt-oss-120b,3125,3072,359,250,3484,fsmc,btr2
gpt-oss-120b,3125,2560,336,189,3461,fsmc,btr3
gpt-oss-120b,5084,2560,770,571,5854,dac,dhr12rd
gpt-oss-120b,5862,5632,851,691,6713,dac,dor1
gpt-oss-120b,5084,2560,393,268,5477,dac,dhr8rd
gpt-oss-120b,3276,2560,305,167,3581,dac,sr
gpt-oss-120b,5865,5632,375,229,6240,dac,dhr12r2
gpt-oss-120b,4136,2560,481,359,4617,dac,cr
gpt-oss-120b,4532,4352,232,122,4764,bkp,dr25
gpt-oss-120b,4532,2560,473,287,5005,bkp,dr34
gpt-oss-120b,4532,2560,408,271,4940,bkp,dr41
gpt-oss-120b,4532,2560,548,407,5080,bkp,dr28
gpt-oss-120b,4532,2560,378,233,4910,bkp,dr38
gpt-oss-120b,4532,2560,396,258,4928,bkp,dr26
gpt-oss-120b,4532,2560,283,165,4815,bkp,dr37
gpt-oss-120b,4532,2560,257,131,4789,bkp,dr33
gpt-oss-120b,4532,4352,230,104,4762,bkp,dr42
gpt-oss-120b,4532,2560,345,207,4877,bkp,dr21
gpt-oss-120b,4532,4352,371,242,4903,bkp,dr36
gpt-oss-120b,4532,2560,471,325,5003,bkp,dr24
gpt-oss-120b,4532,2560,388,279,4920,bkp,dr39
gpt-oss-120b,4532,2560,482,358,5014,bkp,dr22
gpt-oss-120b,4532,4352,356,220,4888,bkp,dr32
gpt-oss-120b,4532,2560,409,253,4941,bkp,dr30
gpt-oss-120b,4532,2560,377,245,4909,bkp,dr40
gpt-oss-120b,4532,2560,298,177,4830,bkp,dr27
gpt-oss-120b,4532,2560,371,282,4903,bkp,dr29
gpt-oss-120b,4532,2560,462,338,4994,bkp,dr23
gpt-oss-120b,4532,2560,325,186,4857,bkp,dr35
gpt-oss-120b,4532,2560,406,239,4938,bkp,dr31
gpt-oss-120b,6195,2560,447,220,6642,afio,mapr2
gpt-oss-120b,4050,2560,384,226,4434,tim2,smcr
gpt-oss-120b,5422,5376,365,225,5787,wwdg,cr
gpt-oss-120b,5490,2560,728,565,6218,crc,dr
gpt-oss-120b,5421,2560,478,368,5899,rtc,divh
gpt-oss-120b,5421,5376,430,276,5851,rtc,alrl
gpt-oss-120b,5421,2560,483,382,5904,rtc,cnth
gpt-oss-120b,5421,2560,327,213,5748,rtc,alrh
gpt-oss-120b,3315,2816,365,235,3680,cec,oar
gpt-oss-120b,4332,2560,624,506,4956,cec,csr
