model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name,field_name,key
gpt-oss-120b,5057,1792,238,134,5295,afio,evcr,,address_offset
gpt-oss-120b,5113,1792,415,254,5528,afio,evcr,,reset_value
gpt-oss-120b,5091,1792,713,603,5804,afio,evcr,,size
gpt-oss-120b,5103,1792,305,188,5408,afio,evcr,EVOE,bit_offset
gpt-oss-120b,5017,1792,343,214,5360,afio,evcr,EVOE,bit_width
gpt-oss-120b,5020,0,376,260,5396,afio,evcr,EVOE,access
gpt-oss-120b,5144,1792,291,153,5435,afio,evcr,PIN[3:0],bit_offset
gpt-oss-120b,5144,1792,286,177,5430,afio,evcr,PIN[3:0],bit_width
gpt-oss-120b,5171,1792,404,267,5575,afio,evcr,PIN[3:0],access
gpt-oss-120b,5242,1792,198,86,5440,afio,exticr1,,address_offset
gpt-oss-120b,5254,1792,279,99,5533,afio,exticr1,,reset_value
gpt-oss-120b,5235,1792,272,153,5507,afio,exticr1,,size
gpt-oss-120b,5225,1792,369,181,5594,afio,exticr1,EXTI0,bit_offset
gpt-oss-120b,5238,1792,357,193,5595,afio,exticr1,EXTI0,bit_width
gpt-oss-120b,5237,1792,450,288,5687,afio,exticr1,EXTI0,access
gpt-oss-120b,5225,1792,481,322,5706,afio,exticr1,EXTI1,bit_offset
gpt-oss-120b,5238,5120,353,159,5591,afio,exticr1,EXTI1,bit_width
gpt-oss-120b,5249,1792,429,281,5678,afio,exticr1,EXTI1,access
gpt-oss-120b,5249,1792,544,345,5793,afio,exticr1,EXTI2,bit_offset
gpt-oss-120b,5249,1792,294,149,5543,afio,exticr1,EXTI2,bit_width
gpt-oss-120b,5249,1792,339,216,5588,afio,exticr1,EXTI2,access
gpt-oss-120b,5249,1792,437,287,5686,afio,exticr1,EXTI3,bit_offset
gpt-oss-120b,5249,1792,302,189,5551,afio,exticr1,EXTI3,bit_width
gpt-oss-120b,5249,1792,376,236,5625,afio,exticr1,EXTI3,access
gpt-oss-120b,5227,1792,252,104,5479,afio,exticr2,,address_offset
gpt-oss-120b,5254,1792,310,185,5564,afio,exticr2,,reset_value
gpt-oss-120b,5235,1792,342,173,5577,afio,exticr2,,size
gpt-oss-120b,5241,1792,502,292,5743,afio,exticr2,EXT4,bit_offset
gpt-oss-120b,5239,1792,410,214,5649,afio,exticr2,EXT4,bit_width
gpt-oss-120b,5159,1792,493,304,5652,afio,exticr2,EXT4,access
gpt-oss-120b,5241,1792,442,271,5683,afio,exticr2,EXT5,bit_offset
gpt-oss-120b,5241,1792,361,178,5602,afio,exticr2,EXT5,bit_width
gpt-oss-120b,5227,1792,448,251,5675,afio,exticr2,EXT5,access
gpt-oss-120b,5241,1792,589,344,5830,afio,exticr2,EXT6,bit_offset
gpt-oss-120b,5241,1792,530,331,5771,afio,exticr2,EXT6,bit_width
gpt-oss-120b,5241,1792,506,320,5747,afio,exticr2,EXT6,access
gpt-oss-120b,5241,1792,587,339,5828,afio,exticr2,EXT7,bit_offset
gpt-oss-120b,5248,1792,647,467,5895,afio,exticr2,EXT7,bit_width
gpt-oss-120b,5241,1792,418,302,5659,afio,exticr2,EXT7,access
gpt-oss-120b,5234,1792,262,126,5496,afio,exticr3,,address_offset
gpt-oss-120b,5235,5120,233,102,5468,afio,exticr3,,reset_value
gpt-oss-120b,5229,1792,433,281,5662,afio,exticr3,,size
gpt-oss-120b,5255,5120,607,414,5862,afio,exticr3,EXTI8,bit_offset
gpt-oss-120b,5255,1792,305,139,5560,afio,exticr3,EXTI8,bit_width
gpt-oss-120b,5255,5120,488,317,5743,afio,exticr3,EXTI8,access
gpt-oss-120b,5255,1792,362,198,5617,afio,exticr3,EXTI9,bit_offset
gpt-oss-120b,5255,1792,397,229,5652,afio,exticr3,EXTI9,bit_width
gpt-oss-120b,5255,1792,338,219,5593,afio,exticr3,EXTI9,access
gpt-oss-120b,5255,1792,577,359,5832,afio,exticr3,EXTI10,bit_offset
gpt-oss-120b,5255,1792,384,222,5639,afio,exticr3,EXTI10,bit_width
gpt-oss-120b,5255,5120,465,276,5720,afio,exticr3,EXTI10,access
gpt-oss-120b,5255,1792,459,227,5714,afio,exticr3,EXTI11,bit_offset
gpt-oss-120b,5255,1792,335,167,5590,afio,exticr3,EXTI11,bit_width
gpt-oss-120b,5255,1792,523,340,5778,afio,exticr3,EXTI11,access
gpt-oss-120b,5234,0,286,144,5520,afio,exticr4,,address_offset
gpt-oss-120b,5153,1792,307,196,5460,afio,exticr4,,reset_value
gpt-oss-120b,5229,1792,338,201,5567,afio,exticr4,,size
gpt-oss-120b,5236,1792,497,358,5733,afio,exticr4,EXTI12,bit_offset
gpt-oss-120b,5255,1792,385,193,5640,afio,exticr4,EXTI12,bit_width
gpt-oss-120b,5222,1792,466,291,5688,afio,exticr4,EXTI12,access
gpt-oss-120b,5234,1792,406,217,5640,afio,exticr4,EXTI13,bit_offset
gpt-oss-120b,5243,1792,369,182,5612,afio,exticr4,EXTI13,bit_width
gpt-oss-120b,5222,1792,433,258,5655,afio,exticr4,EXTI13,access
gpt-oss-120b,5244,1792,525,365,5769,afio,exticr4,EXTI14,bit_offset
gpt-oss-120b,5243,1792,346,162,5589,afio,exticr4,EXTI14,bit_width
gpt-oss-120b,5222,1792,411,268,5633,afio,exticr4,EXTI14,access
gpt-oss-120b,5231,1792,639,465,5870,afio,exticr4,EXTI15,bit_offset
gpt-oss-120b,5244,1792,648,436,5892,afio,exticr4,EXTI15,bit_width
gpt-oss-120b,5238,1792,398,241,5636,afio,exticr4,EXTI15,access
gpt-oss-120b,5125,1792,231,106,5356,afio,mapr,,address_offset
gpt-oss-120b,5157,1792,260,127,5417,afio,mapr,,reset_value
gpt-oss-120b,5209,5120,269,164,5478,afio,mapr,,size
gpt-oss-120b,5083,1792,439,299,5522,afio,mapr,SWJ_CFG,bit_offset
gpt-oss-120b,5083,1792,267,164,5350,afio,mapr,SWJ_CFG,bit_width
gpt-oss-120b,5040,4864,310,183,5350,afio,mapr,SWJ_CFG,access
gpt-oss-120b,5055,1792,332,179,5387,afio,mapr,PD01_REMAP,bit_offset
gpt-oss-120b,5061,1792,316,182,5377,afio,mapr,PD01_REMAP,bit_width
gpt-oss-120b,5062,1792,433,312,5495,afio,mapr,PD01_REMAP,access
gpt-oss-120b,5100,1792,281,132,5381,afio,mapr,TIM4_REMAP,bit_offset
gpt-oss-120b,5129,1792,290,164,5419,afio,mapr,TIM4_REMAP,bit_width
gpt-oss-120b,5145,1792,457,296,5602,afio,mapr,TIM4_REMAP,access
gpt-oss-120b,5124,1792,299,136,5423,afio,mapr,TIM3_REMAP,bit_offset
gpt-oss-120b,5153,1792,324,156,5477,afio,mapr,TIM3_REMAP,bit_width
gpt-oss-120b,5153,5120,403,242,5556,afio,mapr,TIM3_REMAP,access
gpt-oss-120b,5182,1792,284,151,5466,afio,mapr,TIM2_REMAP,bit_offset
gpt-oss-120b,5137,5120,275,148,5412,afio,mapr,TIM2_REMAP,bit_width
gpt-oss-120b,5153,1792,328,172,5481,afio,mapr,TIM2_REMAP,access
gpt-oss-120b,5195,1792,335,215,5530,afio,mapr,TIM1_REMAP,bit_offset
gpt-oss-120b,5195,1792,287,174,5482,afio,mapr,TIM1_REMAP,bit_width
gpt-oss-120b,5220,1792,278,129,5498,afio,mapr,TIM1_REMAP,access
gpt-oss-120b,5141,1792,353,214,5494,afio,mapr,USART3_REMAP,bit_offset
gpt-oss-120b,5141,1792,273,151,5414,afio,mapr,USART3_REMAP,bit_width
gpt-oss-120b,5175,1792,357,197,5532,afio,mapr,USART3_REMAP,access
gpt-oss-120b,5190,1792,278,140,5468,afio,mapr,USART2_REMAP,bit_offset
gpt-oss-120b,5224,1792,308,154,5532,afio,mapr,USART2_REMAP,bit_width
gpt-oss-120b,5190,5120,394,258,5584,afio,mapr,USART2_REMAP,access
gpt-oss-120b,5170,1792,283,182,5453,afio,mapr,USART1_REMAP,bit_offset
gpt-oss-120b,5170,1792,335,165,5505,afio,mapr,USART1_REMAP,bit_width
gpt-oss-120b,5224,1792,325,168,5549,afio,mapr,USART1_REMAP,access
gpt-oss-120b,5225,1792,293,178,5518,afio,mapr,I2C1_REMAP,bit_offset
gpt-oss-120b,5138,1792,282,182,5420,afio,mapr,I2C1_REMAP,bit_width
gpt-oss-120b,5143,1792,278,165,5421,afio,mapr,I2C1_REMAP,access
gpt-oss-120b,5190,1792,252,132,5442,afio,mapr,SPI1_REMAP,bit_offset
gpt-oss-120b,5190,5120,400,204,5590,afio,mapr,SPI1_REMAP,bit_width
gpt-oss-120b,5197,1792,418,278,5615,afio,mapr,SPI1_REMAP,access
gpt-oss-120b,5187,0,206,75,5393,bkp,cr,,address_offset
gpt-oss-120b,5136,1792,240,108,5376,bkp,cr,,reset_value
gpt-oss-120b,5213,1792,391,280,5604,bkp,cr,,size
gpt-oss-120b,5170,1792,283,126,5453,bkp,cr,TPAL,bit_offset
gpt-oss-120b,5211,1792,682,508,5893,bkp,cr,TPAL,bit_width
gpt-oss-120b,5214,1792,540,418,5754,bkp,cr,TPAL,access
gpt-oss-120b,5194,1792,319,164,5513,bkp,cr,TPE,bit_offset
gpt-oss-120b,5194,1792,258,126,5452,bkp,cr,TPE,bit_width
gpt-oss-120b,5197,1792,356,227,5553,bkp,cr,TPE,access
gpt-oss-120b,5187,5120,203,83,5390,bkp,csr,,address_offset
gpt-oss-120b,5136,1792,200,95,5336,bkp,csr,,reset_value
gpt-oss-120b,5223,1792,299,173,5522,bkp,csr,,size
gpt-oss-120b,5206,1792,251,141,5457,bkp,csr,TIF,bit_offset
gpt-oss-120b,5206,1792,368,204,5574,bkp,csr,TIF,bit_width
gpt-oss-120b,5252,5120,481,326,5733,bkp,csr,TIF,access
gpt-oss-120b,5206,1792,302,186,5508,bkp,csr,TEF,bit_offset
gpt-oss-120b,5206,1792,318,172,5524,bkp,csr,TEF,bit_width
gpt-oss-120b,5252,1792,544,379,5796,bkp,csr,TEF,access
gpt-oss-120b,5226,1792,338,187,5564,bkp,csr,TPIE,bit_offset
gpt-oss-120b,5226,1792,380,180,5606,bkp,csr,TPIE,bit_width
gpt-oss-120b,5226,0,595,410,5821,bkp,csr,TPIE,access
gpt-oss-120b,5206,1792,278,137,5484,bkp,csr,CTI,bit_offset
gpt-oss-120b,5206,1792,342,211,5548,bkp,csr,CTI,bit_width
gpt-oss-120b,5234,1792,322,194,5556,bkp,csr,CTI,access
gpt-oss-120b,5173,1792,336,206,5509,bkp,csr,CTE,bit_offset
gpt-oss-120b,5206,5120,280,183,5486,bkp,csr,CTE,bit_width
gpt-oss-120b,5234,1792,381,265,5615,bkp,csr,CTE,access
gpt-oss-120b,5074,1792,262,118,5336,bkp,dr1,,address_offset
gpt-oss-120b,5137,1792,269,126,5406,bkp,dr1,,reset_value
gpt-oss-120b,5170,1792,330,226,5500,bkp,dr1,,size
gpt-oss-120b,5087,0,326,193,5413,bkp,dr1,D[15:0],bit_offset
gpt-oss-120b,5184,1792,338,189,5522,bkp,dr1,D[15:0],bit_width
gpt-oss-120b,5057,1792,509,402,5566,bkp,dr1,D[15:0],access
gpt-oss-120b,5147,1792,215,85,5362,bkp,dr10,,address_offset
gpt-oss-120b,5163,1792,316,191,5479,bkp,dr10,,reset_value
gpt-oss-120b,5215,1792,259,157,5474,bkp,dr10,,size
gpt-oss-120b,5182,1792,349,220,5531,bkp,dr10,D[15:0],bit_offset
gpt-oss-120b,5087,0,352,192,5439,bkp,dr10,D[15:0],bit_width
gpt-oss-120b,5060,0,442,297,5502,bkp,dr10,D[15:0],access
