model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name
gpt-oss-120b,4050,3840,376,201,4426,tim2,smcr
gpt-oss-120b,38548,2560,2670,896,41218,tim12,smcr
gpt-oss-120b,6186,6144,584,497,6770,rcc,cr
gpt-oss-120b,6080,2560,533,402,6613,rcc,apb1rstr
gpt-oss-120b,6076,5888,677,534,6753,rcc,cir
gpt-oss-120b,7810,2560,1654,333,9464,rcc,cfgr
gpt-oss-120b,8739,2560,365,240,9104,rcc,apb2enr
gpt-oss-120b,6454,2560,434,293,6888,iwdg,rlr
gpt-oss-120b,6453,2560,403,269,6856,iwdg,pr
gpt-oss-120b,6453,2560,344,199,6797,iwdg,sr
gpt-oss-120b,6453,2560,651,494,7104,iwdg,kr
gpt-oss-120b,3429,3328,423,295,3852,flash,cr
gpt-oss-120b,3429,2560,288,200,3717,flash,acr
gpt-oss-120b,3429,2560,350,260,3779,flash,obr
gpt-oss-120b,3431,2560,407,256,3838,flash,optkeyr
gpt-oss-120b,3429,0,627,502,4056,flash,ar
gpt-oss-120b,3430,2560,364,242,3794,flash,wrpr
gpt-oss-120b,3430,3328,361,231,3791,flash,keyr
gpt-oss-120b,3429,2560,404,258,3833,flash,sr
gpt-oss-120b,18363,2560,423,285,18786,tim6,cr2
gpt-oss-120b,17682,17664,1190,625,18872,tim6,dier
gpt-oss-120b,10384,2560,1127,373,11511,tim16,dcr
gpt-oss-120b,3313,0,399,269,3712,exti,rtsr
gpt-oss-120b,3313,3072,434,317,3747,exti,ftsr
gpt-oss-120b,6195,2560,687,471,6882,afio,mapr2
gpt-oss-120b,5490,5376,466,319,5956,crc,cr
gpt-oss-120b,4065,2560,371,212,4436,tim1,bdtr
gpt-oss-120b,7401,7168,415,228,7816,tim1,ccr2
gpt-oss-120b,4065,2560,460,302,4525,tim1,cr1
gpt-oss-120b,4065,2560,370,215,4435,tim1,cr2
gpt-oss-120b,7401,2560,698,506,8099,tim1,ccr3
gpt-oss-120b,6887,2560,413,224,7300,tim1,arr
gpt-oss-120b,3124,2560,242,155,3366,tim1,cnt
gpt-oss-120b,7401,7168,609,460,8010,tim1,ccr4
gpt-oss-120b,5421,2560,511,360,5932,rtc,divh
gpt-oss-120b,5421,2560,477,323,5898,rtc,divl
gpt-oss-120b,5421,2560,431,273,5852,rtc,alrl
gpt-oss-120b,5421,2560,426,306,5847,rtc,cnth
gpt-oss-120b,5421,2560,387,222,5808,rtc,cntl
gpt-oss-120b,5422,2560,340,242,5762,wwdg,cr
gpt-oss-120b,5422,2560,193,106,5615,tim15,dcr
gpt-oss-120b,5423,2560,340,199,5763,tim15,ccr2
gpt-oss-120b,6915,6912,497,329,7412,tim15,bdtr
gpt-oss-120b,6051,2560,856,718,6907,tim15,dmar
gpt-oss-120b,7469,2560,391,278,7860,tim15,ccer
gpt-oss-120b,3125,2560,280,125,3405,fsmc,btr2
gpt-oss-120b,3125,0,374,248,3499,fsmc,bcr4
gpt-oss-120b,3125,3072,282,151,3407,fsmc,bcr2
gpt-oss-120b,3125,2560,393,263,3518,fsmc,btr3
gpt-oss-120b,3125,2560,386,221,3511,fsmc,btr4
gpt-oss-120b,3125,2560,325,156,3450,fsmc,btr1
gpt-oss-120b,4136,2560,430,284,4566,dac,cr
gpt-oss-120b,5865,2560,361,214,6226,dac,dhr12r2
gpt-oss-120b,5084,2560,411,282,5495,dac,dhr8rd
gpt-oss-120b,5862,2560,837,640,6699,dac,dor2
gpt-oss-120b,5084,2560,421,227,5505,dac,dhr12rd
gpt-oss-120b,3393,3328,2144,818,5537,dac,swtrigr
gpt-oss-120b,5862,2560,544,342,6406,dac,dor1
gpt-oss-120b,3276,2560,317,149,3593,dac,sr
gpt-oss-120b,5084,2560,414,243,5498,dac,dhr12ld
gpt-oss-120b,3315,2560,647,473,3962,cec,oar
gpt-oss-120b,4332,4096,342,148,4674,cec,csr
gpt-oss-120b,4532,2560,210,104,4742,bkp,dr36
gpt-oss-120b,4532,2560,302,131,4834,bkp,dr32
gpt-oss-120b,4532,4352,319,184,4851,bkp,dr29
gpt-oss-120b,4532,2560,319,173,4851,bkp,dr25
gpt-oss-120b,4532,2560,390,287,4922,bkp,dr39
gpt-oss-120b,4532,2560,428,251,4960,bkp,dr30
gpt-oss-120b,4532,2560,277,129,4809,bkp,dr23
gpt-oss-120b,4532,2560,232,107,4764,bkp,dr31
gpt-oss-120b,4532,2560,515,338,5047,bkp,dr40
gpt-oss-120b,4532,0,317,180,4849,bkp,dr33
gpt-oss-120b,4532,4352,405,247,4937,bkp,dr42
gpt-oss-120b,4532,2560,307,205,4839,bkp,dr27
gpt-oss-120b,4532,2560,374,256,4906,bkp,dr26
gpt-oss-120b,4532,2560,589,380,5121,bkp,dr28
gpt-oss-120b,4532,2560,398,286,4930,bkp,dr22
gpt-oss-120b,4532,4352,438,250,4970,bkp,dr41
gpt-oss-120b,4532,2560,568,380,5100,bkp,dr34
gpt-oss-120b,4532,2560,406,297,4938,bkp,dr35
gpt-oss-120b,4532,4352,344,191,4876,bkp,dr38
gpt-oss-120b,4532,2560,312,158,4844,bkp,dr21
gpt-oss-120b,4532,2560,379,228,4911,bkp,dr24
gpt-oss-120b,4532,2560,311,182,4843,bkp,dr37
