peripheral_name,register_name,field_name,key,value,agent_judgement,confidence_score
afio,evcr,,address_offset,0x00,True,1.0
afio,evcr,,reset_value,0x00000000,True,0.98
afio,evcr,,size,32,True,0.98
afio,evcr,EVOE,bit_offset,7,True,1.0
afio,evcr,EVOE,bit_width,1,True,1.0
afio,evcr,EVOE,access,read-write,True,1.0
afio,evcr,PIN[3:0],bit_offset,0,True,1.0
afio,evcr,PIN[3:0],bit_width,4,True,0.99
afio,evcr,PIN[3:0],access,read-write,True,0.98
afio,exticr1,,address_offset,0x08,True,1.0
afio,exticr1,,reset_value,0x0000,True,1.0
afio,exticr1,,size,32,True,0.97
afio,exticr1,EXTI0,bit_offset,0,True,0.99
afio,exticr1,EXTI0,bit_width,4,True,0.98
afio,exticr1,EXTI0,access,read-write,True,1.0
afio,exticr1,EXTI1,bit_offset,4,True,0.99
afio,exticr1,EXTI1,bit_width,4,True,0.99
afio,exticr1,EXTI1,access,read-write,True,1.0
afio,exticr1,EXTI2,bit_offset,8,True,0.93
afio,exticr1,EXTI2,bit_width,4,True,1.0
afio,exticr1,EXTI2,access,read-write,True,1.0
afio,exticr1,EXTI3,bit_offset,12,True,0.99
afio,exticr1,EXTI3,bit_width,4,True,0.99
afio,exticr1,EXTI3,access,read-write,True,1.0
afio,exticr2,,address_offset,0x0C,True,1.0
afio,exticr2,,reset_value,0x0000,True,1.0
afio,exticr2,,size,32,True,0.95
afio,exticr2,EXT4,bit_offset,0,True,1.0
afio,exticr2,EXT4,bit_width,4,True,0.97
afio,exticr2,EXT4,access,read-write,True,1.0
afio,exticr2,EXT5,bit_offset,4,True,0.99
afio,exticr2,EXT5,bit_width,4,False,0.92
afio,exticr2,EXT5,access,read-write,True,1.0
afio,exticr2,EXT6,bit_offset,8,True,0.99
afio,exticr2,EXT6,bit_width,4,False,0.99
afio,exticr2,EXT6,access,read-write,True,0.98
afio,exticr2,EXT7,bit_offset,12,True,0.98
afio,exticr2,EXT7,bit_width,4,False,1.0
afio,exticr2,EXT7,access,read-write,True,0.99
afio,exticr3,,address_offset,0x10,True,1.0
afio,exticr3,,reset_value,0x0000,True,1.0
afio,exticr3,,size,32,True,0.98
afio,exticr3,EXTI8,bit_offset,0,True,0.99
afio,exticr3,EXTI8,bit_width,4,True,1.0
afio,exticr3,EXTI8,access,read-write,True,0.99
afio,exticr3,EXTI9,bit_offset,4,True,0.99
afio,exticr3,EXTI9,bit_width,4,True,1.0
afio,exticr3,EXTI9,access,read-write,True,0.99
afio,exticr3,EXTI10,bit_offset,8,True,0.98
afio,exticr3,EXTI10,bit_width,4,True,1.0
afio,exticr3,EXTI10,access,read-write,True,0.99
afio,exticr3,EXTI11,bit_offset,12,True,0.99
afio,exticr3,EXTI11,bit_width,4,True,1.0
afio,exticr3,EXTI11,access,read-write,True,1.0
afio,exticr4,,address_offset,0x14,True,1.0
afio,exticr4,,reset_value,0x0000,True,1.0
afio,exticr4,,size,32,True,0.97
afio,exticr4,EXTI12,bit_offset,0,True,0.97
afio,exticr4,EXTI12,bit_width,4,True,0.99
afio,exticr4,EXTI12,access,read-write,True,1.0
afio,exticr4,EXTI13,bit_offset,4,True,0.98
afio,exticr4,EXTI13,bit_width,4,True,0.99
afio,exticr4,EXTI13,access,read-write,True,0.99
afio,exticr4,EXTI14,bit_offset,8,True,0.98
