model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name,field_name,key
gpt-oss-120b,5057,1792,244,126,5301,afio,evcr,,address_offset
gpt-oss-120b,5117,1792,354,193,5471,afio,evcr,,reset_value
gpt-oss-120b,5101,1792,257,151,5358,afio,evcr,,size
gpt-oss-120b,5103,4864,227,115,5330,afio,evcr,EVOE,bit_offset
gpt-oss-120b,5017,1792,287,165,5304,afio,evcr,EVOE,bit_width
gpt-oss-120b,5026,1792,386,284,5412,afio,evcr,EVOE,access
gpt-oss-120b,5144,1792,352,220,5496,afio,evcr,PIN[3:0],bit_offset
gpt-oss-120b,5144,1792,317,161,5461,afio,evcr,PIN[3:0],bit_width
gpt-oss-120b,5171,1792,478,306,5649,afio,evcr,PIN[3:0],access
gpt-oss-120b,5242,1792,290,136,5532,afio,exticr1,,address_offset
gpt-oss-120b,5254,1792,293,145,5547,afio,exticr1,,reset_value
gpt-oss-120b,5235,1792,228,141,5463,afio,exticr1,,size
gpt-oss-120b,5225,1792,386,221,5611,afio,exticr1,EXTI0,bit_offset
gpt-oss-120b,5238,1792,338,147,5576,afio,exticr1,EXTI0,bit_width
gpt-oss-120b,5237,1792,423,227,5660,afio,exticr1,EXTI0,access
gpt-oss-120b,5225,1792,463,276,5688,afio,exticr1,EXTI1,bit_offset
gpt-oss-120b,5238,1792,385,197,5623,afio,exticr1,EXTI1,bit_width
gpt-oss-120b,5249,1792,259,155,5508,afio,exticr1,EXTI1,access
gpt-oss-120b,5249,1792,505,339,5754,afio,exticr1,EXTI2,bit_offset
gpt-oss-120b,5249,1792,322,176,5571,afio,exticr1,EXTI2,bit_width
gpt-oss-120b,5249,5120,434,289,5683,afio,exticr1,EXTI2,access
gpt-oss-120b,5249,1792,527,305,5776,afio,exticr1,EXTI3,bit_offset
gpt-oss-120b,5249,1792,288,159,5537,afio,exticr1,EXTI3,bit_width
gpt-oss-120b,5242,4352,300,198,5542,afio,exticr1,EXTI3,access
gpt-oss-120b,5227,5120,260,121,5487,afio,exticr2,,address_offset
gpt-oss-120b,5254,1792,214,85,5468,afio,exticr2,,reset_value
gpt-oss-120b,5235,1792,345,178,5580,afio,exticr2,,size
gpt-oss-120b,5241,1792,527,340,5768,afio,exticr2,EXT4,bit_offset
gpt-oss-120b,5239,1792,397,213,5636,afio,exticr2,EXT4,bit_width
gpt-oss-120b,5159,1792,448,258,5607,afio,exticr2,EXT4,access
gpt-oss-120b,5241,1792,470,286,5711,afio,exticr2,EXT5,bit_offset
gpt-oss-120b,5241,1792,664,476,5905,afio,exticr2,EXT5,bit_width
gpt-oss-120b,5227,1792,396,212,5623,afio,exticr2,EXT5,access
gpt-oss-120b,5241,1792,661,469,5902,afio,exticr2,EXT6,bit_offset
gpt-oss-120b,5241,1792,495,257,5736,afio,exticr2,EXT6,bit_width
gpt-oss-120b,5241,5120,455,235,5696,afio,exticr2,EXT6,access
gpt-oss-120b,5241,1792,450,250,5691,afio,exticr2,EXT7,bit_offset
gpt-oss-120b,5248,1792,519,338,5767,afio,exticr2,EXT7,bit_width
gpt-oss-120b,5241,1792,400,244,5641,afio,exticr2,EXT7,access
gpt-oss-120b,5234,1792,241,120,5475,afio,exticr3,,address_offset
gpt-oss-120b,5235,1792,247,103,5482,afio,exticr3,,reset_value
gpt-oss-120b,5229,1792,312,152,5541,afio,exticr3,,size
gpt-oss-120b,5255,1792,349,183,5604,afio,exticr3,EXTI8,bit_offset
gpt-oss-120b,5255,5120,338,185,5593,afio,exticr3,EXTI8,bit_width
gpt-oss-120b,5255,1792,385,212,5640,afio,exticr3,EXTI8,access
gpt-oss-120b,5255,1792,798,586,6053,afio,exticr3,EXTI9,bit_offset
gpt-oss-120b,5255,1792,399,246,5654,afio,exticr3,EXTI9,bit_width
gpt-oss-120b,5255,1792,331,217,5586,afio,exticr3,EXTI9,access
gpt-oss-120b,5255,5120,525,324,5780,afio,exticr3,EXTI10,bit_offset
gpt-oss-120b,5255,1792,376,198,5631,afio,exticr3,EXTI10,bit_width
gpt-oss-120b,5255,1792,393,243,5648,afio,exticr3,EXTI10,access
gpt-oss-120b,5255,1792,438,294,5693,afio,exticr3,EXTI11,bit_offset
gpt-oss-120b,5255,5120,404,229,5659,afio,exticr3,EXTI11,bit_width
gpt-oss-120b,5255,1792,325,222,5580,afio,exticr3,EXTI11,access
gpt-oss-120b,5234,1792,299,147,5533,afio,exticr4,,address_offset
gpt-oss-120b,5153,1792,339,112,5492,afio,exticr4,,reset_value
gpt-oss-120b,5229,1792,295,174,5524,afio,exticr4,,size
gpt-oss-120b,5236,1792,593,446,5829,afio,exticr4,EXTI12,bit_offset
gpt-oss-120b,5255,1792,369,204,5624,afio,exticr4,EXTI12,bit_width
gpt-oss-120b,5222,5120,494,335,5716,afio,exticr4,EXTI12,access
gpt-oss-120b,5234,1792,628,428,5862,afio,exticr4,EXTI13,bit_offset
gpt-oss-120b,5243,1792,325,171,5568,afio,exticr4,EXTI13,bit_width
gpt-oss-120b,5236,1792,368,203,5604,afio,exticr4,EXTI13,access
gpt-oss-120b,5244,1792,446,289,5690,afio,exticr4,EXTI14,bit_offset
gpt-oss-120b,5243,5120,374,182,5617,afio,exticr4,EXTI14,bit_width
gpt-oss-120b,5222,1792,398,240,5620,afio,exticr4,EXTI14,access
gpt-oss-120b,5231,1792,608,363,5839,afio,exticr4,EXTI15,bit_offset
gpt-oss-120b,5244,1792,355,180,5599,afio,exticr4,EXTI15,bit_width
gpt-oss-120b,5238,1792,614,401,5852,afio,exticr4,EXTI15,access
gpt-oss-120b,5125,1792,249,125,5374,afio,mapr,,address_offset
gpt-oss-120b,5157,1792,287,118,5444,afio,mapr,,reset_value
gpt-oss-120b,5209,1792,248,140,5457,afio,mapr,,size
gpt-oss-120b,5083,1792,387,247,5470,afio,mapr,SWJ_CFG,bit_offset
gpt-oss-120b,5083,1792,294,137,5377,afio,mapr,SWJ_CFG,bit_width
gpt-oss-120b,5040,1792,272,163,5312,afio,mapr,SWJ_CFG,access
gpt-oss-120b,5055,1792,318,189,5373,afio,mapr,PD01_REMAP,bit_offset
gpt-oss-120b,5061,1792,306,155,5367,afio,mapr,PD01_REMAP,bit_width
gpt-oss-120b,5062,1792,435,293,5497,afio,mapr,PD01_REMAP,access
gpt-oss-120b,5100,4864,319,184,5419,afio,mapr,TIM4_REMAP,bit_offset
gpt-oss-120b,5145,1792,278,92,5423,afio,mapr,TIM4_REMAP,bit_width
gpt-oss-120b,5145,1792,484,296,5629,afio,mapr,TIM4_REMAP,access
gpt-oss-120b,5211,1792,394,192,5605,afio,mapr,TIM3_REMAP,bit_offset
gpt-oss-120b,5153,1792,324,180,5477,afio,mapr,TIM3_REMAP,bit_width
