model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name,field_name,key
gpt-oss-120b,4980,0,226,97,5206,adc1,cr1,,address_offset
gpt-oss-120b,5194,0,829,614,6023,adc1,cr1,,reset_value
gpt-oss-120b,5126,0,497,287,5623,adc1,cr1,,size
gpt-oss-120b,5120,0,224,84,5344,adc1,cr1,AWDEN,bit_offset
gpt-oss-120b,5120,0,276,155,5396,adc1,cr1,AWDEN,bit_width
gpt-oss-120b,5170,0,368,217,5538,adc1,cr1,AWDEN,access
gpt-oss-120b,5127,0,272,143,5399,adc1,cr1,JAWDEN,bit_offset
gpt-oss-120b,5117,1792,280,169,5397,adc1,cr1,JAWDEN,bit_width
gpt-oss-120b,5137,0,457,308,5594,adc1,cr1,JAWDEN,access
gpt-oss-120b,5123,1792,331,176,5454,adc1,cr1,DISCNUM,bit_offset
gpt-oss-120b,5123,1792,264,133,5387,adc1,cr1,DISCNUM,bit_width
gpt-oss-120b,5128,0,378,230,5506,adc1,cr1,DISCNUM,access
gpt-oss-120b,5120,1792,311,187,5431,adc1,cr1,JDISCEN,bit_offset
gpt-oss-120b,5124,1792,368,230,5492,adc1,cr1,JDISCEN,bit_width
gpt-oss-120b,5156,1792,308,196,5464,adc1,cr1,JDISCEN,access
gpt-oss-120b,5123,1792,280,138,5403,adc1,cr1,DISCEN,bit_offset
gpt-oss-120b,5137,1792,294,174,5431,adc1,cr1,DISCEN,bit_width
gpt-oss-120b,5128,0,288,176,5416,adc1,cr1,DISCEN,access
gpt-oss-120b,5123,1792,257,121,5380,adc1,cr1,JAUTO,bit_offset
gpt-oss-120b,5123,1792,347,214,5470,adc1,cr1,JAUTO,bit_width
gpt-oss-120b,5095,1792,308,209,5403,adc1,cr1,JAUTO,access
gpt-oss-120b,5107,1792,185,77,5292,adc1,cr2,,address_offset
gpt-oss-120b,5206,1792,442,326,5648,adc1,cr2,,reset_value
gpt-oss-120b,5126,1792,299,204,5425,adc1,cr2,,size
gpt-oss-120b,5084,1792,300,167,5384,adc1,cr2,AWDEN,bit_offset
gpt-oss-120b,5084,0,249,135,5333,adc1,cr2,AWDEN,bit_width
gpt-oss-120b,5005,1792,434,297,5439,adc1,cr2,AWDEN,access
gpt-oss-120b,5117,0,247,93,5364,adc1,cr2,JAWDEN,bit_offset
gpt-oss-120b,5117,1792,294,139,5411,adc1,cr2,JAWDEN,bit_width
gpt-oss-120b,5139,1792,534,389,5673,adc1,cr2,JAWDEN,access
gpt-oss-120b,5091,1792,425,256,5516,adc1,cr2,DISCNUM,bit_offset
gpt-oss-120b,5091,1792,477,282,5568,adc1,cr2,DISCNUM,bit_width
gpt-oss-120b,5091,1792,457,255,5548,adc1,cr2,DISCNUM,access
gpt-oss-120b,5120,1792,306,164,5426,adc1,cr2,JDISCEN,bit_offset
gpt-oss-120b,5156,0,270,106,5426,adc1,cr2,JDISCEN,bit_width
gpt-oss-120b,5149,1792,565,352,5714,adc1,cr2,JDISCEN,access
gpt-oss-120b,5109,1792,310,171,5419,adc1,cr2,DISCEN,bit_offset
gpt-oss-120b,5091,1792,701,547,5792,adc1,cr2,DISCEN,bit_width
gpt-oss-120b,5081,1792,439,254,5520,adc1,cr2,DISCEN,access
gpt-oss-120b,5119,1792,244,125,5363,adc1,cr2,JAUTO,bit_offset
gpt-oss-120b,5155,1792,261,146,5416,adc1,cr2,JAUTO,bit_width
gpt-oss-120b,5169,1792,401,292,5570,adc1,cr2,JAUTO,access
gpt-oss-120b,5115,1792,298,171,5413,adc1,cr2,AWDSGL,bit_offset
gpt-oss-120b,5053,1792,249,119,5302,adc1,cr2,AWDSGL,bit_width
gpt-oss-120b,5010,1792,382,253,5392,adc1,cr2,AWDSGL,access
gpt-oss-120b,5107,1792,262,118,5369,adc1,cr2,SCAN,bit_offset
gpt-oss-120b,5051,1792,306,189,5357,adc1,cr2,SCAN,bit_width
gpt-oss-120b,5044,1792,308,196,5352,adc1,cr2,SCAN,access
gpt-oss-120b,5055,1792,202,92,5257,adc1,cr2,JEOCIE,bit_offset
gpt-oss-120b,5055,1792,263,148,5318,adc1,cr2,JEOCIE,bit_width
gpt-oss-120b,5138,1792,367,234,5505,adc1,cr2,JEOCIE,access
gpt-oss-120b,5085,1792,299,165,5384,adc1,cr2,AWDIE,bit_offset
gpt-oss-120b,5085,1792,281,143,5366,adc1,cr2,AWDIE,bit_width
gpt-oss-120b,5046,1792,379,258,5425,adc1,cr2,AWDIE,access
gpt-oss-120b,5085,1792,251,110,5336,adc1,cr2,EOCIE,bit_offset
gpt-oss-120b,5055,1792,233,92,5288,adc1,cr2,EOCIE,bit_width
gpt-oss-120b,5085,1792,333,186,5418,adc1,cr2,EOCIE,access
gpt-oss-120b,5146,1792,477,351,5623,adc1,cr2,AWDCH,bit_offset
gpt-oss-120b,5053,1792,318,187,5371,adc1,cr2,AWDCH,bit_width
gpt-oss-120b,5050,1792,389,273,5439,adc1,cr2,AWDCH,access
gpt-oss-120b,4990,1792,251,130,5241,adc1,dr,,address_offset
gpt-oss-120b,5186,1792,277,126,5463,adc1,dr,,reset_value
gpt-oss-120b,5152,1792,315,214,5467,adc1,dr,,size
gpt-oss-120b,5183,1792,390,231,5573,adc1,dr,DATA,bit_offset
gpt-oss-120b,5200,1792,319,155,5519,adc1,dr,DATA,bit_width
gpt-oss-120b,5146,1792,319,183,5465,adc1,dr,DATA,access
gpt-oss-120b,5224,1792,311,166,5535,adc1,htr,,address_offset
gpt-oss-120b,5218,1792,285,146,5503,adc1,htr,,reset_value
gpt-oss-120b,5123,1792,303,179,5426,adc1,htr,,size
gpt-oss-120b,5226,1792,407,235,5633,adc1,htr,HT,bit_offset
gpt-oss-120b,5221,1792,404,250,5625,adc1,htr,HT,bit_width
gpt-oss-120b,5102,1792,445,311,5547,adc1,htr,HT,access
gpt-oss-120b,5117,1792,344,202,5461,adc1,jdr1,,address_offset
gpt-oss-120b,5158,1792,491,297,5649,adc1,jdr1,,reset_value
gpt-oss-120b,5144,1792,326,180,5470,adc1,jdr1,,size
gpt-oss-120b,5117,0,237,129,5354,adc1,jdr1,JDATA,bit_offset
gpt-oss-120b,5117,1792,323,161,5440,adc1,jdr1,JDATA,bit_width
gpt-oss-120b,5117,1792,228,111,5345,adc1,jdr1,JDATA,access
gpt-oss-120b,5116,0,327,197,5443,adc1,jdr2,,address_offset
gpt-oss-120b,5168,1792,405,210,5573,adc1,jdr2,,reset_value
gpt-oss-120b,5144,1792,378,193,5522,adc1,jdr2,,size
gpt-oss-120b,5117,1792,348,173,5465,adc1,jdr2,JDATA,bit_offset
gpt-oss-120b,5117,1792,270,134,5387,adc1,jdr2,JDATA,bit_width
gpt-oss-120b,5117,1792,280,136,5397,adc1,jdr2,JDATA,access
gpt-oss-120b,5116,1792,274,132,5390,adc1,jdr3,,address_offset
gpt-oss-120b,5168,1792,379,193,5547,adc1,jdr3,,reset_value
gpt-oss-120b,5161,1792,256,134,5417,adc1,jdr3,,size
gpt-oss-120b,5117,1792,294,184,5411,adc1,jdr3,JDATA,bit_offset
gpt-oss-120b,5117,1792,301,159,5418,adc1,jdr3,JDATA,bit_width
gpt-oss-120b,5117,1792,327,184,5444,adc1,jdr3,JDATA,access
gpt-oss-120b,5116,1792,314,174,5430,adc1,jdr4,,address_offset
gpt-oss-120b,5156,1792,402,261,5558,adc1,jdr4,,reset_value
gpt-oss-120b,5161,1792,340,184,5501,adc1,jdr4,,size
gpt-oss-120b,5117,1792,399,186,5516,adc1,jdr4,JDATA,bit_offset
gpt-oss-120b,5117,1792,265,110,5382,adc1,jdr4,JDATA,bit_width
gpt-oss-120b,5117,1792,345,230,5462,adc1,jdr4,JDATA,access
gpt-oss-120b,5157,1792,422,230,5579,adc1,jofr1,,address_offset
gpt-oss-120b,5212,1792,341,196,5553,adc1,jofr1,,reset_value
gpt-oss-120b,5186,1792,425,258,5611,adc1,jofr1,,size
gpt-oss-120b,5237,1792,434,262,5671,adc1,jofr1,JOFFSET1,bit_offset
gpt-oss-120b,5237,1792,306,165,5543,adc1,jofr1,JOFFSET1,bit_width
gpt-oss-120b,5176,1792,460,305,5636,adc1,jofr1,JOFFSET1,access
gpt-oss-120b,5159,1792,569,341,5728,adc1,jofr2,,address_offset
gpt-oss-120b,5194,1792,410,263,5604,adc1,jofr2,,reset_value
gpt-oss-120b,5162,1792,519,321,5681,adc1,jofr2,,size
gpt-oss-120b,5211,1792,399,235,5610,adc1,jofr2,JOFFSET2,bit_offset
gpt-oss-120b,5209,1792,266,154,5475,adc1,jofr2,JOFFSET2,bit_width
gpt-oss-120b,5176,1792,448,303,5624,adc1,jofr2,JOFFSET2,access
gpt-oss-120b,5175,1792,294,143,5469,adc1,jofr3,,address_offset
gpt-oss-120b,5212,1792,452,279,5664,adc1,jofr3,,reset_value
gpt-oss-120b,5162,1792,395,273,5557,adc1,jofr3,,size
gpt-oss-120b,5213,0,437,234,5650,adc1,jofr3,JOFFSET3,bit_offset
gpt-oss-120b,5213,0,416,294,5629,adc1,jofr3,JOFFSET3,bit_width
gpt-oss-120b,5201,1792,469,258,5670,adc1,jofr3,JOFFSET3,access
gpt-oss-120b,5196,1792,404,214,5600,adc1,jofr4,,address_offset
gpt-oss-120b,5212,0,404,192,5616,adc1,jofr4,,reset_value
gpt-oss-120b,5198,1792,421,237,5619,adc1,jofr4,,size
gpt-oss-120b,5213,1792,435,296,5648,adc1,jofr4,JOFFSET4,bit_offset
gpt-oss-120b,5237,1792,315,132,5552,adc1,jofr4,JOFFSET4,bit_width
gpt-oss-120b,5192,1792,433,279,5625,adc1,jofr4,JOFFSET4,access
gpt-oss-120b,5096,1792,219,106,5315,adc1,jsqr,,address_offset
gpt-oss-120b,5116,1792,244,108,5360,adc1,jsqr,,reset_value
gpt-oss-120b,5093,1792,235,141,5328,adc1,jsqr,,size
