model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name
gpt-oss-120b,5421,2560,328,194,5749,rtc,alrl
gpt-oss-120b,5421,2560,340,244,5761,rtc,cntl
gpt-oss-120b,5421,0,378,236,5799,rtc,divh
gpt-oss-120b,5421,0,439,291,5860,rtc,divl
gpt-oss-120b,5421,2560,338,231,5759,rtc,cnth
gpt-oss-120b,5421,2560,406,308,5827,rtc,alrh
gpt-oss-120b,34488,0,1449,517,35937,tim12,ccer
gpt-oss-120b,10384,2560,1268,327,11652,tim2,dcr
gpt-oss-120b,5422,0,373,236,5795,wwdg,cr
gpt-oss-120b,4532,0,310,166,4842,bkp,dr36
gpt-oss-120b,4532,2560,417,310,4949,bkp,dr29
gpt-oss-120b,4532,0,248,101,4780,bkp,dr25
gpt-oss-120b,4532,2560,441,292,4973,bkp,dr27
gpt-oss-120b,4532,2560,407,285,4939,bkp,dr39
gpt-oss-120b,4532,0,395,253,4927,bkp,dr37
gpt-oss-120b,4532,0,389,249,4921,bkp,dr40
gpt-oss-120b,4532,2560,336,196,4868,bkp,dr21
gpt-oss-120b,4532,2560,366,235,4898,bkp,dr24
gpt-oss-120b,4532,2560,314,165,4846,bkp,dr42
gpt-oss-120b,4532,2560,213,110,4745,bkp,dr23
gpt-oss-120b,4532,2560,375,261,4907,bkp,dr35
gpt-oss-120b,4532,0,412,276,4944,bkp,dr30
gpt-oss-120b,4532,0,330,201,4862,bkp,dr28
gpt-oss-120b,4532,2560,415,267,4947,bkp,dr38
gpt-oss-120b,4532,2560,596,466,5128,bkp,dr22
gpt-oss-120b,4532,2560,247,88,4779,bkp,dr33
gpt-oss-120b,4532,2560,1433,388,5965,bkp,dr34
gpt-oss-120b,4532,0,214,81,4746,bkp,dr32
gpt-oss-120b,4532,2560,276,116,4808,bkp,dr41
gpt-oss-120b,4532,2560,246,102,4778,bkp,dr26
gpt-oss-120b,4532,2560,239,84,4771,bkp,dr31
gpt-oss-120b,35035,2560,1281,445,36316,tim6,egr
gpt-oss-120b,51018,0,517,175,51535,tim6,arr
gpt-oss-120b,28552,2560,744,377,29296,tim6,cnt
gpt-oss-120b,40682,2560,1250,417,41932,tim6,cr1
gpt-oss-120b,51018,0,503,204,51521,tim16,arr
gpt-oss-120b,18814,2560,449,160,19263,tim16,psc
gpt-oss-120b,3393,2560,603,469,3996,dac,swtrigr
gpt-oss-120b,4136,2560,420,313,4556,dac,cr
gpt-oss-120b,5491,2560,317,218,5808,crc,idr
gpt-oss-120b,5490,2560,524,394,6014,crc,cr
gpt-oss-120b,6915,2560,408,241,7323,tim15,bdtr
gpt-oss-120b,5422,2560,610,487,6032,tim15,dcr
gpt-oss-120b,6051,2560,597,462,6648,tim15,dmar
gpt-oss-120b,5423,2560,279,135,5702,tim15,ccr2
gpt-oss-120b,4065,2560,446,330,4511,tim1,bdtr
gpt-oss-120b,7401,2560,363,218,7764,tim1,ccr4
gpt-oss-120b,7401,2560,802,639,8203,tim1,ccr1
gpt-oss-120b,6887,2560,382,248,7269,tim1,arr
gpt-oss-120b,7401,2560,445,295,7846,tim1,ccr3
gpt-oss-120b,3124,0,281,158,3405,tim1,cnt
gpt-oss-120b,10384,2560,454,328,10838,tim1,dcr
gpt-oss-120b,7401,2560,470,305,7871,tim1,ccr2
