run,embeddings,registers_found,total_registers,correct,wrong,missing,total,accuracy
text_chunks,4,5,7,72,0,75,147,48.97959183673469
text_chunks,8,7,7,64,5,78,147,43.53741496598639
text_chunks,16,7,7,71,7,69,147,48.29931972789115
text_chunks,50,6,7,99,12,36,147,67.3469387755102
md_chunks,4,6,7,107,1,39,147,72.78911564625851
md_chunks,8,5,7,94,5,48,147,63.94557823129252
md_chunks,16,7,7,105,6,36,147,71.42857142857143
md_chunks,50,7,7,107,5,35,147,72.78911564625851
md_chunks+expansion,4,6,7,97,14,36,147,65.98639455782312
md_chunks+expansion,8,7,7,108,3,36,147,73.46938775510205
md_chunks+expansion,16,7,7,108,3,36,147,73.46938775510205
md_chunks+expansion,50,7,7,98,13,36,147,66.66666666666666
md_enriched+expansion,4,6,7,110,1,36,147,74.82993197278913
md_enriched+expansion,8,6,7,100,11,36,147,68.02721088435374
md_enriched+expansion,16,6,7,111,0,36,147,75.51020408163265
