run,embeddings,registers,input_tokens,output_tokens,reasoning_tokens,file_search_tokens,total_tokens,llm_time,search_time,accuracy,input_per_reg,total_per_reg,efficiency
text_chunks,4,7,48473,8911,3354,18108,57384,23.615020036697388,10.134415864944458,49.0,6924.714285714285,8197.714285714286,0.8538965565314374
text_chunks,8,7,65655,9979,3657,35372,75634,25.80471134185791,8.42008376121521,43.5,9379.285714285714,10804.857142857143,0.5751381653753603
text_chunks,16,7,99153,9049,3231,68910,108202,26.398431539535522,9.527137517929077,48.3,14164.714285714286,15457.42857142857,0.4463873126189904
text_chunks,50,7,233290,12412,5163,203379,245702,39.08392524719238,10.483122825622559,67.3,33327.142857142855,35100.28571428572,0.27390904428942375
md_chunks,4,7,50423,9845,3282,19888,60268,28.51040554046631,10.458653450012207,72.8,7203.285714285715,8609.714285714286,1.2079378774805867
md_chunks,8,7,71142,10337,3570,40502,81479,28.869473695755005,9.916389465332031,63.9,10163.142857142857,11639.857142857143,0.7842511567397734
md_chunks,16,7,105386,11690,4485,74581,117076,35.490036487579346,9.734148025512695,71.4,15055.142857142857,16725.14285714286,0.6098602617103421
md_chunks,50,7,244888,12256,5177,214198,257144,112.0904610157013,10.022484302520752,72.8,34984.0,36734.857142857145,0.28310985284509843
md+expansion,4,7,116102,12793,5242,85562,128895,37.74001407623291,10.602092742919922,66.0,16586.0,18413.571428571428,0.5120446875363668
md+expansion,8,7,180536,12248,4397,149929,192784,48.67589235305786,10.022838592529297,73.5,25790.85714285714,27540.571428571428,0.3812557058677069
md+expansion,16,7,279714,11105,4101,248699,290819,44.41675615310669,10.728975772857666,73.5,39959.142857142855,41545.57142857143,0.25273451872126645
md+expansion,50,7,721435,12973,4123,689702,734408,119.94427990913391,10.556474924087524,66.7,103062.14285714286,104915.42857142857,0.09082145074672389
md_enriched+exp,4,6,45232,11413,4988,19146,56645,0.0,0.0,74.8,7538.666666666667,9440.833333333334,1.3205048989319443
md_enriched+exp,8,6,65045,10554,3564,39004,75599,0.0,0.0,68.0,10840.833333333334,12599.833333333334,0.8994827973914998
md_enriched+exp,16,6,100424,10187,3546,74409,110611,0.0,0.0,75.5,16737.333333333332,18435.166666666668,0.682572257732052
