model_name,true_positives,false_negatives,false_positives,true_negatives,accuracy,precision,recall,f1_score
gpt-oss-120b_test_bs2_emb8,491,109,3,397,0.888,0.994,0.818,0.898
gpt-oss-120b_test_bs3_emb8,501,99,6,392,0.895,0.988,0.835,0.905
gpt-oss-120b_test_bs4_emb8,466,134,9,391,0.857,0.981,0.777,0.867
gpt-oss-120b_test_bs1_emb4,512,88,12,388,0.900,0.977,0.853,0.911
gpt-oss-120b_test_sequential_emb4,548,37,5,389,0.957,0.991,0.937,0.963
gpt-oss-120b_test_bs2_emb4,448,152,9,391,0.839,0.980,0.747,0.848
gpt-oss-120b_test_bs3_emb16,530,70,8,392,0.922,0.985,0.883,0.931
gpt-oss-120b_test_bs3_emb4,419,181,8,392,0.811,0.981,0.698,0.816
gpt-oss-120b_test_bs1_emb16,554,43,10,387,0.947,0.982,0.928,0.954
gpt-oss-120b_test_bs4_emb32,535,65,5,395,0.930,0.991,0.892,0.939
gpt-oss-120b_test_bs4_emb16,500,100,2,398,0.898,0.996,0.833,0.907
gpt-oss-120b_test_bs4_emb4,333,267,7,393,0.726,0.979,0.555,0.709
gpt-oss-120b_test_bs1_emb8,542,58,3,397,0.939,0.994,0.903,0.947
gpt-oss-120b_test_bs2_emb16,524,76,7,393,0.917,0.987,0.873,0.927
