model_name,operation,count,total_time,avg_time,min_time,p25_time,median_time,p75_time,p90_time,p95_time,p99_time,max_time
gpt-oss-120b_test_bs2_emb8,vector_store_search,142,174.078433,1.225904,0.997837,1.081635,1.172258,1.315622,1.473644,1.599304,1.889255,1.922205
gpt-oss-120b_test_bs2_emb8,validator_llm_call,71,306.830284,4.321553,1.469693,2.643010,3.696674,5.120945,8.424473,9.280070,10.593104,10.916089
gpt-oss-120b_test_bs3_emb8,vector_store_search,94,119.739993,1.273830,1.032194,1.116808,1.181494,1.427559,1.534803,1.716987,2.145010,2.145042
gpt-oss-120b_test_bs3_emb8,validator_llm_call,47,253.221960,5.387701,2.049967,3.360141,4.558867,6.986501,9.646054,10.660987,11.298991,11.486751
gpt-oss-120b_test_bs1_emb4,vector_store_search,141,171.750326,1.218087,1.017270,,,,,,,2.280929
gpt-oss-120b_test_bs1_emb4,validator_llm_call,141,444.768878,3.154389,1.008678,,,,,,,11.754891
gpt-oss-120b_test_sequential_emb4,vector_store_search,1000,1428.154728,1.428155,0.965967,,,,,,,50.130244
gpt-oss-120b_test_sequential_emb4,validator_llm_call,1000,1547.218758,1.547219,0.723840,,,,,,,6.762834
gpt-oss-120b_test_bs3_emb16,vector_store_search,94,125.711701,1.337359,1.082428,1.155099,1.230427,1.356221,1.632870,2.190031,2.552302,2.552310
gpt-oss-120b_test_bs3_emb16,validator_llm_call,47,286.652528,6.098990,2.249321,4.386880,5.093156,7.014306,9.697829,12.002667,16.799303,19.119520
gpt-oss-120b_test_bs1_emb16,vector_store_search,141,242.196992,1.717709,1.080448,,,,,,,18.634801
gpt-oss-120b_test_bs1_emb16,validator_llm_call,141,488.305563,3.463160,1.448611,,,,,,,14.012736
gpt-oss-120b_test_bs1_emb8,vector_store_search,141,201.911818,1.431999,1.035335,,,,,,,16.725016
gpt-oss-120b_test_bs1_emb8,validator_llm_call,141,428.145551,3.036493,1.101677,,,,,,,11.852659
gpt-oss-120b_test_bs2_emb16,vector_store_search,142,175.194367,1.233763,1.024199,1.118274,1.199464,1.331712,1.428699,1.553551,1.731748,1.811465
gpt-oss-120b_test_bs2_emb16,validator_llm_call,71,312.117885,4.396027,1.550791,2.718038,3.789360,5.207670,7.362788,9.201216,10.413360,10.822177
