model_name,input_tokens,input_tokens_cached,output_tokens,output_tokens_reasoning,total_tokens,cost
gpt-oss-120b_test_bs2_emb8,533833,55296,95613,51807,629446,0.13
gpt-oss-120b_test_bs3_emb8,364222,18432,87419,47330,451641,0.11
gpt-oss-120b_test_bs4_emb8,285183,31232,82665,46747,367848,0.09
gpt-oss-120b_test_bs1_emb4,574668,68608,123828,62990,698496,0.16
gpt-oss-120b_test_sequential_emb4,5173864,1718528,380529,233557,5554393,0.88
gpt-oss-120b_test_bs2_emb4,304523,27648,99602,52126,404125,0.10
gpt-oss-120b_test_bs3_emb16,666331,100352,90539,49621,756870,0.15
gpt-oss-120b_test_bs3_emb4,212673,22016,84569,44231,297242,0.08
gpt-oss-120b_test_bs1_emb16,1934926,184576,147250,67114,2082176,0.36
gpt-oss-120b_test_bs4_emb32,970067,44032,92728,49051,1062795,0.20
gpt-oss-120b_test_bs4_emb16,515783,40192,80329,42683,596112,0.12
gpt-oss-120b_test_bs4_emb4,169339,17408,78519,41037,247858,0.07
gpt-oss-120b_test_bs1_emb8,1029960,87040,122150,65305,1152110,0.22
gpt-oss-120b_test_bs2_emb16,988703,35840,101329,55898,1090032,0.21
gpt-oss-120b_batched_test_emb4_bs4,131908,6656,64421,34464,196329,0.06
