peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
afio, evcr, , address_offset, 4652, 0, 599, 512, 5251
afio, evcr, , reset_value, 4681, 1408, 1357, 1216, 6038
afio, evcr, , size, 4687, 0, 2080, 1920, 6767
afio, evcr, evoe, bit_offset, 4676, 0, 745, 640, 5421
afio, evcr, evoe, access, 4577, 1408, 1686, 1600, 6263
afio, evcr, evoe, bit_width, 4594, 0, 807, 704, 5401
afio, evcr, pin, bit_offset, 4636, 0, 1682, 1472, 6318
afio, evcr, pin, access, 4698, 0, 1384, 1280, 6082
afio, evcr, pin, bit_width, 4728, 1408, 917, 832, 5645
afio, evcr, port, bit_offset, 4704, 1408, 2782, 2624, 7486
afio, evcr, port, access, 4703, 1408, 1819, 1600, 6522
afio, evcr, port, bit_width, 4704, 1408, 1698, 1600, 6402
afio, exticr1, , address_offset, 4797, 1408, 797, 704, 5594
afio, exticr1, , reset_value, 4799, 1408, 809, 704, 5608
afio, exticr1, , size, 4794, 1408, 1672, 1536, 6466
afio, exticr1, exti0, bit_offset, 4782, 0, 1227, 1088, 6009
afio, exticr1, exti0, access, 4794, 1408, 1156, 1024, 5950
afio, exticr1, exti0, bit_width, 4782, 1408, 1344, 1216, 6126
afio, exticr1, exti1, bit_offset, 4782, 1408, 1397, 1280, 6179
afio, exticr1, exti1, access, 4794, 0, 1787, 1664, 6581
afio, exticr1, exti1, bit_width, 4782, 1408, 951, 832, 5733
afio, exticr1, exti2, bit_offset, 4793, 0, 1573, 1408, 6366
afio, exticr1, exti2, access, 4806, 1408, 1014, 896, 5820
afio, exticr1, exti2, bit_width, 4806, 0, 908, 768, 5714
afio, exticr1, exti3, bit_offset, 4794, 1408, 1259, 1152, 6053
afio, exticr1, exti3, access, 4793, 1408, 1125, 1024, 5918
afio, exticr1, exti3, bit_width, 4806, 1408, 1277, 1152, 6083
afio, exticr2, , address_offset, 4810, 1408, 660, 576, 5470
afio, exticr2, , reset_value, 4799, 1408, 1428, 1280, 6227
afio, exticr2, , size, 4792, 1408, 1412, 1280, 6204
afio, exticr2, exti4, bit_offset, 4806, 1408, 1318, 1216, 6124
afio, exticr2, exti4, access, 4806, 0, 940, 832, 5746
afio, exticr2, exti4, bit_width, 4806, 1408, 1183, 1024, 5989
afio, exticr2, exti5, bit_offset, 4806, 1408, 1412, 1280, 6218
afio, exticr2, exti5, access, 4806, 1408, 1341, 1216, 6147
afio, exticr2, exti5, bit_width, 4806, 1408, 1503, 1344, 6309
afio, exticr2, exti6, bit_offset, 4810, 1408, 1082, 960, 5892
afio, exticr2, exti6, access, 4779, 0, 1083, 960, 5862
afio, exticr2, exti6, bit_width, 4806, 1408, 1422, 1280, 6228
afio, exticr2, exti7, bit_offset, 4784, 1408, 1601, 1472, 6385
afio, exticr2, exti7, access, 4805, 1408, 1874, 1728, 6679
afio, exticr2, exti7, bit_width, 4806, 1408, 1434, 1280, 6240
afio, exticr3, , address_offset, 4791, 1408, 985, 832, 5776
afio, exticr3, , reset_value, 4793, 1408, 1140, 1024, 5933
afio, exticr3, , size, 4807, 1408, 1161, 1024, 5968
afio, exticr3, exti10, bit_offset, 4812, 1408, 1936, 1792, 6748
afio, exticr3, exti10, access, 4812, 1408, 1218, 1088, 6030
afio, exticr3, exti10, bit_width, 4812, 1408, 1697, 1536, 6509
