peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
afio, evcr, , address_offset, 4652, 0, 96, 0, 4748
afio, evcr, , reset_value, 4681, 1280, 164, 0, 4845
afio, evcr, , size, 4687, 1280, 144, 0, 4831
afio, evcr, evoe, bit_offset, 4676, 0, 101, 0, 4777
afio, evcr, evoe, access, 4577, 1280, 145, 0, 4722
afio, evcr, evoe, bit_width, 4594, 1280, 119, 0, 4713
afio, evcr, pin, bit_offset, 4636, 1280, 142, 0, 4778
afio, evcr, pin, access, 4698, 1280, 120, 0, 4818
afio, evcr, pin, bit_width, 4728, 1280, 138, 0, 4866
afio, evcr, port, bit_offset, 4704, 1280, 122, 0, 4826
afio, evcr, port, access, 4703, 1280, 149, 0, 4852
afio, evcr, port, bit_width, 4704, 1280, 120, 0, 4824
afio, exticr1, , address_offset, 4797, 1280, 118, 0, 4915
afio, exticr1, , reset_value, 4799, 1280, 143, 0, 4942
afio, exticr1, , size, 4794, 1280, 142, 0, 4936
afio, exticr1, exti0, bit_offset, 4782, 1280, 153, 0, 4935
afio, exticr1, exti0, access, 4794, 1280, 167, 0, 4961
afio, exticr1, exti0, bit_width, 4782, 1280, 138, 0, 4920
afio, exticr1, exti1, bit_offset, 4782, 1280, 170, 0, 4952
afio, exticr1, exti1, access, 4794, 1280, 162, 0, 4956
afio, exticr1, exti1, bit_width, 4782, 1280, 134, 0, 4916
afio, exticr1, exti2, bit_offset, 4793, 1280, 155, 0, 4948
afio, exticr1, exti2, access, 4806, 1280, 123, 0, 4929
afio, exticr1, exti2, bit_width, 4806, 1280, 168, 0, 4974
afio, exticr1, exti3, bit_offset, 4794, 1280, 152, 0, 4946
afio, exticr1, exti3, access, 4793, 1280, 138, 0, 4931
afio, exticr1, exti3, bit_width, 4806, 1280, 147, 0, 4953
afio, exticr2, , address_offset, 4810, 1280, 130, 0, 4940
afio, exticr2, , reset_value, 4799, 1280, 109, 0, 4908
afio, exticr2, , size, 4792, 1280, 112, 0, 4904
afio, exticr2, exti4, bit_offset, 4806, 1280, 140, 0, 4946
afio, exticr2, exti4, access, 4806, 1280, 170, 0, 4976
afio, exticr2, exti4, bit_width, 4806, 1280, 136, 0, 4942
afio, exticr2, exti5, bit_offset, 4806, 1280, 157, 0, 4963
afio, exticr2, exti5, access, 4806, 1280, 140, 0, 4946
afio, exticr2, exti5, bit_width, 4806, 1280, 158, 0, 4964
afio, exticr2, exti6, bit_offset, 4810, 1280, 155, 0, 4965
afio, exticr2, exti6, access, 4779, 1280, 136, 0, 4915
afio, exticr2, exti6, bit_width, 4806, 1280, 152, 0, 4958
afio, exticr2, exti7, bit_offset, 4784, 1280, 164, 0, 4948
afio, exticr2, exti7, access, 4805, 1280, 157, 0, 4962
afio, exticr2, exti7, bit_width, 4806, 1280, 132, 0, 4938
afio, exticr3, , address_offset, 4791, 1280, 115, 0, 4906
afio, exticr3, , reset_value, 4793, 1280, 123, 0, 4916
afio, exticr3, , size, 4807, 1280, 130, 0, 4937
afio, exticr3, exti10, bit_offset, 4812, 1280, 197, 0, 5009
afio, exticr3, exti10, access, 4812, 1280, 104, 0, 4916
afio, exticr3, exti10, bit_width, 4812, 1280, 150, 0, 4962
afio, exticr3, exti11, bit_offset, 4812, 1280, 150, 0, 4962
afio, exticr3, exti11, access, 4799, 1280, 157, 0, 4956
afio, exticr3, exti11, bit_width, 4812, 1280, 130, 0, 4942
afio, exticr3, exti8, bit_offset, 4793, 1280, 162, 0, 4955
afio, exticr3, exti8, access, 4812, 1280, 127, 0, 4939
afio, exticr3, exti8, bit_width, 4812, 1280, 176, 0, 4988
afio, exticr3, exti9, bit_offset, 4812, 1280, 168, 0, 4980
afio, exticr3, exti9, access, 4812, 1280, 159, 0, 4971
