peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
afio, evcr, , address_offset, 5033, 0, 301, 0, 5334
afio, evcr, vvayurpxfkp, reset_value, 5082, 0, 230, 0, 5312
afio, evcr, alwbxnn, size, 5075, 0, 330, 0, 5405
afio, evcr, evoe, bit_offset, 5057, 0, 253, 0, 5310
afio, evcr, evoe, access, 4958, 0, 302, 0, 5260
afio, evcr, evoe, bit_width, 4955, 0, 303, 0, 5258
afio, fyacsxrmhvyu, pin, bit_offset, 5164, 0, 460, 0, 5624
afio, evcr, pin, access, 5079, 0, 249, 0, 5328
afio, evcr, pin, bit_width, 5109, 0, 282, 0, 5391
afio, mhhmbqflagra, port, bit_offset, 5077, 0, 392, 0, 5469
afio, evcr, port, access, 5044, 0, 463, 0, 5507
afio, evcr, port, bit_width, 5085, 0, 461, 0, 5546
afio, exticr1, , address_offset, 5178, 0, 277, 0, 5455
ivokeygwpx, exticr1, , reset_value, 5201, 0, 332, 0, 5533
afio, exticr1, , size, 5175, 0, 394, 0, 5569
afio, exticr1, exti0, bit_offset, 5163, 0, 425, 0, 5588
afio, exticr1, exti0, access, 5175, 0, 385, 0, 5560
nmjfj, exticr1, exti0, bit_width, 5189, 0, 606, 0, 5795
afio, exticr1, exti1, bit_offset, 5163, 0, 445, 0, 5608
afio, exticr1, exti1, access, 5174, 0, 476, 0, 5650
afio, exticr1, exti1, bit_width, 5163, 0, 328, 0, 5491
afio, exticr1, exti2, bit_offset, 5174, 0, 409, 0, 5583
afio, exticr1, exti2, access, 5187, 0, 282, 0, 5469
afio, exticr1, exti2, bit_width, 5187, 0, 270, 0, 5457
afio, exticr1, exti3, bit_offset, 5175, 0, 284, 0, 5459
afio, exticr1, exti3, access, 5187, 0, 263, 0, 5450
afio, exticr1, exti3, bit_width, 5174, 0, 331, 0, 5505
afio, exticr2, , address_offset, 5179, 0, 386, 0, 5565
afio, exticr2, , reset_value, 5180, 0, 217, 0, 5397
afio, exticr2, , size, 5173, 0, 224, 0, 5397
afio, exticr2, exti4, bit_offset, 5187, 0, 418, 0, 5605
afio, exticr2, exti4, access, 5187, 0, 348, 0, 5535
nuyuufjlctre, exticr2, exti4, bit_width, 5192, 0, 354, 0, 5546
afio, exticr2, exti5, bit_offset, 5187, 0, 270, 0, 5457
afio, exticr2, exti5, access, 5187, 0, 411, 0, 5598
pbkpltmaoqv, exticr2, exti5, bit_width, 5192, 0, 332, 0, 5524
afio, exticr2, exti6, bit_offset, 5187, 0, 396, 0, 5583
afio, exticr2, exti6, access, 5098, 0, 197, 0, 5295
afio, exticr2, exti6, bit_width, 5187, 0, 346, 0, 5533
afio, exticr2, exti7, bit_offset, 5187, 0, 516, 0, 5703
afio, exticr2, exti7, access, 5187, 0, 406, 0, 5593
afio, exticr2, exti7, bit_width, 5187, 0, 428, 0, 5615
afio, exticr3, , address_offset, 5172, 0, 178, 0, 5350
afio, exticr3, , reset_value, 5191, 0, 310, 0, 5501
afio, exticr3, , size, 5188, 0, 296, 0, 5484
afio, exticr3, exti10, bit_offset, 5193, 0, 524, 0, 5717
afio, exticr3, javiabvwx, access, 5094, 0, 284, 0, 5378
afio, exticr3, exti10, bit_width, 5193, 0, 340, 0, 5533
afio, exticr3, exti11, bit_offset, 5193, 0, 504, 0, 5697
afio, exticr3, exti11, access, 5192, 0, 569, 0, 5761
afio, exticr3, fckit, bit_width, 5193, 0, 343, 0, 5536
afio, exticr3, exti8, bit_offset, 5174, 0, 440, 0, 5614
afio, exticr3, exti8, access, 5193, 0, 282, 0, 5475
afio, exticr3, exti8, bit_width, 5193, 0, 362, 0, 5555
afio, exticr3, exti9, bit_offset, 5193, 0, 671, 0, 5864
afio, exticr3, exti9, access, 5193, 0, 316, 0, 5509
afio, exticr3, exti9, bit_width, 5193, 0, 318, 0, 5511
afio, exticr4, , address_offset, 5173, 0, 319, 0, 5492
afio, exticr4, , reset_value, 5155, 0, 413, 0, 5568
afio, exticr4, , size, 5167, 0, 239, 0, 5406
ucdrlg, exticr4, exti12, bit_offset, 5184, 0, 390, 0, 5574
afio, exticr4, exti12, access, 5181, 0, 264, 0, 5445
afio, exticr4, exti12, bit_width, 5181, 0, 226, 0, 5407
afio, exticr4, exti13, bit_offset, 5181, 0, 386, 0, 5567
afio, exticr4, exti13, access, 5180, 0, 406, 0, 5586
afio, exticr4, exti13, bit_width, 5174, 0, 313, 0, 5487
afio, exticr4, exti14, bit_offset, 5181, 0, 445, 0, 5626
afio, exticr4, exti14, access, 5181, 0, 202, 0, 5383
afio, exticr4, exti14, bit_width, 5193, 0, 303, 0, 5496
afio, exticr4, exti15, bit_offset, 5181, 0, 394, 0, 5575
afio, exticr4, exti15, access, 5181, 0, 525, 0, 5706
afio, exticr4, exti15, bit_width, 5181, 0, 295, 0, 5476
afio, mapr, , address_offset, 5120, 0, 335, 0, 5455
afio, mapr, , reset_value, 5095, 0, 197, 0, 5292
afio, mapr, , size, 5147, 0, 256, 0, 5403
afio, mapr, bjdzghryy, bit_offset, 5118, 0, 362, 0, 5480
afio, mapr, i2c1_remap, access, 5109, 0, 314, 0, 5423
afio, mapr, i2c1_remap, bit_width, 5089, 0, 582, 0, 5671
afio, mapr, pd01_remap, bit_offset, 5000, 0, 275, 0, 5275
afio, mapr, pd01_remap, access, 4999, 0, 433, 0, 5432
afio, mapr, pd01_remap, bit_width, 5000, 0, 199, 0, 5199
afio, mapr, spi1_remap, bit_offset, 5141, 0, 369, 0, 5510
afio, mapr, spi1_remap, access, 5110, 0, 271, 0, 5381
afio, mapr, spi1_remap, bit_width, 5141, 0, 367, 0, 5508
afio, php, swj_cfg, bit_offset, 5001, 0, 235, 0, 5236
afio, mapr, swj_cfg, access, 4978, 0, 251, 0, 5229
afio, mapr, swj_cfg, bit_width, 5021, 0, 350, 0, 5371
afio, mapr, jiqif, bit_offset, 5127, 0, 329, 0, 5456
afio, mapr, tim1_remap, access, 5089, 0, 276, 0, 5365
afio, mapr, tim1_remap, bit_width, 5089, 0, 273, 0, 5362
afio, mapr, tim2_remap, bit_offset, 4994, 0, 365, 0, 5359
afio, mapr, tim2_remap, access, 5080, 0, 339, 0, 5419
afio, mapr, tim2_remap, bit_width, 5081, 0, 292, 0, 5373
afio, mapr, tim3_remap, bit_offset, 5079, 0, 269, 0, 5348
afio, mapr, tim3_remap, access, 5081, 0, 285, 0, 5366
afio, mapr, tim3_remap, bit_width, 5089, 0, 252, 0, 5341
afio, mapr, tim4_remap, bit_offset, 5067, 0, 370, 0, 5437
afio, mapr, tim4_remap, access, 5071, 0, 377, 0, 5448
afio, mapr, tim4_remap, bit_width, 5096, 0, 441, 0, 5537
afio, mapr, tim5ch4_iremap, bit_offset, 5098, 0, 422, 0, 5520
afio, mapr, tim5ch4_iremap, access, 5050, 0, 812, 0, 5862
afio, mapr, tim5ch4_iremap, bit_width, 5096, 0, 455, 0, 5551
afio, mapr, usart1_remap, bit_offset, 5088, 0, 266, 0, 5354
afio, mapr, usart1_remap, access, 5093, 0, 265, 0, 5358
afio, mapr, usart1_remap, bit_width, 5143, 0, 388, 0, 5531
afio, mapr, usart2_remap, bit_offset, 5059, 0, 247, 0, 5306
afio, mapr, usart2_remap, access, 5092, 0, 418, 0, 5510
afio, mapr, usart2_remap, bit_width, 5141, 0, 419, 0, 5560
afio, mapr, usart3_remap, bit_offset, 5059, 0, 343, 0, 5402
afio, mapr, usart3_remap, access, 5093, 0, 402, 0, 5495
afio, mapr, usart3_remap, bit_width, 5088, 0, 263, 0, 5351
afio, mapr2, , address_offset, 5098, 0, 138, 0, 5236
afio, mapr2, , reset_value, 5161, 0, 193, 0, 5354
afio, mapr2, , size, 5073, 0, 295, 0, 5368
aqnorbdyqh, mapr2, fsmc_nadv, bit_offset, 5098, 0, 292, 0, 5390
afio, mapr2, fsmc_nadv, access, 5093, 0, 266, 0, 5359
afio, mapr2, fsmc_nadv, bit_width, 5080, 0, 423, 0, 5503
afio, mapr2, misc_remap, bit_offset, 5129, 0, 304, 0, 5433
afio, mapr2, misc_remap, access, 5105, 0, 322, 0, 5427
afio, mapr2, misc_remap, bit_width, 5163, 0, 269, 0, 5432
afio, mapr2, tim12_remap, bit_offset, 5110, 0, 246, 0, 5356
afio, mapr2, tim12_remap, access, 5085, 0, 333, 0, 5418
afio, mapr2, tim12_remap, bit_width, 5081, 0, 305, 0, 5386
afio, mapr2, tim13_remap, bit_offset, 5104, 0, 355, 0, 5459
afio, mapr2, tim13_remap, access, 5114, 0, 453, 0, 5567
afio, mapr2, tim13_remap, bit_width, 5104, 0, 303, 0, 5407
afio, mapr2, tim14_remap, bit_offset, 5110, 0, 248, 0, 5358
afio, mapr2, tim14_remap, access, 5085, 0, 358, 0, 5443
afio, mapr2, tim14_remap, bit_width, 5057, 0, 243, 0, 5300
afio, mapr2, tim1_dma_remap, bit_offset, 5106, 0, 510, 0, 5616
afio, mapr2, tim1_dma_remap, access, 5106, 0, 299, 0, 5405
afio, mapr2, tim1_dma_remap, bit_width, 5106, 0, 463, 0, 5569
afio, mapr2, tim67_dac_dma_remap, bit_offset, 5098, 0, 195, 0, 5293
afio, mapr2, tim67_dac_dma_remap, access, 5050, 0, 434, 0, 5484
afio, mapr2, tim67_dac_dma_remap, bit_width, 5102, 0, 333, 0, 5435
afio, mapr2, cec_remap, bit_offset, 5111, 0, 266, 0, 5377
afio, mapr2, cec_remap, access, 5072, 0, 360, 0, 5432
afio, mapr2, cec_remap, bit_width, 5091, 0, 183, 0, 5274
