peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
fsmc, bcr2, faccen, bit_width, 5160, 0, 444, 296, 5604
fsmc, bcr2, mbken, bit_offset, 5154, 0, 396, 231, 5550
fsmc, bcr2, mbken, access, 5191, 0, 437, 282, 5628
fsmc, bcr2, mbken, bit_width, 5142, 0, 297, 144, 5439
fsmc, bcr2, mtyp, bit_offset, 5158, 0, 393, 231, 5551
fsmc, bcr2, mtyp, access, 5150, 0, 423, 267, 5573
fsmc, bcr2, mtyp, bit_width, 5152, 1792, 371, 209, 5523
fsmc, bcr2, muxen, bit_offset, 5179, 0, 305, 191, 5484
fsmc, bcr2, muxen, access, 5191, 1792, 413, 272, 5604
fsmc, bcr2, muxen, bit_width, 5179, 1792, 303, 138, 5482
fsmc, bcr2, mwid, bit_offset, 5167, 0, 328, 183, 5495
fsmc, bcr2, mwid, access, 5162, 1792, 387, 239, 5549
fsmc, bcr2, mwid, bit_width, 5153, 1792, 341, 182, 5494
fsmc, suakmxxzlgtv, waitcfg, bit_offset, 5162, 0, 355, 228, 5517
fsmc, bcr2, waitcfg, access, 5149, 1792, 471, 310, 5620
fsmc, bcr2, waitcfg, bit_width, 5170, 1792, 382, 235, 5552
fsmc, ezrvp, waiten, bit_offset, 5159, 0, 451, 254, 5610
fsmc, bcr2, dicafyjko, access, 5164, 1792, 284, 135, 5448
fsmc, bcr2, waiten, bit_width, 5153, 1792, 417, 218, 5570
fsmc, bcr2, waitpol, bit_offset, 5152, 1792, 336, 176, 5488
fsmc, bcr2, waitpol, access, 5125, 0, 398, 256, 5523
fsmc, bcr2, waitpol, bit_width, 5136, 1792, 310, 176, 5446
fsmc, bcr2, wrapmod, bit_offset, 5203, 1792, 369, 207, 5572
liumqbjgosrj, bcr2, wrapmod, access, 5178, 1792, 606, 397, 5784
fsmc, bcr2, wrapmod, bit_width, 5185, 1792, 314, 175, 5499
fsmc, bcr2, wren, bit_offset, 5184, 1792, 294, 150, 5478
fsmc, bcr2, wren, access, 5176, 1792, 416, 235, 5592
fsmc, bcr2, avof, bit_width, 5175, 1792, 463, 289, 5638
fsmc, bcr2, cpsize, bit_offset, 5168, 1792, 387, 220, 5555
fsmc, bcr2, cpsize, access, 5166, 1792, 562, 387, 5728
fsmc, bcr2, cpsize, bit_width, 5168, 1792, 391, 211, 5559
fsmc, bcr3, , address_offset, 5207, 1792, 349, 197, 5556
fsmc, bcr3, , reset_value, 5228, 1792, 341, 203, 5569
fsmc, bcr3, , size, 5152, 1792, 246, 124, 5398
fsmc, bcr3, asyncwait, bit_offset, 5161, 0, 280, 161, 5441
fsmc, fkgaav, asyncwait, access, 5150, 0, 469, 313, 5619
fsmc, bcr3, asyncwait, bit_width, 5154, 1792, 322, 160, 5476
fsmc, dsdiath, bursten, bit_offset, 5183, 1792, 387, 254, 5570
fsmc, bcr3, bursten, access, 5155, 1792, 392, 267, 5547
fsmc, xmizafrndvm, bursten, bit_width, 5153, 1792, 345, 168, 5498
fsmc, bcr3, cburstrw, bit_offset, 5186, 1792, 406, 227, 5592
fsmc, bcr3, cburstrw, access, 5159, 1792, 373, 189, 5532
fsmc, bcr3, cburstrw, bit_width, 5167, 1792, 322, 163, 5489
fsmc, bcr3, extmod, bit_offset, 5148, 1792, 238, 94, 5386
fsmc, bcr3, extmod, access, 5150, 1792, 343, 207, 5493
fsmc, bcr3, extmod, bit_width, 5157, 1792, 274, 131, 5431
fsmc, bcr3, faccen, bit_offset, 5174, 1792, 497, 349, 5671
fsmc, bcr3, faccen, access, 5178, 1792, 467, 269, 5645
fsmc, bcr3, faccen, bit_width, 5154, 1792, 329, 203, 5483
fsmc, bcr3, mbken, bit_offset, 5185, 1792, 393, 210, 5578
fsmc, bcr3, mbken, access, 5191, 0, 536, 380, 5727
fsmc, bcr3, mbken, bit_width, 5185, 1792, 318, 181, 5503
fsmc, bcr3, mtyp, bit_offset, 5185, 1792, 396, 247, 5581
fsmc, bcr3, mtyp, access, 5151, 1792, 381, 224, 5532
fsmc, bcr3, hgp, bit_width, 5162, 1792, 862, 634, 6024
fsmc, bcr3, muxen, bit_offset, 5188, 1792, 276, 118, 5464
fsmc, bcr3, muxen, access, 5174, 1792, 413, 301, 5587
fsmc, bcr3, muxen, bit_width, 5179, 1792, 365, 206, 5544
fsmc, bcr3, mwid, bit_offset, 5188, 1792, 506, 294, 5694
fsmc, bcr3, mwid, access, 5190, 1792, 565, 326, 5755
fsmc, bcr3, mwid, bit_width, 5153, 1792, 508, 347, 5661
fsmc, bcr3, waitcfg, bit_offset, 5175, 1792, 274, 126, 5449
fsmc, bcr3, waitcfg, access, 5169, 1792, 431, 267, 5600
fsmc, bcr3, waitcfg, bit_width, 5156, 1792, 364, 198, 5520
