error_type,peripheral,register,field_name,key,correct_value,generated_value
missing,afio,mapr,tim5ch4_iremap,bit_offset,16,
missing,afio,mapr,tim5ch4_iremap,access,read-write,
missing,afio,mapr,tim5ch4_iremap,bit_width,1,
missing,afio,mapr2,tim13_remap,bit_offset,8,
missing,afio,mapr2,tim13_remap,access,read-write,
missing,afio,mapr2,tim13_remap,bit_width,1,
missing,afio,mapr2,tim14_remap,bit_offset,9,
missing,afio,mapr2,tim14_remap,access,read-write,
missing,afio,mapr2,tim14_remap,bit_width,1,
missing,afio,mapr2,tim1_dma_remap,bit_offset,4,
missing,afio,mapr2,tim1_dma_remap,access,read-write,
missing,afio,mapr2,tim1_dma_remap,bit_width,1,
missing,afio,mapr2,tim67_dac_dma_remap,bit_offset,11,
missing,afio,mapr2,tim67_dac_dma_remap,access,read-write,
missing,afio,mapr2,tim67_dac_dma_remap,bit_width,1,
missing,afio,mapr2,cec_remap,bit_offset,3,
missing,afio,mapr2,cec_remap,access,read-write,
missing,afio,mapr2,cec_remap,bit_width,1,
missing,afio,mapr2,tim15_remap,bit_offset,0,
missing,afio,mapr2,tim15_remap,access,read-write,
missing,afio,mapr2,tim15_remap,bit_width,1,
missing,afio,mapr2,tim16_remap,bit_offset,1,
missing,afio,mapr2,tim16_remap,access,read-write,
missing,afio,mapr2,tim16_remap,bit_width,1,
missing,afio,mapr2,tim17_remap,bit_offset,2,
missing,afio,mapr2,tim17_remap,access,read-write,
missing,afio,mapr2,tim17_remap,bit_width,1,
wrong,bkp,dr17,,address_offset,0x54,0x58
missing,bkp,dr4,,address_offset,0x10,
missing,bkp,dr4,,reset_value,0x00000000,
missing,bkp,dr4,,size,16,
missing,bkp,dr4,d,bit_offset,0,
missing,bkp,dr4,d,bit_width,16,
wrong,cec,cfgr,,size,32,16
wrong,cec,csr,,size,32,16
wrong,cec,esr,,size,32,16
missing,cec,esr,rbtfe,bit_offset,2,
missing,cec,esr,rbtfe,access,read-only,
missing,cec,esr,rbtfe,bit_width,1,
wrong,cec,oar,,size,32,16
wrong,cec,pres,,size,32,16
wrong,cec,rxd,,size,32,16
wrong,cec,txd,,size,32,16
wrong,dac,dor2,,address_offset,0x30,None
wrong,dac,dor2,,reset_value,0x00000000,None
wrong,dac,swtrigr,swtrig1,access,write-only,read-write
wrong,dac,swtrigr,swtrig2,access,write-only,read-write
wrong,exti,pr,,reset_value,0x00000000,None
missing,flash,ar,,address_offset,0x14,
missing,flash,ar,,size,32,
missing,flash,cr,,address_offset,0x10,
missing,flash,cr,,reset_value,0x80,
missing,flash,cr,,size,32,
missing,flash,cr,lock,bit_offset,7,
missing,flash,cr,lock,access,read-write,
missing,flash,cr,strt,bit_offset,6,
missing,flash,cr,strt,access,read-write,
missing,flash,keyr,,address_offset,0x4,
missing,flash,keyr,,size,32,
missing,flash,obr,,address_offset,0x1C,
missing,flash,obr,,reset_value,0x3FFFFFC,
missing,flash,obr,,size,32,
missing,flash,obr,data0,bit_offset,10,
missing,flash,obr,data0,access,read-only,
missing,flash,optkeyr,,address_offset,0x8,
missing,flash,optkeyr,,size,32,
missing,flash,sr,,address_offset,0xC,
missing,flash,sr,,reset_value,0x0,
missing,flash,sr,,size,32,
missing,flash,sr,eop,bit_offset,5,
missing,flash,sr,eop,access,read-write,
missing,flash,wrpr,,address_offset,0x20,
missing,flash,wrpr,,reset_value,0xFFFFFFFF,
missing,flash,wrpr,,size,32,
wrong,fsmc,bcr2,,reset_value,0x30D2,None
missing,fsmc,bcr2,asyncwait,bit_offset,15,
missing,fsmc,bcr2,asyncwait,access,read-write,
