model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,file_search_tokens,peripheral_name,register_name
gpt-oss-120b,10847,4096,6294,3440,17141,6593,afio,"exticr4, evcr, mapr2, exticr3, exticr2, mapr, exticr1"
gpt-oss-120b,16428,8192,3782,1082,20210,3095,bkp,"dr32, dr9, dr24, dr7, dr8, dr19, dr41, dr18, dr27, dr34"
gpt-oss-120b,15386,10752,4191,1339,19577,2577,bkp,"dr26, dr31, dr10, dr39, dr21, dr38, dr15, rtccr, dr13, dr30"
gpt-oss-120b,18731,12544,3416,985,22147,4322,bkp,"dr29, dr36, dr14, dr6, dr40, dr22, dr35, dr1, dr20, dr23"
gpt-oss-120b,19230,12032,7651,2297,26881,3827,bkp,"dr11, dr25, dr4, dr33, dr37, csr, cr, dr5, dr12, dr2"
gpt-oss-120b,16373,8192,2632,1006,19005,3450,bkp,"dr17, dr28, dr3, dr42, dr16"
gpt-oss-120b,9797,4096,6424,3806,16221,5571,cec,"oar, cfgr, pres, esr, txd, csr, rxd"
gpt-oss-120b,6207,4096,1788,1020,7995,2002,crc,"dr, cr, idr"
gpt-oss-120b,12920,4096,5355,1510,18275,8645,dac,"dhr8rd, dhr12l2, swtrigr, dor1, dhr12rd, cr, dhr12r2, sr, dhr8r2, dhr12r1"
gpt-oss-120b,9239,4096,2087,1398,11326,5011,dac,"dhr8r1, dor2, dhr12l1, dhr12ld"
gpt-oss-120b,6810,4096,2447,780,9257,2618,exti,"ftsr, pr"
gpt-oss-120b,6005,4096,3455,696,9460,1814,exti,"imr, emr"
gpt-oss-120b,6813,4096,2588,652,9401,2620,exti,"rtsr, swier"
gpt-oss-120b,8817,0,1268,598,10085,4581,flash,"optkeyr, ar, obr, sr, cr, wrpr, keyr, acr"
gpt-oss-120b,14091,8192,6744,3114,20835,1747,fsmc,"btr3, bcr4, bwtr2, btr4, bcr3"
gpt-oss-120b,18671,8192,6974,2843,25645,3944,fsmc,"btr1, bcr1, bcr2, btr2, bwtr4"
gpt-oss-120b,15080,8192,5207,2532,20287,2604,fsmc,"bwtr3, bwtr1"
gpt-oss-120b,6780,0,2838,1465,9618,2571,iwdg,"kr, rlr, pr, sr"
gpt-oss-120b,6538,4096,2866,2196,9404,2333,pwr,"cr, csr"
gpt-oss-120b,8949,4096,8336,4837,17285,4736,rcc,"cfgr2, apb2enr, apb1enr, cfgr"
gpt-oss-120b,8466,4096,2898,1125,11364,4249,rcc,"bdcr, cr, ahbenr, apb2rstr"
gpt-oss-120b,7200,4096,713,359,7913,2996,rcc,"cir, apb1rstr, csr"
