peripheral,register,register_found,correct,wrong,missing,total_facts,accuracy
afio,evcr,True,12,0,0,12,100.0
afio,exticr1,True,15,0,0,15,100.0
afio,exticr2,True,15,0,0,15,100.0
afio,exticr3,True,15,0,0,15,100.0
afio,exticr4,True,15,0,0,15,100.0
afio,mapr,True,38,1,0,39,97.43589743589743
afio,mapr2,True,33,0,3,36,91.66666666666666
bkp,cr,True,9,0,0,9,100.0
bkp,csr,True,18,0,0,18,100.0
bkp,dr1,True,5,0,0,5,100.0
bkp,dr10,True,5,0,0,5,100.0
bkp,dr11,True,5,0,0,5,100.0
bkp,dr12,True,5,0,0,5,100.0
bkp,dr13,True,5,0,0,5,100.0
bkp,dr14,True,5,0,0,5,100.0
bkp,dr15,True,5,0,0,5,100.0
bkp,dr16,True,5,0,0,5,100.0
bkp,dr17,True,4,1,0,5,80.0
bkp,dr18,True,5,0,0,5,100.0
bkp,dr19,True,5,0,0,5,100.0
bkp,dr2,True,5,0,0,5,100.0
bkp,dr20,True,5,0,0,5,100.0
bkp,dr3,True,5,0,0,5,100.0
bkp,dr4,True,5,0,0,5,100.0
bkp,dr5,True,5,0,0,5,100.0
bkp,dr6,True,5,0,0,5,100.0
bkp,dr7,True,5,0,0,5,100.0
bkp,dr8,True,5,0,0,5,100.0
bkp,dr9,True,5,0,0,5,100.0
bkp,rtccr,True,15,0,0,15,100.0
cec,cfgr,True,15,0,0,15,100.0
cec,csr,True,27,0,0,27,100.0
cec,esr,True,21,0,3,24,87.5
cec,oar,True,6,0,0,6,100.0
cec,pres,True,6,0,0,6,100.0
cec,rxd,True,6,0,0,6,100.0
cec,txd,True,6,0,0,6,100.0
crc,cr,True,6,0,0,6,100.0
crc,dr,True,6,0,0,6,100.0
crc,idr,True,6,0,0,6,100.0
dac,cr,True,51,0,0,51,100.0
dac,dhr12l1,True,6,0,0,6,100.0
dac,dhr12l2,True,6,0,0,6,100.0
dac,dhr12ld,True,5,1,3,9,55.55555555555556
dac,dhr12r1,True,6,0,0,6,100.0
dac,dhr12r2,True,6,0,0,6,100.0
dac,dhr12rd,True,9,0,0,9,100.0
dac,dhr8r1,True,6,0,0,6,100.0
dac,dhr8r2,True,6,0,0,6,100.0
dac,dhr8rd,True,9,0,0,9,100.0
dac,dor1,True,6,0,0,6,100.0
dac,dor2,False,0,0,6,6,0.0
dac,sr,True,9,0,0,9,100.0
dac,swtrigr,True,9,0,0,9,100.0
exti,emr,True,57,0,0,57,100.0
exti,ftsr,True,57,0,0,57,100.0
exti,imr,True,57,0,0,57,100.0
exti,pr,True,56,1,0,57,98.24561403508771
exti,rtsr,True,57,0,0,57,100.0
exti,swier,True,41,16,0,57,71.9298245614035
flash,acr,True,6,0,0,6,100.0
flash,ar,False,0,0,2,2,0.0
flash,cr,False,0,0,7,7,0.0
flash,keyr,False,0,0,2,2,0.0
flash,obr,False,0,0,5,5,0.0
flash,optkeyr,False,0,0,2,2,0.0
flash,sr,False,0,0,5,5,0.0
flash,wrpr,False,0,0,3,3,0.0
fsmc,bcr1,True,46,0,0,46,100.0
fsmc,bcr2,True,4,5,38,47,8.51063829787234
fsmc,bcr3,True,4,5,38,47,8.51063829787234
fsmc,bcr4,False,0,0,47,47,0.0
fsmc,btr1,True,24,0,0,24,100.0
fsmc,btr2,True,24,0,0,24,100.0
fsmc,btr3,True,24,0,0,24,100.0
fsmc,btr4,True,24,0,0,24,100.0
fsmc,bwtr1,True,13,2,0,15,86.66666666666667
fsmc,bwtr2,True,15,2,0,17,88.23529411764706
fsmc,bwtr3,True,17,0,0,17,100.0
fsmc,bwtr4,True,17,0,0,17,100.0
iwdg,kr,True,4,2,0,6,66.66666666666666
iwdg,pr,True,5,1,0,6,83.33333333333334
iwdg,rlr,True,6,0,0,6,100.0
iwdg,sr,True,7,2,0,9,77.77777777777779
pwr,cr,True,17,7,0,24,70.83333333333334
pwr,csr,True,15,0,0,15,100.0
rcc,ahbenr,False,0,0,21,21,0.0
rcc,apb1enr,True,60,9,0,69,86.95652173913044
rcc,apb1rstr,False,0,0,73,73,0.0
rcc,apb2enr,True,48,0,0,48,100.0
rcc,apb2rstr,False,0,0,48,48,0.0
rcc,bdcr,True,21,0,0,21,100.0
rcc,cfgr,True,27,0,6,33,81.81818181818183
rcc,cfgr2,True,6,0,0,6,100.0
rcc,cir,False,0,0,54,54,0.0
rcc,cr,True,32,1,0,33,96.96969696969697
rcc,csr,False,0,0,30,30,0.0
