model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,file_search_tokens,peripheral_name,register_name
gpt-oss-120b,6626,768,7182,3158,13808,4917,afio,"evcr, exticr1, mapr, mapr2"
gpt-oss-120b,5119,768,3661,730,8780,3425,afio,"exticr3, exticr4, exticr2"
gpt-oss-120b,5185,0,2741,1166,7926,3449,bkp,"dr27, dr3, dr37, dr13, dr28, dr2, dr5, dr24, dr1, dr39"
gpt-oss-120b,6451,0,3376,1276,9827,4700,bkp,"dr36, dr15, dr14, dr22, dr38, rtccr, dr23, dr25, dr6, cr"
gpt-oss-120b,4312,768,2555,1136,6867,2577,bkp,"dr11, dr32, dr40, dr31, dr8, dr20, dr29, dr10, dr42, dr33"
gpt-oss-120b,5706,1536,3706,1680,9412,3968,bkp,"dr35, dr17, dr30, dr41, dr18, csr, dr16, dr19, dr9, dr7"
gpt-oss-120b,4277,768,1727,761,6004,2577,bkp,"dr21, dr4, dr12, dr34, dr26"
gpt-oss-120b,7283,768,4796,2102,12079,5571,cec,"esr, pres, csr, oar, rxd, cfgr, txd"
gpt-oss-120b,3693,1536,2026,1201,5719,2002,crc,"dr, idr, cr"
gpt-oss-120b,10697,1536,4411,1835,15108,8931,dac,"swtrigr, dhr8r2, dhr12r1, dhr12l1, dhr8rd, dhr12rd, dhr12r2, sr, dhr12ld, dor1"
gpt-oss-120b,7256,1536,4675,2303,11931,5542,dac,"dhr8r1, dor2, dhr12l2, cr"
gpt-oss-120b,3418,768,2254,881,5672,1748,exti,ftsr
gpt-oss-120b,2611,1536,2617,610,5228,942,exti,emr
gpt-oss-120b,3279,1536,2697,568,5976,1609,exti,imr
gpt-oss-120b,3416,768,2559,792,5975,1746,exti,pr
gpt-oss-120b,3419,0,2067,370,5486,1749,exti,rtsr
gpt-oss-120b,3418,1536,2724,426,6142,1747,exti,swier
gpt-oss-120b,6303,1536,1564,624,7867,4581,flash,"optkeyr, ar, wrpr, acr, obr, sr, cr, keyr"
gpt-oss-120b,3971,768,909,305,4880,2288,fsmc,"bcr3, bcr2"
gpt-oss-120b,5093,1536,5661,2912,10754,3403,fsmc,"bwtr2, bcr1, bwtr3"
gpt-oss-120b,4320,768,4128,1315,8448,2619,fsmc,"btr4, btr1, btr3, btr2"
gpt-oss-120b,4312,1536,3176,1691,7488,2604,fsmc,"bwtr4, bcr4, bwtr1"
gpt-oss-120b,4266,1536,2658,1023,6924,2571,iwdg,"rlr, sr, pr, kr"
gpt-oss-120b,4024,768,4455,2518,8479,2333,pwr,"csr, cr"
gpt-oss-120b,4241,1536,4089,1406,8330,2566,rcc,"cfgr2, apb2enr"
gpt-oss-120b,2980,1536,3810,1229,6790,1306,rcc,apb1enr
gpt-oss-120b,4607,0,721,366,5328,2930,rcc,"apb2rstr, csr"
gpt-oss-120b,3034,1536,369,186,3403,1364,rcc,cir
gpt-oss-120b,3048,1536,419,202,3467,1376,rcc,apb1rstr
gpt-oss-120b,5668,1536,4642,2095,10310,3966,rcc,"cfgr, ahbenr, cr"
gpt-oss-120b,2881,1536,2339,1062,5220,1211,rcc,bdcr
