peripheral_name, register_name, field_name, key, value, true_value, agent_judgement, confidence_score
afio, evcr, , address_offset, 0x0, True, True, 1.0
afio, evcr, , reset_value, 0xC3, False, False, 1.0
afio, evcr, , size, 62, False, False, 0.0
afio, evcr, evoe, bit_offset, 7, True, True, 1.0
afio, evcr, evoe, access, read-write, True, True, 1.0
afio, evcr, evoe, bit_width, 40, False, False, 1.0
afio, evcr, pin, bit_offset, 18, False, False, 0.99
afio, evcr, pin, access, read-write, True, True, 0.99
afio, evcr, pin, bit_width, 4, True, True, 0.99
afio, evcr, port, bit_offset, 4, True, True, 0.92
afio, evcr, port, access, read-write, True, True, 0.9
afio, evcr, port, bit_width, 3, True, True, 0.98
afio, exticr1, , address_offset, 0x8, True, True, 1.0
afio, exticr1, , reset_value, 0x00000000, True, True, 0.99
afio, exticr1, , size, 32, True, True, 1.0
afio, exticr1, exti0, bit_offset, 0, True, True, 0.98
afio, exticr1, exti0, access, read-write, True, True, 1.0
afio, exticr1, exti0, bit_width, 4, True, True, 1.0
afio, exticr1, exti1, bit_offset, 29, False, False, 0.98
afio, exticr1, exti1, access, read-write, True, True, 1.0
afio, exticr1, exti1, bit_width, 4, True, True, 0.99
afio, exticr1, exti2, bit_offset, 8, True, True, 0.98
afio, exticr1, exti2, access, read-write, True, True, 0.97
afio, exticr1, exti2, bit_width, 50, False, False, 1.0
afio, exticr1, exti3, bit_offset, 12, True, True, 0.99
afio, exticr1, exti3, access, read-write, True, True, 0.98
afio, exticr1, exti3, bit_width, 26, False, False, 1.0
afio, exticr2, , address_offset, 0xC, True, True, 1.0
afio, exticr2, , reset_value, 0x00000000, True, True, 0.99
afio, exticr2, , size, 32, True, True, 0.97
afio, exticr2, exti4, bit_offset, 0, True, True, 0.99
afio, exticr2, exti4, access, read-only, False, False, 1.0
afio, exticr2, exti4, bit_width, 4, True, True, 0.99
afio, exticr2, exti5, bit_offset, 4, True, True, 0.98
afio, exticr2, exti5, access, read-write, True, True, 0.99
afio, exticr2, exti5, bit_width, 13, False, False, 1.0
afio, exticr2, exti6, bit_offset, 8, True, True, 0.97
afio, exticr2, exti6, access, read-write, True, True, 0.99
afio, exticr2, exti6, bit_width, 4, True, True, 1.0
afio, exticr2, exti7, bit_offset, 85, False, False, 1.0
afio, exticr2, exti7, access, reserved, False, False, 0.99
afio, exticr2, exti7, bit_width, 4, True, True, 1.0
afio, exticr3, , address_offset, 0x10, True, True, 1.0
afio, exticr3, , reset_value, 0x00000000, True, True, 0.98
afio, exticr3, , size, 32, True, True, 0.99
afio, exticr3, exti10, bit_offset, 78, False, False, 0.98
afio, exticr3, exti10, access, read-write, True, True, 0.98
afio, exticr3, exti10, bit_width, 4, True, True, 0.98
afio, exticr3, exti11, bit_offset, 12, True, True, 0.99
afio, exticr3, exti11, access, write-only, False, False, 0.99
afio, exticr3, exti11, bit_width, 4, True, True, 0.99
afio, exticr3, exti8, bit_offset, 0, True, True, 0.98
afio, exticr3, exti8, access, read-write, True, True, 0.99
afio, exticr3, exti8, bit_width, 25, False, False, 0.99
afio, exticr3, exti9, bit_offset, 4, True, True, 0.98
afio, exticr3, exti9, access, read-write, True, True, 0.99
afio, exticr3, exti9, bit_width, 4, True, True, 0.98
afio, exticr4, , address_offset, 0x14, True, True, 1.0
afio, exticr4, , reset_value, 0x00000000, True, True, 0.98
afio, exticr4, , size, 32, True, True, 0.95
afio, exticr4, exti12, bit_offset, 0, True, True, 0.99
afio, exticr4, exti12, access, reserved, False, False, 0.98
afio, exticr4, exti12, bit_width, 4, True, True, 0.98
afio, exticr4, exti13, bit_offset, 4, True, True, 0.98
afio, exticr4, exti13, access, read-write, True, True, 0.99
afio, exticr4, exti13, bit_width, 4, True, True, 0.98
afio, exticr4, exti14, bit_offset, 89, False, False, 1.0
afio, exticr4, exti14, access, read-only, False, False, 0.99
afio, exticr4, exti14, bit_width, 34, False, False, 1.0
afio, exticr4, exti15, bit_offset, 60, False, False, 0.99
afio, exticr4, exti15, access, read-write, True, True, 1.0
afio, exticr4, exti15, bit_width, 4, True, True, 0.99
afio, mapr, , address_offset, 0x4, True, True, 1.0
afio, mapr, , reset_value, 0x00000000, True, True, 1.0
afio, mapr, , size, 96, False, False, 0.99
afio, mapr, i2c1_remap, bit_offset, 1, True, True, 1.0
afio, mapr, i2c1_remap, access, read-write, True, True, 0.98
afio, mapr, i2c1_remap, bit_width, 1, True, True, 1.0
afio, mapr, pd01_remap, bit_offset, 15, True, True, 0.99
afio, mapr, pd01_remap, access, read-write, True, True, 0.98
afio, mapr, pd01_remap, bit_width, 77, False, False, 1.0
afio, mapr, spi1_remap, bit_offset, 0, True, True, 1.0
afio, mapr, spi1_remap, access, read-write, True, True, 0.99
afio, mapr, spi1_remap, bit_width, 1, True, True, 1.0
afio, mapr, swj_cfg, bit_offset, 69, False, False, 1.0
afio, mapr, swj_cfg, access, read-only, False, False, 1.0
afio, mapr, swj_cfg, bit_width, 3, True, True, 0.99
afio, mapr, tim1_remap, bit_offset, 6, True, True, 0.99
afio, mapr, tim1_remap, access, write-only, False, False, 0.98
afio, mapr, tim1_remap, bit_width, 2, True, True, 1.0
afio, mapr, tim2_remap, bit_offset, 8, True, True, 0.96
afio, mapr, tim2_remap, access, read-only, False, False, 0.98
afio, mapr, tim2_remap, bit_width, 82, False, False, 1.0
afio, mapr, tim3_remap, bit_offset, 10, True, True, 0.99
afio, mapr, tim3_remap, access, read-write, True, True, 0.98
afio, mapr, tim3_remap, bit_width, 2, True, True, 0.98
afio, mapr, tim4_remap, bit_offset, 12, True, True, 0.98
afio, mapr, tim4_remap, access, read-write, True, True, 0.98
afio, mapr, tim4_remap, bit_width, 1, True, True, 0.99
afio, mapr, tim5ch4_iremap, bit_offset, 16, True, True, 0.97
afio, mapr, tim5ch4_iremap, access, read-write, True, True, 1.0
afio, mapr, tim5ch4_iremap, bit_width, 1, True, True, 0.97
afio, mapr, usart1_remap, bit_offset, 2, True, True, 0.99
afio, mapr, usart1_remap, access, read-write, True, True, 0.98
afio, mapr, usart1_remap, bit_width, 52, False, False, 0.99
afio, mapr, usart2_remap, bit_offset, 3, True, True, 1.0
afio, mapr, usart2_remap, access, reserved, False, False, 0.99
afio, mapr, usart2_remap, bit_width, 1, True, True, 1.0
afio, mapr, usart3_remap, bit_offset, 77, False, False, 1.0
afio, mapr, usart3_remap, access, read-write, True, True, 0.93
afio, mapr, usart3_remap, bit_width, 88, False, False, 0.99
afio, mapr2, , address_offset, 0x1C, True, True, 0.99
afio, mapr2, , reset_value, 0x00000000, True, True, 0.98
afio, mapr2, , size, 32, True, True, 0.9
afio, mapr2, fsmc_nadv, bit_offset, 10, True, True, 0.98
afio, mapr2, fsmc_nadv, access, read-write, True, True, 0.99
afio, mapr2, fsmc_nadv, bit_width, 1, True, True, 0.99
afio, mapr2, misc_remap, bit_offset, 18, False, False, 0.99
afio, mapr2, misc_remap, access, read-write, True, True, 0.98
afio, mapr2, misc_remap, bit_width, 1, True, True, 0.98
afio, mapr2, tim12_remap, bit_offset, 12, True, True, 0.98
afio, mapr2, tim12_remap, access, read-write, True, True, 0.85
afio, mapr2, tim12_remap, bit_width, 1, True, True, 1.0
afio, mapr2, tim13_remap, bit_offset, 8, True, True, 0.99
afio, mapr2, tim13_remap, access, read-only, False, False, 0.99
afio, mapr2, tim13_remap, bit_width, 1, True, True, 0.99
afio, mapr2, tim14_remap, bit_offset, 9, True, True, 0.99
afio, mapr2, tim14_remap, access, read-write, True, True, 0.82
afio, mapr2, tim14_remap, bit_width, 14, False, False, 1.0
afio, mapr2, tim1_dma_remap, bit_offset, 4, True, True, 1.0
afio, mapr2, tim1_dma_remap, bit_width, 1, True, True, 1.0
afio, mapr2, tim67_dac_dma_remap, bit_offset, 11, True, True, 1.0
afio, mapr2, tim67_dac_dma_remap, access, read-write, True, False, 0.0
afio, mapr2, tim67_dac_dma_remap, bit_width, 1, True, True, 0.97
afio, mapr2, cec_remap, bit_offset, 3, True, True, 1.0
afio, mapr2, cec_remap, bit_width, 1, True, True, 0.98
afio, mapr2, tim15_remap, bit_offset, 0, True, True, 0.99
afio, mapr2, tim15_remap, access, read-only, False, False, 0.9
afio, mapr2, tim15_remap, bit_width, 1, True, True, 1.0
afio, mapr2, tim16_remap, bit_offset, 1, True, True, 1.0
afio, mapr2, tim16_remap, access, read-write, True, True, 0.75
afio, mapr2, tim16_remap, bit_width, 41, False, False, 0.99
afio, mapr2, tim17_remap, bit_offset, 2, True, True, 1.0
afio, mapr2, tim17_remap, access, read-write, True, False, 0.9
