model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name,field_name,key
gpt-oss-120b,5160,0,291,166,5451,fsmc,bcr2,faccen,bit_width
gpt-oss-120b,5154,1792,434,301,5588,fsmc,bcr2,mbken,bit_offset
gpt-oss-120b,5191,1792,464,309,5655,fsmc,bcr2,mbken,access
gpt-oss-120b,5142,0,348,182,5490,fsmc,bcr2,mbken,bit_width
gpt-oss-120b,5158,1792,429,247,5587,fsmc,bcr2,mtyp,bit_offset
gpt-oss-120b,5150,1792,609,390,5759,fsmc,bcr2,mtyp,access
gpt-oss-120b,5152,1792,277,137,5429,fsmc,bcr2,mtyp,bit_width
gpt-oss-120b,5179,1792,382,202,5561,fsmc,bcr2,muxen,bit_offset
gpt-oss-120b,5191,0,352,222,5543,fsmc,bcr2,muxen,access
gpt-oss-120b,5179,1792,272,126,5451,fsmc,bcr2,muxen,bit_width
gpt-oss-120b,5167,0,427,275,5594,fsmc,bcr2,mwid,bit_offset
gpt-oss-120b,5162,1792,445,280,5607,fsmc,bcr2,mwid,access
gpt-oss-120b,5153,1792,372,211,5525,fsmc,bcr2,mwid,bit_width
gpt-oss-120b,5162,0,429,242,5591,fsmc,suakmxxzlgtv,waitcfg,bit_offset
gpt-oss-120b,5149,1792,501,329,5650,fsmc,bcr2,waitcfg,access
gpt-oss-120b,5170,1792,272,148,5442,fsmc,bcr2,waitcfg,bit_width
gpt-oss-120b,5159,0,472,283,5631,fsmc,ezrvp,waiten,bit_offset
gpt-oss-120b,5164,0,372,208,5536,fsmc,bcr2,dicafyjko,access
gpt-oss-120b,5153,0,362,223,5515,fsmc,bcr2,waiten,bit_width
gpt-oss-120b,5152,1792,318,147,5470,fsmc,bcr2,waitpol,bit_offset
gpt-oss-120b,5125,1792,461,276,5586,fsmc,bcr2,waitpol,access
gpt-oss-120b,5136,1792,354,205,5490,fsmc,bcr2,waitpol,bit_width
gpt-oss-120b,5203,0,299,151,5502,fsmc,bcr2,wrapmod,bit_offset
gpt-oss-120b,5178,1792,667,438,5845,liumqbjgosrj,bcr2,wrapmod,access
gpt-oss-120b,5185,0,400,204,5585,fsmc,bcr2,wrapmod,bit_width
gpt-oss-120b,5184,1792,341,186,5525,fsmc,bcr2,wren,bit_offset
gpt-oss-120b,5176,1792,504,283,5680,fsmc,bcr2,wren,access
gpt-oss-120b,5175,1792,438,280,5613,fsmc,bcr2,avof,bit_width
gpt-oss-120b,5168,1792,405,233,5573,fsmc,bcr2,cpsize,bit_offset
gpt-oss-120b,5166,1792,611,369,5777,fsmc,bcr2,cpsize,access
gpt-oss-120b,5168,1792,380,186,5548,fsmc,bcr2,cpsize,bit_width
gpt-oss-120b,5207,1792,506,307,5713,fsmc,bcr3,,address_offset
gpt-oss-120b,5228,1792,420,230,5648,fsmc,bcr3,,reset_value
gpt-oss-120b,5152,1792,183,95,5335,fsmc,bcr3,,size
gpt-oss-120b,5161,1792,261,134,5422,fsmc,bcr3,asyncwait,bit_offset
gpt-oss-120b,5150,1792,358,149,5508,fsmc,fkgaav,asyncwait,access
gpt-oss-120b,5154,1792,304,166,5458,fsmc,bcr3,asyncwait,bit_width
gpt-oss-120b,5183,1792,450,248,5633,fsmc,dsdiath,bursten,bit_offset
