model_name,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_tokens,peripheral_name,register_name,field_name,key
gpt-oss-120b,5160,0,376,248,5536,fsmc,bcr2,faccen,bit_width
gpt-oss-120b,5179,0,359,207,5538,fsmc,bcr2,mbken,bit_offset
gpt-oss-120b,5191,0,442,301,5633,fsmc,bcr2,mbken,access
gpt-oss-120b,5152,0,428,254,5580,fsmc,bcr2,mbken,bit_width
gpt-oss-120b,5158,0,296,153,5454,fsmc,bcr2,mtyp,bit_offset
gpt-oss-120b,5185,0,390,217,5575,fsmc,bcr2,mtyp,access
gpt-oss-120b,5152,0,410,260,5562,fsmc,bcr2,mtyp,bit_width
gpt-oss-120b,5179,1792,340,179,5519,fsmc,bcr2,muxen,bit_offset
gpt-oss-120b,5191,0,437,286,5628,fsmc,bcr2,muxen,access
gpt-oss-120b,5179,0,426,218,5605,fsmc,bcr2,muxen,bit_width
gpt-oss-120b,5167,0,552,372,5719,fsmc,bcr2,mwid,bit_offset
gpt-oss-120b,5195,1792,381,249,5576,fsmc,bcr2,mwid,access
gpt-oss-120b,5153,1792,389,260,5542,fsmc,bcr2,mwid,bit_width
gpt-oss-120b,5162,0,355,202,5517,fsmc,suakmxxzlgtv,waitcfg,bit_offset
gpt-oss-120b,5149,1792,684,487,5833,fsmc,bcr2,waitcfg,access
gpt-oss-120b,5156,0,385,173,5541,fsmc,bcr2,waitcfg,bit_width
gpt-oss-120b,5159,1792,436,236,5595,fsmc,ezrvp,waiten,bit_offset
gpt-oss-120b,5164,0,495,316,5659,fsmc,bcr2,dicafyjko,access
gpt-oss-120b,5159,1792,436,233,5595,fsmc,bcr2,waiten,bit_width
gpt-oss-120b,5128,0,310,193,5438,fsmc,bcr2,waitpol,bit_offset
gpt-oss-120b,5125,1792,401,222,5526,fsmc,bcr2,waitpol,access
gpt-oss-120b,5127,0,349,211,5476,fsmc,bcr2,waitpol,bit_width
gpt-oss-120b,5203,1792,324,171,5527,fsmc,bcr2,wrapmod,bit_offset
gpt-oss-120b,5178,1792,557,402,5735,liumqbjgosrj,bcr2,wrapmod,access
gpt-oss-120b,5185,1792,452,372,5637,fsmc,bcr2,wrapmod,bit_width
gpt-oss-120b,5172,1792,405,239,5577,fsmc,bcr2,wren,bit_offset
gpt-oss-120b,5176,1792,394,254,5570,fsmc,bcr2,wren,access
gpt-oss-120b,5175,1792,447,285,5622,fsmc,bcr2,avof,bit_width
gpt-oss-120b,5168,1792,437,247,5605,fsmc,bcr2,cpsize,bit_offset
gpt-oss-120b,5166,1792,582,380,5748,fsmc,bcr2,cpsize,access
gpt-oss-120b,5168,1792,348,185,5516,fsmc,bcr2,cpsize,bit_width
gpt-oss-120b,5207,1792,387,216,5594,fsmc,bcr3,,address_offset
gpt-oss-120b,5228,1792,434,234,5662,fsmc,bcr3,,reset_value
gpt-oss-120b,5163,1792,242,123,5405,fsmc,bcr3,,size
gpt-oss-120b,5161,1792,318,170,5479,fsmc,bcr3,asyncwait,bit_offset
gpt-oss-120b,5150,1792,401,195,5551,fsmc,fkgaav,asyncwait,access
gpt-oss-120b,5154,1792,391,207,5545,fsmc,bcr3,asyncwait,bit_width
gpt-oss-120b,5183,1792,343,196,5526,fsmc,dsdiath,bursten,bit_offset
gpt-oss-120b,5155,1792,493,350,5648,fsmc,bcr3,bursten,access
gpt-oss-120b,5153,1792,418,264,5571,fsmc,xmizafrndvm,bursten,bit_width
gpt-oss-120b,5186,1792,245,88,5431,fsmc,bcr3,cburstrw,bit_offset
gpt-oss-120b,5159,1792,425,257,5584,fsmc,bcr3,cburstrw,access
gpt-oss-120b,5167,1792,352,198,5519,fsmc,bcr3,cburstrw,bit_width
gpt-oss-120b,5149,1792,262,121,5411,fsmc,bcr3,extmod,bit_offset
gpt-oss-120b,5150,1792,442,257,5592,fsmc,bcr3,extmod,access
gpt-oss-120b,5157,1792,252,106,5409,fsmc,bcr3,extmod,bit_width
gpt-oss-120b,5174,1792,571,417,5745,fsmc,bcr3,faccen,bit_offset
gpt-oss-120b,5178,1792,399,283,5577,fsmc,bcr3,faccen,access
gpt-oss-120b,5181,1792,345,218,5526,fsmc,bcr3,faccen,bit_width
gpt-oss-120b,5196,1792,339,202,5535,fsmc,bcr3,mbken,bit_offset
gpt-oss-120b,5191,1792,547,364,5738,fsmc,bcr3,mbken,access
gpt-oss-120b,5202,1792,364,190,5566,fsmc,bcr3,mbken,bit_width
gpt-oss-120b,5185,1792,368,207,5553,fsmc,bcr3,mtyp,bit_offset
gpt-oss-120b,5145,1792,581,386,5726,fsmc,bcr3,mtyp,access
gpt-oss-120b,5182,1792,591,350,5773,fsmc,bcr3,hgp,bit_width
gpt-oss-120b,5179,1792,272,138,5451,fsmc,bcr3,muxen,bit_offset
gpt-oss-120b,5174,1792,420,256,5594,fsmc,bcr3,muxen,access
gpt-oss-120b,5179,1792,405,248,5584,fsmc,bcr3,muxen,bit_width
gpt-oss-120b,5188,1792,387,223,5575,fsmc,bcr3,mwid,bit_offset
gpt-oss-120b,5191,1792,424,278,5615,fsmc,bcr3,mwid,access
gpt-oss-120b,5153,1792,347,193,5500,fsmc,bcr3,mwid,bit_width
gpt-oss-120b,5175,1792,529,331,5704,fsmc,bcr3,waitcfg,bit_offset
gpt-oss-120b,5169,1792,473,323,5642,fsmc,bcr3,waitcfg,access
gpt-oss-120b,5156,1792,456,256,5612,fsmc,bcr3,waitcfg,bit_width
gpt-oss-120b,5159,1792,310,169,5469,fsmc,bcr3,waiten,bit_offset
gpt-oss-120b,5149,1792,497,310,5646,fsmc,bcr3,waiten,access
gpt-oss-120b,5172,1792,330,167,5502,fsmc,bcr3,waiten,bit_width
gpt-oss-120b,5128,1792,379,221,5507,fsmc,bcr3,waitpol,bit_offset
