peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
afio, evcr, , address_offset, 6800, 0, 1667, 1536, 8467
afio, evcr, , reset_value, 11283, 0, 1856, 1728, 13139
afio, evcr, , size, 7025, 2688, 2859, 2688, 9884
afio, evcr, evoe, bit_offset, 7152, 0, 1867, 1728, 9019
afio, evcr, evoe, access, 10951, 2688, 2398, 2240, 13349
afio, evcr, evoe, bit_width, 6923, 2688, 2931, 2752, 9854
afio, evcr, pin, bit_offset, 11680, 2688, 2725, 2560, 14405
afio, evcr, pin, access, 7135, 2688, 2055, 1920, 9190
afio, evcr, pin, bit_width, 6629, 2688, 1772, 1664, 8401
afio, evcr, port, bit_offset, 6888, 2688, 2496, 2368, 9384
afio, evcr, port, access, 7001, 2688, 2127, 1984, 9128
afio, evcr, port, bit_width, 14528, 2688, 1924, 1792, 16452
afio, exticr1, , address_offset, 6930, 2560, 1399, 1280, 8329
afio, exticr1, , reset_value, 6743, 2688, 1478, 1344, 8221
afio, exticr1, , size, 6893, 0, 2150, 1984, 9043
afio, exticr1, exti0, bit_offset, 7238, 2688, 1906, 1728, 9144
afio, exticr1, exti0, access, 7299, 2688, 2330, 2176, 9629
afio, exticr1, exti0, bit_width, 7105, 2688, 2334, 2112, 9439
afio, exticr1, exti1, bit_offset, 7162, 2560, 3394, 3136, 10556
afio, exticr1, exti1, access, 7247, 2688, 2149, 1984, 9396
afio, exticr1, exti1, bit_width, 6826, 2560, 3150, 2944, 9976
afio, exticr1, exti2, bit_offset, 6953, 2688, 2791, 2624, 9744
afio, exticr1, exti2, access, 6967, 2688, 1279, 1152, 8246
afio, exticr1, exti2, bit_width, 7097, 2688, 1913, 1792, 9010
afio, exticr1, exti3, bit_offset, 7501, 2688, 2784, 2560, 10285
afio, exticr1, exti3, access, 6917, 2688, 2064, 1920, 8981
afio, exticr1, exti3, bit_width, 7303, 0, 1844, 1664, 9147
afio, exticr2, , address_offset, 6933, 2560, 1452, 1344, 8385
afio, exticr2, , reset_value, 7752, 2560, 2675, 2496, 10427
afio, exticr2, , size, 6735, 2688, 1434, 1280, 8169
afio, exticr2, exti4, bit_offset, 7348, 0, 1852, 1728, 9200
afio, exticr2, exti4, access, 7171, 2688, 2016, 1856, 9187
afio, exticr2, exti4, bit_width, 6929, 2688, 1219, 1088, 8148
afio, exticr2, exti5, bit_offset, 7106, 2688, 2228, 2048, 9334
afio, exticr2, exti5, access, 7116, 2560, 2278, 2112, 9394
afio, exticr2, exti5, bit_width, 7483, 2688, 2226, 2048, 9709
afio, exticr2, exti6, bit_offset, 7156, 2688, 2973, 2816, 10129
afio, exticr2, exti6, access, 7620, 2688, 2291, 2176, 9911
afio, exticr2, exti6, bit_width, 7100, 2688, 2073, 1856, 9173
afio, exticr2, exti7, bit_offset, 7536, 2688, 2813, 2560, 10349
afio, exticr2, exti7, access, 7469, 2688, 2542, 2368, 10011
afio, exticr2, exti7, bit_width, 7222, 2688, 1621, 1472, 8843
afio, exticr3, , address_offset, 6888, 2560, 1209, 1088, 8097
afio, exticr3, , reset_value, 7127, 2560, 1859, 1728, 8986
afio, exticr3, , size, 7140, 2560, 2796, 2560, 9936
afio, exticr3, exti10, bit_offset, 7493, 2560, 2207, 2048, 9700
afio, exticr3, exti10, access, 7431, 2688, 1900, 1792, 9331
afio, exticr3, exti10, bit_width, 7385, 2688, 2259, 2112, 9644
afio, exticr3, exti11, bit_offset, 7268, 2688, 2361, 2240, 9629
afio, exticr3, exti11, access, 7036, 2688, 2435, 2240, 9471
afio, exticr3, exti11, bit_width, 6927, 0, 1813, 1664, 8740
afio, exticr3, exti8, bit_offset, 7543, 2688, 2315, 2176, 9858
