peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
afio, evcr, , address_offset, 10366, 2560, 204, 99, 10570
afio, evcr, , reset_value, 6627, 0, 158, 42, 6785
afio, evcr, , size, 10285, 2560, 272, 119, 10557
afio, evcr, evoe, bit_offset, 6544, 2560, 170, 41, 6714
afio, evcr, evoe, access, 6446, 2560, 154, 52, 6600
afio, evcr, evoe, bit_width, 6576, 2560, 172, 52, 6748
afio, evcr, pin, bit_offset, 6630, 0, 208, 51, 6838
afio, evcr, pin, access, 6541, 2560, 172, 40, 6713
afio, evcr, pin, bit_width, 6462, 2560, 191, 52, 6653
afio, evcr, port, bit_offset, 6598, 0, 165, 41, 6763
afio, evcr, port, access, 6521, 2560, 160, 39, 6681
afio, evcr, port, bit_width, 13812, 2560, 256, 143, 14068
afio, exticr1, , address_offset, 6610, 2560, 172, 52, 6782
afio, exticr1, , reset_value, 6646, 2560, 167, 54, 6813
afio, exticr1, , size, 6640, 2560, 181, 52, 6821
afio, exticr1, exti0, bit_offset, 6665, 2560, 229, 66, 6894
afio, exticr1, exti0, access, 6623, 0, 181, 67, 6804
afio, exticr1, exti0, bit_width, 6651, 2560, 203, 60, 6854
afio, exticr1, exti1, bit_offset, 6635, 2560, 239, 49, 6874
afio, exticr1, exti1, access, 6658, 2560, 180, 60, 6838
afio, exticr1, exti1, bit_width, 6631, 2560, 224, 67, 6855
afio, exticr1, exti2, bit_offset, 6629, 2560, 225, 50, 6854
afio, exticr1, exti2, access, 6641, 2560, 198, 57, 6839
afio, exticr1, exti2, bit_width, 6648, 2560, 189, 55, 6837
afio, exticr1, exti3, bit_offset, 6656, 2560, 206, 64, 6862
afio, exticr1, exti3, access, 6631, 2560, 165, 60, 6796
afio, exticr1, exti3, bit_width, 6639, 2560, 204, 46, 6843
afio, exticr2, , address_offset, 10476, 2560, 224, 121, 10700
afio, exticr2, , reset_value, 6640, 2560, 149, 54, 6789
afio, exticr2, , size, 6648, 2560, 183, 52, 6831
afio, exticr2, exti4, bit_offset, 6615, 2560, 221, 59, 6836
afio, exticr2, exti4, access, 6619, 2560, 213, 49, 6832
afio, exticr2, exti4, bit_width, 6655, 2560, 216, 58, 6871
afio, exticr2, exti5, bit_offset, 6656, 2560, 217, 58, 6873
afio, exticr2, exti5, access, 6611, 2560, 217, 61, 6828
