peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
fsmc, bcr2, faccen, bit_width, 5098, 0, 312, 0, 5410
fsmc, bcr2, mbken, bit_offset, 5092, 0, 374, 0, 5466
fsmc, bcr2, mbken, access, 5129, 0, 306, 0, 5435
fsmc, bcr2, mbken, bit_width, 5080, 0, 464, 0, 5544
fsmc, bcr2, mtyp, bit_offset, 5096, 0, 272, 0, 5368
fsmc, bcr2, mtyp, access, 5088, 0, 375, 0, 5463
fsmc, bcr2, mtyp, bit_width, 5090, 0, 316, 0, 5406
fsmc, bcr2, muxen, bit_offset, 5117, 0, 221, 0, 5338
fsmc, bcr2, muxen, access, 5129, 0, 469, 0, 5598
fsmc, bcr2, muxen, bit_width, 5117, 0, 252, 0, 5369
fsmc, bcr2, mwid, bit_offset, 5105, 0, 253, 0, 5358
fsmc, bcr2, mwid, access, 5100, 0, 382, 0, 5482
fsmc, bcr2, mwid, bit_width, 5091, 0, 302, 0, 5393
fsmc, suakmxxzlgtv, waitcfg, bit_offset, 5100, 0, 229, 0, 5329
fsmc, bcr2, waitcfg, access, 5087, 0, 362, 0, 5449
fsmc, bcr2, waitcfg, bit_width, 5108, 0, 305, 0, 5413
fsmc, ezrvp, waiten, bit_offset, 5097, 0, 207, 0, 5304
fsmc, bcr2, dicafyjko, access, 5102, 0, 496, 0, 5598
fsmc, bcr2, waiten, bit_width, 5091, 0, 261, 0, 5352
fsmc, bcr2, waitpol, bit_offset, 5090, 0, 178, 0, 5268
fsmc, bcr2, waitpol, access, 5063, 0, 273, 0, 5336
fsmc, bcr2, waitpol, bit_width, 5074, 0, 502, 0, 5576
fsmc, bcr2, wrapmod, bit_offset, 5141, 0, 298, 0, 5439
liumqbjgosrj, bcr2, wrapmod, access, 5116, 0, 564, 0, 5680
fsmc, bcr2, wrapmod, bit_width, 5123, 0, 352, 0, 5475
fsmc, bcr2, wren, bit_offset, 5122, 0, 372, 0, 5494
fsmc, bcr2, wren, access, 5114, 0, 250, 0, 5364
fsmc, bcr2, avof, bit_width, 5113, 0, 322, 0, 5435
fsmc, bcr2, cpsize, bit_offset, 5106, 0, 359, 0, 5465
fsmc, bcr2, cpsize, access, 5104, 0, 318, 0, 5422
fsmc, bcr2, cpsize, bit_width, 5106, 0, 294, 0, 5400
fsmc, bcr3, , address_offset, 5145, 0, 308, 0, 5453
fsmc, bcr3, , reset_value, 5166, 0, 297, 0, 5463
fsmc, bcr3, , size, 5090, 0, 251, 0, 5341
fsmc, bcr3, asyncwait, bit_offset, 5099, 0, 284, 0, 5383
fsmc, fkgaav, asyncwait, access, 5088, 0, 349, 0, 5437
fsmc, bcr3, asyncwait, bit_width, 5092, 0, 482, 0, 5574
fsmc, dsdiath, bursten, bit_offset, 5121, 0, 393, 0, 5514
fsmc, bcr3, bursten, access, 5093, 0, 410, 0, 5503
fsmc, xmizafrndvm, bursten, bit_width, 5091, 0, 467, 0, 5558
fsmc, bcr3, cburstrw, bit_offset, 5124, 0, 331, 0, 5455
fsmc, bcr3, cburstrw, access, 5097, 0, 437, 0, 5534
fsmc, bcr3, cburstrw, bit_width, 5105, 0, 304, 0, 5409
fsmc, bcr3, extmod, bit_offset, 5086, 0, 197, 0, 5283
fsmc, bcr3, extmod, access, 5088, 0, 321, 0, 5409
fsmc, bcr3, extmod, bit_width, 5095, 0, 233, 0, 5328
fsmc, bcr3, faccen, bit_offset, 5112, 0, 229, 0, 5341
fsmc, bcr3, faccen, access, 5116, 0, 499, 0, 5615
