peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
fsmc, bcr2, faccen, bit_width, 5097, 0, 240, 128, 5337
fsmc, bcr2, mbken, bit_offset, 5091, 1792, 318, 192, 5409
fsmc, bcr2, mbken, access, 5128, 0, 363, 192, 5491
fsmc, bcr2, mbken, bit_width, 5079, 1792, 249, 128, 5328
fsmc, bcr2, mtyp, bit_offset, 5095, 1792, 316, 192, 5411
fsmc, bcr2, mtyp, access, 5087, 1792, 374, 256, 5461
fsmc, bcr2, mtyp, bit_width, 5089, 1792, 353, 256, 5442
fsmc, bcr2, muxen, bit_offset, 5116, 0, 256, 128, 5372
fsmc, bcr2, muxen, access, 5128, 1792, 403, 256, 5531
fsmc, bcr2, muxen, bit_width, 5116, 0, 237, 128, 5353
fsmc, bcr2, mwid, bit_offset, 5104, 1792, 392, 256, 5496
fsmc, bcr2, mwid, access, 5099, 1792, 745, 576, 5844
fsmc, bcr2, mwid, bit_width, 5090, 1792, 356, 256, 5446
fsmc, suakmxxzlgtv, waitcfg, bit_offset, 5099, 0, 285, 192, 5384
fsmc, bcr2, waitcfg, access, 5086, 1792, 539, 384, 5625
fsmc, bcr2, waitcfg, bit_width, 5107, 1792, 340, 256, 5447
fsmc, ezrvp, waiten, bit_offset, 5096, 1792, 249, 128, 5345
fsmc, bcr2, dicafyjko, access, 5101, 1792, 580, 384, 5681
fsmc, bcr2, waiten, bit_width, 5090, 1792, 298, 192, 5388
fsmc, bcr2, waitpol, bit_offset, 5089, 1792, 211, 128, 5300
fsmc, bcr2, waitpol, access, 5062, 1792, 358, 256, 5420
fsmc, bcr2, waitpol, bit_width, 5073, 1792, 298, 192, 5371
fsmc, bcr2, wrapmod, bit_offset, 5140, 0, 308, 192, 5448
liumqbjgosrj, bcr2, wrapmod, access, 5115, 1792, 628, 384, 5743
fsmc, bcr2, wrapmod, bit_width, 5122, 1792, 336, 192, 5458
fsmc, bcr2, wren, bit_offset, 5121, 1792, 389, 256, 5510
fsmc, bcr2, wren, access, 5113, 1792, 474, 320, 5587
fsmc, bcr2, avof, bit_width, 5112, 1792, 474, 320, 5586
fsmc, bcr2, cpsize, bit_offset, 5105, 1792, 288, 192, 5393
fsmc, bcr2, cpsize, access, 5103, 1792, 392, 256, 5495
fsmc, bcr2, cpsize, bit_width, 5105, 0, 336, 256, 5441
fsmc, bcr3, , address_offset, 5144, 1792, 595, 448, 5739
fsmc, bcr3, , reset_value, 5165, 1792, 398, 256, 5563
fsmc, bcr3, , size, 5089, 1792, 324, 192, 5413
fsmc, bcr3, asyncwait, bit_offset, 5098, 1792, 251, 128, 5349
fsmc, fkgaav, asyncwait, access, 5087, 1792, 732, 576, 5819
fsmc, bcr3, asyncwait, bit_width, 5091, 1792, 313, 192, 5404
fsmc, dsdiath, bursten, bit_offset, 5120, 1792, 487, 384, 5607
fsmc, bcr3, bursten, access, 5092, 1792, 446, 256, 5538
fsmc, xmizafrndvm, bursten, bit_width, 5090, 1792, 342, 192, 5432
fsmc, bcr3, cburstrw, bit_offset, 5123, 1792, 257, 128, 5380
fsmc, bcr3, cburstrw, access, 5096, 1792, 382, 192, 5478
fsmc, bcr3, cburstrw, bit_width, 5104, 1792, 332, 192, 5436
fsmc, bcr3, extmod, bit_offset, 5085, 1792, 335, 192, 5420
fsmc, bcr3, extmod, access, 5087, 1792, 752, 576, 5839
fsmc, bcr3, extmod, bit_width, 5094, 1792, 322, 192, 5416
fsmc, bcr3, faccen, bit_offset, 5111, 1792, 314, 192, 5425
fsmc, bcr3, faccen, access, 5115, 1792, 462, 320, 5577
fsmc, bcr3, faccen, bit_width, 5091, 1792, 241, 128, 5332
fsmc, bcr3, mbken, bit_offset, 5122, 1792, 225, 128, 5347
fsmc, bcr3, mbken, access, 5128, 1792, 651, 448, 5779
fsmc, bcr3, mbken, bit_width, 5122, 1792, 360, 256, 5482
fsmc, bcr3, mtyp, bit_offset, 5122, 1792, 306, 192, 5428
fsmc, bcr3, mtyp, access, 5088, 1792, 451, 320, 5539
fsmc, bcr3, hgp, bit_width, 5099, 1792, 473, 320, 5572
fsmc, bcr3, muxen, bit_offset, 5125, 1792, 314, 192, 5439
fsmc, bcr3, muxen, access, 5111, 1792, 372, 192, 5483
fsmc, bcr3, muxen, bit_width, 5116, 0, 356, 256, 5472
fsmc, bcr3, mwid, bit_offset, 5125, 1792, 309, 192, 5434
fsmc, bcr3, mwid, access, 5127, 1792, 402, 256, 5529
fsmc, bcr3, mwid, bit_width, 5090, 1792, 292, 192, 5382
fsmc, bcr3, waitcfg, bit_offset, 5112, 1792, 252, 128, 5364
fsmc, bcr3, waitcfg, access, 5106, 1792, 495, 384, 5601
fsmc, bcr3, waitcfg, bit_width, 5093, 1792, 325, 192, 5418
fsmc, bcr3, waiten, bit_offset, 5096, 1792, 360, 192, 5456
fsmc, bcr3, waiten, access, 5086, 1792, 485, 256, 5571
fsmc, bcr3, waiten, bit_width, 5109, 1792, 311, 192, 5420
fsmc, bcr3, waitpol, bit_offset, 5065, 1792, 245, 128, 5310
fsmc, zuubowkrmo, waitpol, access, 5056, 1792, 503, 320, 5559
fsmc, bcr3, waitpol, bit_width, 5064, 1792, 321, 192, 5385
fsmc, bcr3, wrapmod, bit_offset, 5140, 1792, 342, 192, 5482
fsmc, bcr3, wrapmod, access, 5109, 1792, 394, 256, 5503
fsmc, bcr3, wrapmod, bit_width, 5122, 1792, 485, 320, 5607
fsmc, bcr3, wren, bit_offset, 5109, 1792, 224, 128, 5333
fsmc, bcr3, wren, access, 5098, 1792, 521, 384, 5619
fsmc, bcr3, iattmeu, bit_width, 5107, 1792, 436, 256, 5543
fsmc, bcr3, cpsize, bit_offset, 5105, 1792, 249, 128, 5354
fsmc, bcr3, cpsize, access, 5093, 0, 854, 704, 5947
fsmc, bcr3, cpsize, bit_width, 5105, 1792, 408, 256, 5513
fsmc, bcr4, , address_offset, 5168, 1792, 249, 128, 5417
fsmc, bcr4, , reset_value, 5164, 1792, 252, 128, 5416
fsmc, bcr4, , size, 5089, 1792, 235, 128, 5324
txz, bcr4, asyncwait, bit_offset, 5094, 1792, 293, 192, 5387
fsmc, bcr4, asyncwait, access, 5087, 1792, 506, 320, 5593
fsmc, bcr4, asyncwait, bit_width, 5094, 1792, 241, 128, 5335
fsmc, bcr4, bursten, bit_offset, 5091, 1792, 243, 128, 5334
fsmc, bcr4, bursten, access, 5093, 1792, 427, 256, 5520
fsmc, bcr4, bursten, bit_width, 5104, 1792, 311, 192, 5415
fsmc, bcr4, cburstrw, bit_offset, 5104, 1792, 364, 256, 5468
fsmc, bcr4, cburstrw, access, 5096, 1792, 516, 192, 5612
fsmc, bcr4, cburstrw, bit_width, 5104, 1792, 317, 192, 5421
fsmc, bcr4, extmod, bit_offset, 5085, 1792, 227, 128, 5312
fsmc, bcr4, extmod, access, 5087, 1792, 352, 192, 5439
fsmc, bcr4, extmod, bit_width, 5085, 1792, 288, 192, 5373
fsmc, bcr4, faccen, bit_offset, 5103, 1792, 264, 128, 5367
fsmc, bcr4, faccen, access, 5115, 1792, 478, 320, 5593
fsmc, bcr4, faccen, bit_width, 5083, 1792, 292, 192, 5375
fsmc, bcr4, mbken, bit_offset, 5132, 1792, 315, 192, 5447
fsmc, bcr4, mbken, access, 5127, 1792, 363, 256, 5490
fsmc, bcr4, mbken, bit_width, 5132, 1792, 188, 64, 5320
fsmc, bcr4, mtyp, bit_offset, 5124, 1792, 306, 192, 5430
fsmc, bcr4, mtyp, access, 5082, 0, 465, 320, 5547
fsmc, bcr4, mtyp, bit_width, 5089, 1792, 233, 128, 5322
fsmc, bcr4, muxen, bit_offset, 5130, 1792, 287, 192, 5417
fsmc, bcr4, muxen, access, 5093, 1792, 333, 192, 5426
fsmc, bcr4, muxen, bit_width, 5116, 1792, 327, 192, 5443
fsmc, bcr4, mwid, bit_offset, 5125, 1792, 264, 192, 5389
fsmc, bcr4, mwid, access, 5132, 1792, 308, 192, 5440
fsmc, bcr4, mwid, bit_width, 5104, 1792, 291, 192, 5395
fsmc, bcr4, waitcfg, bit_offset, 5112, 1792, 238, 128, 5350
fsmc, bcr4, waitcfg, access, 5063, 1792, 536, 192, 5599
fsmc, bcr4, waitcfg, bit_width, 5093, 1792, 402, 256, 5495
fsmc, bcr4, waiten, bit_offset, 5109, 1792, 283, 192, 5392
fsmc, bcr4, waiten, access, 5086, 1792, 401, 256, 5487
fsmc, bcr4, waiten, bit_width, 5109, 0, 256, 128, 5365
fsmc, bcr4, waitpol, bit_offset, 5065, 0, 191, 64, 5256
jwdnakm, bcr4, waitpol, access, 5056, 1792, 467, 320, 5523
fsmc, bcr4, waitpol, bit_width, 5073, 1792, 412, 320, 5485
fsmc, bcr4, wrapmod, bit_offset, 5133, 1792, 253, 128, 5386
fsmc, bcr4, wrapmod, access, 5092, 1792, 524, 320, 5616
fsmc, bcr4, wrapmod, bit_width, 5122, 1792, 365, 256, 5487
fsmc, bcr4, wren, bit_offset, 5109, 1792, 294, 192, 5403
fsmc, bcr4, wren, access, 5105, 1792, 529, 384, 5634
fsmc, bcr4, wren, bit_width, 5109, 1792, 233, 128, 5342
fsmc, bcr4, cpsize, bit_offset, 5105, 1792, 301, 192, 5406
fsmc, bcr4, cpsize, access, 5091, 1792, 605, 448, 5696
fsmc, bcr4, cpsize, bit_width, 5105, 1792, 220, 128, 5325
fsmc, btr1, , address_offset, 5102, 1792, 263, 128, 5365
fsmc, btr1, , reset_value, 5105, 1792, 369, 256, 5474
fsmc, btr1, , size, 5132, 1792, 481, 320, 5613
fsmc, btr1, accmod, bit_offset, 5118, 1792, 301, 192, 5419
fsmc, btr1, accmod, access, 5114, 1792, 663, 512, 5777
fsmc, btr1, accmod, bit_width, 5114, 1792, 372, 192, 5486
fsmc, btr1, addhld, bit_offset, 5141, 1792, 225, 128, 5366
fsmc, btr1, addhld, access, 5131, 1792, 308, 192, 5439
fsmc, btr1, addhld, bit_width, 5135, 1792, 238, 128, 5373
fsmc, btr1, addset, bit_offset, 5128, 1792, 249, 128, 5377
fsmc, btr1, addset, access, 5130, 1792, 523, 320, 5653
fsmc, btr1, addset, bit_width, 5116, 1792, 236, 128, 5352
fsmc, btr1, busturn, bit_offset, 5120, 1792, 412, 256, 5532
fsmc, btr1, busturn, access, 5110, 1792, 502, 384, 5612
fsmc, btr1, busturn, bit_width, 5128, 1792, 266, 128, 5394
fsmc, btr1, clkdiv, bit_offset, 5128, 1792, 314, 192, 5442
fsmc, btr1, clkdiv, access, 5126, 1792, 605, 448, 5731
fsmc, btr1, clkdiv, bit_width, 5131, 1792, 356, 256, 5487
fsmc, btr1, datast, bit_offset, 5130, 1792, 366, 256, 5496
fsmc, btr1, datast, access, 5108, 1792, 352, 192, 5460
fsmc, btr1, datast, bit_width, 5121, 0, 222, 128, 5343
fsmc, btr1, datlat, bit_offset, 5139, 1792, 371, 192, 5510
fsmc, btr1, datlat, access, 5128, 1792, 499, 320, 5627
fsmc, btr1, datlat, bit_width, 5137, 1792, 409, 320, 5546
fsmc, btr2, , address_offset, 5046, 1792, 546, 384, 5592
fsmc, btr2, , reset_value, 5127, 1792, 452, 320, 5579
fsmc, btr2, , size, 5090, 1792, 280, 128, 5370
fsmc, btr2, accmod, bit_offset, 5127, 1792, 558, 448, 5685
fsmc, btr2, accmod, access, 5115, 1792, 841, 576, 5956
fsmc, btr2, accmod, bit_width, 5115, 1792, 603, 448, 5718
fsmc, btr2, addhld, bit_offset, 5101, 1792, 239, 128, 5340
fsmc, btr2, addhld, access, 5127, 1792, 693, 512, 5820
