peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
fsmc, bcr2, faccen, bit_width, 5097, 0, 127, 0, 5224
fsmc, bcr2, mbken, bit_offset, 5091, 0, 108, 0, 5199
fsmc, bcr2, mbken, access, 5128, 1664, 229, 0, 5357
fsmc, bcr2, mbken, bit_width, 5079, 1664, 94, 0, 5173
fsmc, bcr2, mtyp, bit_offset, 5095, 1664, 90, 0, 5185
fsmc, bcr2, mtyp, access, 5087, 1664, 170, 0, 5257
fsmc, bcr2, mtyp, bit_width, 5089, 1664, 115, 0, 5204
fsmc, bcr2, muxen, bit_offset, 5116, 1664, 131, 0, 5247
fsmc, bcr2, muxen, access, 5128, 1664, 135, 0, 5263
fsmc, bcr2, muxen, bit_width, 5116, 1664, 122, 0, 5238
fsmc, bcr2, mwid, bit_offset, 5104, 1664, 108, 0, 5212
fsmc, bcr2, mwid, access, 5099, 1664, 144, 0, 5243
fsmc, bcr2, mwid, bit_width, 5090, 1664, 92, 0, 5182
fsmc, suakmxxzlgtv, waitcfg, bit_offset, 5099, 1664, 161, 0, 5260
fsmc, bcr2, waitcfg, access, 5086, 1664, 164, 0, 5250
fsmc, bcr2, waitcfg, bit_width, 5107, 1664, 143, 0, 5250
fsmc, ezrvp, waiten, bit_offset, 5096, 1664, 181, 0, 5277
fsmc, bcr2, dicafyjko, access, 5101, 1664, 162, 0, 5263
fsmc, bcr2, waiten, bit_width, 5090, 1664, 103, 0, 5193
fsmc, bcr2, waitpol, bit_offset, 5089, 0, 110, 0, 5199
fsmc, bcr2, waitpol, access, 5062, 1664, 166, 0, 5228
fsmc, bcr2, waitpol, bit_width, 5073, 1664, 127, 0, 5200
fsmc, bcr2, wrapmod, bit_offset, 5140, 1664, 158, 0, 5298
liumqbjgosrj, bcr2, wrapmod, access, 5115, 1664, 240, 0, 5355
fsmc, bcr2, wrapmod, bit_width, 5122, 1664, 124, 0, 5246
fsmc, bcr2, wren, bit_offset, 5121, 1664, 142, 0, 5263
fsmc, bcr2, wren, access, 5113, 1664, 156, 0, 5269
fsmc, bcr2, avof, bit_width, 5112, 1664, 144, 0, 5256
fsmc, bcr2, cpsize, bit_offset, 5105, 1664, 106, 0, 5211
fsmc, bcr2, cpsize, access, 5103, 1664, 223, 0, 5326
fsmc, bcr2, cpsize, bit_width, 5105, 1664, 122, 0, 5227
fsmc, bcr3, , address_offset, 5144, 1664, 197, 0, 5341
fsmc, bcr3, , reset_value, 5165, 1664, 174, 0, 5339
fsmc, bcr3, , size, 5089, 1664, 113, 0, 5202
fsmc, bcr3, asyncwait, bit_offset, 5098, 1664, 86, 0, 5184
fsmc, fkgaav, asyncwait, access, 5087, 1664, 234, 0, 5321
fsmc, bcr3, asyncwait, bit_width, 5091, 1664, 101, 0, 5192
fsmc, dsdiath, bursten, bit_offset, 5120, 1664, 184, 0, 5304
fsmc, bcr3, bursten, access, 5092, 1664, 170, 0, 5262
fsmc, xmizafrndvm, bursten, bit_width, 5090, 1664, 177, 0, 5267
fsmc, bcr3, cburstrw, bit_offset, 5123, 1664, 168, 0, 5291
fsmc, bcr3, cburstrw, access, 5096, 1664, 155, 0, 5251
fsmc, bcr3, cburstrw, bit_width, 5104, 1664, 130, 0, 5234
fsmc, bcr3, extmod, bit_offset, 5085, 1664, 117, 0, 5202
fsmc, bcr3, extmod, access, 5087, 1664, 268, 0, 5355
fsmc, bcr3, extmod, bit_width, 5094, 1664, 78, 0, 5172
fsmc, bcr3, faccen, bit_offset, 5111, 1664, 129, 0, 5240
fsmc, bcr3, faccen, access, 5115, 1664, 197, 0, 5312
fsmc, bcr3, faccen, bit_width, 5091, 1664, 158, 0, 5249
fsmc, bcr3, mbken, bit_offset, 5122, 1664, 124, 0, 5246
fsmc, bcr3, mbken, access, 5128, 1664, 184, 0, 5312
fsmc, bcr3, mbken, bit_width, 5122, 1664, 107, 0, 5229
fsmc, bcr3, mtyp, bit_offset, 5122, 1664, 107, 0, 5229
fsmc, bcr3, mtyp, access, 5088, 1664, 160, 0, 5248
fsmc, bcr3, hgp, bit_width, 5099, 1664, 276, 0, 5375
fsmc, bcr3, muxen, bit_offset, 5125, 1664, 97, 0, 5222
fsmc, bcr3, muxen, access, 5111, 1664, 227, 0, 5338
fsmc, bcr3, muxen, bit_width, 5116, 1664, 122, 0, 5238
fsmc, bcr3, mwid, bit_offset, 5125, 1664, 138, 0, 5263
fsmc, bcr3, mwid, access, 5127, 0, 137, 0, 5264
fsmc, bcr3, mwid, bit_width, 5090, 0, 125, 0, 5215
fsmc, bcr3, waitcfg, bit_offset, 5112, 1664, 108, 0, 5220
fsmc, bcr3, waitcfg, access, 5106, 1664, 171, 0, 5277
fsmc, bcr3, waitcfg, bit_width, 5093, 1664, 125, 0, 5218
fsmc, bcr3, waiten, bit_offset, 5096, 1664, 106, 0, 5202
fsmc, bcr3, waiten, access, 5086, 1664, 162, 0, 5248
fsmc, bcr3, waiten, bit_width, 5109, 1664, 111, 0, 5220
fsmc, bcr3, waitpol, bit_offset, 5065, 1664, 103, 0, 5168
fsmc, zuubowkrmo, waitpol, access, 5056, 1664, 272, 0, 5328
fsmc, bcr3, waitpol, bit_width, 5064, 1664, 128, 0, 5192
