peripheral_name, register_name, field_name, key, value, true_value, agent_judgement, confidence_score
fsmc, bcr2, faccen, bit_width, 69, False, False, 1.0
fsmc, bcr2, mbken, bit_offset, 84, False, False, 1.0
fsmc, bcr2, mbken, access, read-write, True, True, 0.9
fsmc, bcr2, mbken, bit_width, 92, False, False, 1.0
fsmc, bcr2, mtyp, bit_offset, 2, True, True, 0.99
fsmc, bcr2, mtyp, access, reserved, False, False, 1.0
fsmc, bcr2, mtyp, bit_width, 93, False, False, 1.0
fsmc, bcr2, muxen, bit_offset, 1, True, True, 0.99
fsmc, bcr2, muxen, access, write-only, False, False, 0.98
fsmc, bcr2, muxen, bit_width, 1, True, True, 0.99
fsmc, bcr2, mwid, bit_offset, 55, False, False, 1.0
fsmc, bcr2, mwid, access, read-write, True, True, 0.97
fsmc, bcr2, mwid, bit_width, 2, True, True, 0.99
fsmc, suakmxxzlgtv, waitcfg, bit_offset, 11, False, False, 0.0
fsmc, bcr2, waitcfg, access, reserved, False, False, 0.98
fsmc, bcr2, waitcfg, bit_width, 29, False, False, 1.0
fsmc, ezrvp, waiten, bit_offset, 13, False, False, 1.0
fsmc, bcr2, dicafyjko, access, read-write, False, False, 1.0
fsmc, bcr2, waiten, bit_width, 1, True, True, 0.98
fsmc, bcr2, waitpol, bit_offset, 9, True, True, 0.97
fsmc, bcr2, waitpol, access, reserved, False, False, 0.98
fsmc, bcr2, waitpol, bit_width, 1, True, True, 0.98
fsmc, bcr2, wrapmod, bit_offset, 10, True, True, 0.98
liumqbjgosrj, bcr2, wrapmod, access, read-write, False, False, 0.0
fsmc, bcr2, wrapmod, bit_width, 1, True, True, 0.98
fsmc, bcr2, wren, bit_offset, 35, False, False, 1.0
fsmc, bcr2, wren, access, read-write, True, True, 0.97
fsmc, bcr2, avof, bit_width, 1, False, False, 1.0
fsmc, bcr2, cpsize, bit_offset, 16, True, True, 0.98
fsmc, bcr2, cpsize, access, 0x0, False, False, 1.0
fsmc, bcr2, cpsize, bit_width, 3, True, True, 1.0
fsmc, bcr3, , address_offset, 0x10, True, True, 1.0
fsmc, bcr3, , reset_value, 0x3A5A, False, False, 1.0
fsmc, bcr3, , size, 3, False, False, 0.99
fsmc, bcr3, asyncwait, bit_offset, 15, True, True, 0.99
fsmc, fkgaav, asyncwait, access, read-write, False, False, 1.0
fsmc, bcr3, asyncwait, bit_width, 1, True, True, 0.97
