peripheral,register,field_name,key,correct_value,is_correct,is_incorrect_name
fsmc,bcr2,faccen,bit_width,69,False,False
fsmc,bcr2,mbken,bit_offset,84,False,False
fsmc,bcr2,mbken,access,read-write,True,False
fsmc,bcr2,mbken,bit_width,92,False,False
fsmc,bcr2,mtyp,bit_offset,2,True,False
fsmc,bcr2,mtyp,access,reserved,False,False
fsmc,bcr2,mtyp,bit_width,93,False,False
fsmc,bcr2,muxen,bit_offset,1,True,False
fsmc,bcr2,muxen,access,write-only,False,False
fsmc,bcr2,muxen,bit_width,1,True,False
fsmc,bcr2,mwid,bit_offset,55,False,False
fsmc,bcr2,mwid,access,read-write,True,False
fsmc,bcr2,mwid,bit_width,2,True,False
fsmc,suakmxxzlgtv,waitcfg,bit_offset,11,False,True
fsmc,bcr2,waitcfg,access,reserved,False,False
fsmc,bcr2,waitcfg,bit_width,29,False,False
fsmc,ezrvp,waiten,bit_offset,13,False,True
fsmc,bcr2,dicafyjko,access,read-write,False,True
fsmc,bcr2,waiten,bit_width,1,True,False
fsmc,bcr2,waitpol,bit_offset,9,True,False
fsmc,bcr2,waitpol,access,reserved,False,False
fsmc,bcr2,waitpol,bit_width,1,True,False
fsmc,bcr2,wrapmod,bit_offset,10,True,False
liumqbjgosrj,bcr2,wrapmod,access,read-write,False,True
fsmc,bcr2,wrapmod,bit_width,1,True,False
fsmc,bcr2,wren,bit_offset,35,False,False
fsmc,bcr2,wren,access,read-write,True,False
fsmc,bcr2,avof,bit_width,1,False,True
fsmc,bcr2,cpsize,bit_offset,16,True,False
fsmc,bcr2,cpsize,access,0x0,False,False
fsmc,bcr2,cpsize,bit_width,3,True,False
fsmc,bcr3,,address_offset,0x10,True,False
fsmc,bcr3,,reset_value,0x3A5A,False,False
fsmc,bcr3,,size,3,False,False
fsmc,bcr3,asyncwait,bit_offset,15,True,False
fsmc,fkgaav,asyncwait,access,read-write,False,True
fsmc,bcr3,asyncwait,bit_width,1,True,False
fsmc,dsdiath,bursten,bit_offset,8,False,True
fsmc,bcr3,bursten,access,read-write,True,False
fsmc,xmizafrndvm,bursten,bit_width,1,False,True
fsmc,bcr3,cburstrw,bit_offset,19,True,False
fsmc,bcr3,cburstrw,access,read-write,True,False
fsmc,bcr3,cburstrw,bit_width,1,True,False
fsmc,bcr3,extmod,bit_offset,14,True,False
fsmc,bcr3,extmod,access,read-write,True,False
fsmc,bcr3,extmod,bit_width,1,True,False
fsmc,bcr3,faccen,bit_offset,19,False,False
fsmc,bcr3,faccen,access,read-write,True,False
fsmc,bcr3,faccen,bit_width,37,False,False
fsmc,bcr3,mbken,bit_offset,50,False,False
fsmc,bcr3,mbken,access,read-write,True,False
fsmc,bcr3,mbken,bit_width,1,True,False
fsmc,bcr3,mtyp,bit_offset,2,True,False
fsmc,bcr3,mtyp,access,read-write,True,False
fsmc,bcr3,hgp,bit_width,2,False,True
fsmc,bcr3,muxen,bit_offset,1,True,False
fsmc,bcr3,muxen,access,read-write,True,False
fsmc,bcr3,muxen,bit_width,1,True,False
fsmc,bcr3,mwid,bit_offset,4,True,False
fsmc,bcr3,mwid,access,reserved,False,False
fsmc,bcr3,mwid,bit_width,40,False,False
fsmc,bcr3,waitcfg,bit_offset,11,True,False
fsmc,bcr3,waitcfg,access,reserved,False,False
fsmc,bcr3,waitcfg,bit_width,1,True,False
fsmc,bcr3,waiten,bit_offset,13,True,False
fsmc,bcr3,waiten,access,read-write,True,False
fsmc,bcr3,waiten,bit_width,1,True,False
fsmc,bcr3,waitpol,bit_offset,9,True,False
fsmc,zuubowkrmo,waitpol,access,read-write,False,True
fsmc,bcr3,waitpol,bit_width,1,True,False
fsmc,bcr3,wrapmod,bit_offset,10,True,False
fsmc,bcr3,wrapmod,access,reserved,False,False
fsmc,bcr3,wrapmod,bit_width,1,True,False
fsmc,bcr3,wren,bit_offset,12,True,False
fsmc,bcr3,wren,access,read-write,True,False
fsmc,bcr3,iattmeu,bit_width,1,False,True
fsmc,bcr3,cpsize,bit_offset,16,True,False
fsmc,bcr3,cpsize,access,0,False,False
fsmc,bcr3,cpsize,bit_width,3,True,False
fsmc,bcr4,,address_offset,0x18,True,False
fsmc,bcr4,,reset_value,0x2BF2,False,False
fsmc,bcr4,,size,32,True,False
txz,bcr4,asyncwait,bit_offset,15,False,True
fsmc,bcr4,asyncwait,access,read-write,True,False
fsmc,bcr4,asyncwait,bit_width,15,False,False
fsmc,bcr4,bursten,bit_offset,22,False,False
fsmc,bcr4,bursten,access,read-write,True,False
fsmc,bcr4,bursten,bit_width,57,False,False
fsmc,bcr4,cburstrw,bit_offset,95,False,False
fsmc,bcr4,cburstrw,access,read-write,True,False
fsmc,bcr4,cburstrw,bit_width,58,False,False
fsmc,bcr4,extmod,bit_offset,14,True,False
fsmc,bcr4,extmod,access,read-write,True,False
fsmc,bcr4,extmod,bit_width,47,False,False
fsmc,bcr4,faccen,bit_offset,56,False,False
fsmc,bcr4,faccen,access,write-only,False,False
fsmc,bcr4,faccen,bit_width,21,False,False
fsmc,bcr4,mbken,bit_offset,0,True,False
fsmc,bcr4,mbken,access,reserved,False,False
fsmc,bcr4,mbken,bit_width,1,True,False
fsmc,bcr4,mtyp,bit_offset,2,True,False
fsmc,bcr4,mtyp,access,read-write,True,False
fsmc,bcr4,mtyp,bit_width,54,False,False
fsmc,bcr4,muxen,bit_offset,96,False,False
fsmc,bcr4,muxen,access,read-only,False,False
fsmc,bcr4,muxen,bit_width,68,False,False
fsmc,bcr4,mwid,bit_offset,4,True,False
fsmc,bcr4,mwid,access,read-write,True,False
fsmc,bcr4,mwid,bit_width,75,False,False
fsmc,bcr4,waitcfg,bit_offset,11,True,False
fsmc,bcr4,waitcfg,access,read-write,True,False
fsmc,bcr4,waitcfg,bit_width,1,True,False
fsmc,bcr4,waiten,bit_offset,1,False,False
fsmc,bcr4,waiten,access,read-only,False,False
fsmc,bcr4,waiten,bit_width,1,True,False
fsmc,bcr4,waitpol,bit_offset,9,True,False
jwdnakm,bcr4,waitpol,access,read-write,False,True
fsmc,bcr4,waitpol,bit_width,1,True,False
fsmc,bcr4,wrapmod,bit_offset,10,True,False
fsmc,bcr4,wrapmod,access,read-write,True,False
fsmc,bcr4,wrapmod,bit_width,1,True,False
fsmc,bcr4,wren,bit_offset,12,True,False
fsmc,bcr4,wren,access,read-write,True,False
fsmc,bcr4,wren,bit_width,99,False,False
fsmc,bcr4,cpsize,bit_offset,25,False,False
fsmc,bcr4,cpsize,access,,True,False
fsmc,bcr4,cpsize,bit_width,3,True,False
fsmc,btr1,,address_offset,0x4,True,False
fsmc,btr1,,reset_value,0x1076516A,False,False
fsmc,btr1,,size,32,True,False
fsmc,btr1,accmod,bit_offset,28,True,False
fsmc,btr1,accmod,access,read-write,True,False
fsmc,btr1,accmod,bit_width,42,False,False
fsmc,btr1,addhld,bit_offset,4,True,False
fsmc,btr1,addhld,access,read-write,True,False
fsmc,btr1,addhld,bit_width,4,True,False
fsmc,btr1,addset,bit_offset,0,True,False
fsmc,btr1,addset,access,read-write,True,False
fsmc,btr1,addset,bit_width,4,True,False
fsmc,btr1,busturn,bit_offset,3,False,False
fsmc,btr1,busturn,access,reserved,False,False
fsmc,btr1,busturn,bit_width,76,False,False
fsmc,btr1,clkdiv,bit_offset,20,True,False
fsmc,btr1,clkdiv,access,read-write,True,False
fsmc,btr1,clkdiv,bit_width,4,True,False
fsmc,btr1,datast,bit_offset,97,False,False
fsmc,btr1,datast,access,read-write,True,False
fsmc,btr1,datast,bit_width,8,True,False
fsmc,btr1,datlat,bit_offset,24,True,False
fsmc,btr1,datlat,access,write-only,False,False
fsmc,btr1,datlat,bit_width,4,True,False
fsmc,btr2,,address_offset,0xC,True,False
fsmc,btr2,,reset_value,0x1F0B8B3E,False,False
fsmc,btr2,,size,32,True,False
fsmc,btr2,accmod,bit_offset,20,False,False
fsmc,btr2,accmod,access,read-write,True,False
fsmc,btr2,accmod,bit_width,50,False,False
fsmc,btr2,addhld,bit_offset,4,True,False
fsmc,btr2,addhld,access,read-write,True,False
fsmc,yzauq,addhld,bit_width,4,False,True
fsmc,btr2,addset,bit_offset,0,True,False
fsmc,btr2,addset,access,read-only,False,False
fsmc,btr2,addset,bit_width,4,True,False
fsmc,btr2,busturn,bit_offset,34,False,False
zyh,btr2,busturn,access,read-write,False,True
fsmc,btr2,busturn,bit_width,4,True,False
fsmc,btr2,clkdiv,bit_offset,20,True,False
fsmc,btr2,clkdiv,access,read-write,True,False
fsmc,vjkixlezq,clkdiv,bit_width,4,False,True
fsmc,btr2,datast,bit_offset,8,True,False
fsmc,btr2,datast,access,reserved,False,False
fsmc,btr2,datast,bit_width,8,True,False
fsmc,btr2,datlat,bit_offset,24,True,False
fsmc,btr2,datlat,access,read-only,False,False
fsmc,btr2,datlat,bit_width,4,True,False
fsmc,btr3,,address_offset,0x14,True,False
fsmc,btr3,,reset_value,0x0FFFFFFF,True,False
fsmc,btr3,,size,71,False,False
fsmc,btr3,fux,bit_offset,28,False,True
fsmc,btr3,accmod,access,read-write,True,False
fsmc,btr3,accmod,bit_width,2,True,False
fsmc,btr3,addhld,bit_offset,4,True,False
fsmc,btr3,addhld,access,reserved,False,False
fsmc,btr3,addhld,bit_width,4,True,False
fsmc,btr3,addset,bit_offset,37,False,False
dejna,btr3,addset,access,read-write,False,True
fsmc,btr3,addset,bit_width,4,True,False
fsmc,btr3,busturn,bit_offset,71,False,False
fsmc,btr3,busturn,access,write-only,False,False
fsmc,btr3,busturn,bit_width,55,False,False
fsmc,btr3,clkdiv,bit_offset,20,True,False
ttghco,btr3,clkdiv,access,read-write,False,True
fsmc,btr3,clkdiv,bit_width,16,False,False
fsmc,btr3,datast,bit_offset,8,True,False
fsmc,btr3,tzrj,access,read-write,False,True
fsmc,btr3,datast,bit_width,76,False,False
fsmc,btr3,datlat,bit_offset,24,True,False
fsmc,btr3,datlat,access,read-write,True,False
