peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
afio, evcr, , address_offset, 4652, 0, 161, 64, 4813
afio, evcr, , reset_value, 4678, 0, 381, 256, 5059
afio, evcr, , size, 4648, 1408, 444, 320, 5092
afio, evcr, evoe, bit_offset, 4676, 0, 216, 128, 4892
afio, evcr, evoe, access, 4577, 1408, 352, 256, 4929
afio, evcr, evoe, bit_width, 4594, 1408, 262, 128, 4856
afio, evcr, pin, bit_offset, 4636, 1408, 601, 448, 5237
afio, evcr, pin, access, 4698, 1408, 362, 256, 5060
afio, evcr, pin, bit_width, 4728, 1408, 205, 128, 4933
afio, evcr, port, bit_offset, 4704, 1408, 690, 512, 5394
afio, evcr, port, access, 4703, 1408, 572, 448, 5275
afio, evcr, port, bit_width, 4704, 1408, 384, 256, 5088
afio, exticr1, , address_offset, 4797, 1408, 238, 128, 5035
afio, exticr1, , reset_value, 4799, 1408, 262, 128, 5061
afio, exticr1, , size, 4794, 1408, 317, 192, 5111
afio, exticr1, exti0, bit_offset, 4782, 1408, 255, 128, 5037
afio, exticr1, exti0, access, 4794, 1408, 286, 192, 5080
afio, exticr1, exti0, bit_width, 4782, 1408, 219, 128, 5001
afio, exticr1, exti1, bit_offset, 4782, 1408, 337, 192, 5119
afio, exticr1, exti1, access, 4794, 1408, 239, 128, 5033
afio, exticr1, exti1, bit_width, 4782, 1408, 319, 128, 5101
afio, exticr1, exti2, bit_offset, 4793, 0, 372, 192, 5165
afio, exticr1, exti2, access, 4806, 1408, 318, 192, 5124
afio, exticr1, exti2, bit_width, 4806, 1408, 313, 192, 5119
afio, exticr1, exti3, bit_offset, 4794, 1408, 410, 256, 5204
afio, exticr1, exti3, access, 4793, 1408, 236, 128, 5029
afio, exticr1, exti3, bit_width, 4806, 1408, 225, 128, 5031
afio, exticr2, , address_offset, 4810, 1408, 290, 192, 5100
afio, exticr2, , reset_value, 4799, 1408, 216, 128, 5015
afio, exticr2, , size, 4792, 1408, 250, 128, 5042
afio, exticr2, exti4, bit_offset, 4806, 0, 252, 128, 5058
afio, exticr2, exti4, access, 4806, 1408, 318, 192, 5124
afio, exticr2, exti4, bit_width, 4806, 1408, 256, 128, 5062
afio, exticr2, exti5, bit_offset, 4806, 1408, 310, 192, 5116
afio, exticr2, exti5, access, 4806, 1408, 318, 192, 5124
afio, exticr2, exti5, bit_width, 4806, 1408, 331, 192, 5137
afio, exticr2, exti6, bit_offset, 4810, 1408, 429, 256, 5239
afio, exticr2, exti6, access, 4779, 1408, 281, 128, 5060
afio, exticr2, exti6, bit_width, 4806, 1408, 241, 128, 5047
afio, exticr2, exti7, bit_offset, 4784, 1408, 391, 256, 5175
afio, exticr2, exti7, access, 4805, 1408, 556, 384, 5361
afio, exticr2, exti7, bit_width, 4806, 1408, 384, 192, 5190
afio, exticr3, , address_offset, 4791, 1408, 211, 128, 5002
afio, exticr3, , reset_value, 4793, 1408, 266, 128, 5059
afio, exticr3, , size, 4807, 1408, 297, 192, 5104
afio, exticr3, exti10, bit_offset, 4812, 1408, 498, 384, 5310
afio, exticr3, exti10, access, 4812, 1408, 293, 192, 5105
afio, exticr3, exti10, bit_width, 4812, 1408, 338, 192, 5150
afio, exticr3, exti11, bit_offset, 4812, 1408, 424, 320, 5236
afio, exticr3, exti11, access, 4799, 1408, 278, 128, 5077
afio, exticr3, exti11, bit_width, 4812, 1408, 251, 128, 5063
afio, exticr3, exti8, bit_offset, 4793, 1408, 258, 128, 5051
afio, exticr3, exti8, access, 4812, 1408, 358, 192, 5170
afio, exticr3, exti8, bit_width, 4812, 1408, 262, 128, 5074
afio, exticr3, exti9, bit_offset, 4812, 1408, 354, 192, 5166
afio, exticr3, exti9, access, 4812, 1408, 401, 256, 5213
afio, exticr3, exti9, bit_width, 4812, 1408, 282, 128, 5094
afio, exticr4, , address_offset, 4791, 1408, 224, 128, 5015
afio, exticr4, , reset_value, 4793, 1408, 300, 192, 5093
afio, exticr4, , size, 4786, 0, 298, 192, 5084
afio, exticr4, exti12, bit_offset, 4800, 1408, 341, 192, 5141
afio, exticr4, exti12, access, 4799, 1408, 414, 256, 5213
afio, exticr4, exti12, bit_width, 4800, 1408, 314, 192, 5114
afio, exticr4, exti13, bit_offset, 4800, 1408, 379, 256, 5179
afio, exticr4, exti13, access, 4800, 0, 284, 128, 5084
