peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
afio, evcr, , address_offset, 4652, 0, 105, 0, 4757
afio, evcr, vvayurpxfkp, reset_value, 4701, 1280, 156, 0, 4857
afio, evcr, alwbxnn, size, 4694, 0, 197, 0, 4891
afio, evcr, evoe, bit_offset, 4676, 0, 144, 0, 4820
afio, evcr, evoe, access, 4577, 1280, 102, 0, 4679
afio, evcr, evoe, bit_width, 4574, 0, 100, 0, 4674
afio, fyacsxrmhvyu, pin, bit_offset, 4783, 1280, 187, 0, 4970
afio, evcr, pin, access, 4698, 1280, 116, 0, 4814
afio, evcr, pin, bit_width, 4728, 1280, 114, 0, 4842
afio, mhhmbqflagra, port, bit_offset, 4696, 0, 231, 0, 4927
afio, evcr, port, access, 4663, 1280, 169, 0, 4832
afio, evcr, port, bit_width, 4704, 1280, 105, 0, 4809
afio, exticr1, , address_offset, 4797, 1280, 137, 0, 4934
ivokeygwpx, exticr1, , reset_value, 4820, 1280, 183, 0, 5003
afio, exticr1, , size, 4794, 1280, 134, 0, 4928
afio, exticr1, exti0, bit_offset, 4782, 1280, 142, 0, 4924
afio, exticr1, exti0, access, 4794, 0, 116, 0, 4910
nmjfj, exticr1, exti0, bit_width, 4808, 1280, 175, 0, 4983
afio, exticr1, exti1, bit_offset, 4782, 1280, 175, 0, 4957
afio, exticr1, exti1, access, 4793, 1280, 165, 0, 4958
afio, exticr1, exti1, bit_width, 4782, 1280, 122, 0, 4904
afio, exticr1, exti2, bit_offset, 4793, 1280, 150, 0, 4943
afio, exticr1, exti2, access, 4806, 1280, 128, 0, 4934
afio, exticr1, exti2, bit_width, 4806, 1280, 148, 0, 4954
afio, exticr1, exti3, bit_offset, 4794, 1280, 170, 0, 4964
afio, exticr1, exti3, access, 4806, 1280, 150, 0, 4956
afio, exticr1, exti3, bit_width, 4806, 1280, 129, 0, 4935
afio, exticr2, , address_offset, 4798, 1280, 132, 0, 4930
afio, exticr2, , reset_value, 4810, 1280, 125, 0, 4935
afio, exticr2, , size, 4792, 1280, 154, 0, 4946
afio, exticr2, exti4, bit_offset, 4806, 1280, 156, 0, 4962
afio, exticr2, exti4, access, 4806, 1280, 177, 0, 4983
nuyuufjlctre, exticr2, exti4, bit_width, 4811, 1280, 209, 0, 5020
afio, exticr2, exti5, bit_offset, 4806, 0, 153, 0, 4959
afio, exticr2, exti5, access, 4806, 1280, 161, 0, 4967
pbkpltmaoqv, exticr2, exti5, bit_width, 4815, 1280, 170, 0, 4985
afio, exticr2, exti6, bit_offset, 4806, 1280, 154, 0, 4960
afio, exticr2, exti6, access, 4717, 1280, 143, 0, 4860
afio, exticr2, exti6, bit_width, 4806, 1280, 161, 0, 4967
afio, exticr2, exti7, bit_offset, 4806, 1280, 153, 0, 4959
afio, exticr2, exti7, access, 4806, 1280, 159, 0, 4965
afio, exticr2, exti7, bit_width, 4806, 1280, 155, 0, 4961
afio, exticr3, , address_offset, 4791, 1280, 91, 0, 4882
afio, exticr3, , reset_value, 4810, 1280, 128, 0, 4938
afio, exticr3, , size, 4807, 1280, 112, 0, 4919
afio, exticr3, exti10, bit_offset, 4812, 1280, 151, 0, 4963
afio, exticr3, javiabvwx, access, 4713, 1280, 162, 0, 4875
afio, exticr3, exti10, bit_width, 4812, 1280, 151, 0, 4963
afio, exticr3, exti11, bit_offset, 4812, 1280, 146, 0, 4958
afio, exticr3, exti11, access, 4811, 1280, 153, 0, 4964
afio, exticr3, fckit, bit_width, 4812, 1280, 213, 0, 5025
afio, exticr3, exti8, bit_offset, 4793, 1280, 173, 0, 4966
afio, exticr3, exti8, access, 4812, 1280, 138, 0, 4950
afio, exticr3, exti8, bit_width, 4812, 1280, 149, 0, 4961
afio, exticr3, exti9, bit_offset, 4812, 0, 163, 0, 4975
afio, exticr3, exti9, access, 4812, 1280, 157, 0, 4969
afio, exticr3, exti9, bit_width, 4812, 1280, 162, 0, 4974
afio, exticr4, , address_offset, 4792, 1280, 130, 0, 4922
afio, exticr4, , reset_value, 4774, 1280, 126, 0, 4900
afio, exticr4, , size, 4786, 1280, 130, 0, 4916
ucdrlg, exticr4, exti12, bit_offset, 4803, 1280, 146, 0, 4949
afio, exticr4, exti12, access, 4800, 1280, 195, 0, 4995
afio, exticr4, exti12, bit_width, 4800, 1280, 135, 0, 4935
afio, exticr4, exti13, bit_offset, 4800, 1280, 148, 0, 4948
afio, exticr4, exti13, access, 4799, 1280, 176, 0, 4975
afio, exticr4, exti13, bit_width, 4793, 1280, 135, 0, 4928
afio, exticr4, exti14, bit_offset, 4800, 1280, 249, 0, 5049
afio, exticr4, exti14, access, 4800, 1280, 170, 0, 4970
afio, exticr4, exti14, bit_width, 4812, 1280, 140, 0, 4952
afio, exticr4, exti15, bit_offset, 4800, 1280, 150, 0, 4950
afio, exticr4, exti15, access, 4800, 1280, 141, 0, 4941
afio, exticr4, exti15, bit_width, 4800, 1280, 156, 0, 4956
afio, mapr, , address_offset, 4739, 1280, 173, 0, 4912
afio, mapr, , reset_value, 4714, 1280, 100, 0, 4814
afio, mapr, , size, 4766, 1280, 102, 0, 4868
afio, mapr, bjdzghryy, bit_offset, 4737, 1280, 177, 0, 4914
afio, mapr, i2c1_remap, access, 4728, 1280, 131, 0, 4859
afio, mapr, i2c1_remap, bit_width, 4708, 1280, 100, 0, 4808
afio, mapr, pd01_remap, bit_offset, 4619, 1280, 125, 0, 4744
afio, mapr, pd01_remap, access, 4618, 1280, 111, 0, 4729
afio, mapr, pd01_remap, bit_width, 4619, 1280, 113, 0, 4732
afio, mapr, spi1_remap, bit_offset, 4760, 1280, 103, 0, 4863
afio, mapr, spi1_remap, access, 4668, 1280, 115, 0, 4783
afio, mapr, spi1_remap, bit_width, 4760, 1280, 78, 0, 4838
afio, php, swj_cfg, bit_offset, 4620, 1280, 158, 0, 4778
afio, mapr, swj_cfg, access, 4597, 1280, 122, 0, 4719
afio, mapr, swj_cfg, bit_width, 4640, 1280, 118, 0, 4758
afio, mapr, jiqif, bit_offset, 4746, 1280, 170, 0, 4916
afio, mapr, tim1_remap, access, 4708, 1280, 132, 0, 4840
afio, mapr, tim1_remap, bit_width, 4708, 1280, 90, 0, 4798
afio, mapr, tim2_remap, bit_offset, 4613, 1280, 196, 0, 4809
afio, mapr, tim2_remap, access, 4707, 1280, 134, 0, 4841
afio, mapr, tim2_remap, bit_width, 4700, 1280, 108, 0, 4808
afio, mapr, tim3_remap, bit_offset, 4698, 1280, 106, 0, 4804
afio, mapr, tim3_remap, access, 4700, 1280, 140, 0, 4840
afio, mapr, tim3_remap, bit_width, 4708, 1280, 112, 0, 4820
afio, mapr, tim4_remap, bit_offset, 4686, 1280, 107, 0, 4793
afio, mapr, tim4_remap, access, 4690, 1280, 130, 0, 4820
afio, mapr, tim4_remap, bit_width, 4715, 0, 116, 0, 4831
afio, mapr, tim5ch4_iremap, bit_offset, 4717, 1280, 151, 0, 4868
afio, mapr, tim5ch4_iremap, access, 4669, 1280, 115, 0, 4784
afio, mapr, tim5ch4_iremap, bit_width, 4715, 1280, 138, 0, 4853
afio, mapr, usart1_remap, bit_offset, 4707, 1280, 111, 0, 4818
afio, mapr, usart1_remap, access, 4712, 1280, 109, 0, 4821
afio, mapr, usart1_remap, bit_width, 4762, 1280, 125, 0, 4887
afio, mapr, usart2_remap, bit_offset, 4678, 1280, 103, 0, 4781
afio, mapr, usart2_remap, access, 4711, 0, 96, 0, 4807
afio, mapr, usart2_remap, bit_width, 4760, 1280, 97, 0, 4857
afio, mapr, usart3_remap, bit_offset, 4678, 1280, 102, 0, 4780
afio, mapr, usart3_remap, access, 4712, 1280, 110, 0, 4822
afio, mapr, usart3_remap, bit_width, 4707, 1280, 120, 0, 4827
afio, mapr2, , address_offset, 4717, 1280, 244, 0, 4961
afio, mapr2, , reset_value, 4780, 1280, 177, 0, 4957
afio, mapr2, , size, 4692, 1280, 196, 0, 4888
aqnorbdyqh, mapr2, fsmc_nadv, bit_offset, 4717, 1280, 109, 0, 4826
afio, mapr2, fsmc_nadv, access, 4712, 0, 108, 0, 4820
afio, mapr2, fsmc_nadv, bit_width, 4699, 1280, 111, 0, 4810
afio, mapr2, misc_remap, bit_offset, 4748, 1280, 114, 0, 4862
afio, mapr2, misc_remap, access, 4724, 1280, 100, 0, 4824
afio, mapr2, misc_remap, bit_width, 4782, 1280, 99, 0, 4881
afio, mapr2, tim12_remap, bit_offset, 4729, 1280, 96, 0, 4825
afio, mapr2, tim12_remap, access, 4704, 1280, 190, 0, 4894
afio, mapr2, tim12_remap, bit_width, 4700, 1280, 140, 0, 4840
afio, mapr2, tim13_remap, bit_offset, 4723, 1280, 108, 0, 4831
afio, mapr2, tim13_remap, access, 4733, 1280, 126, 0, 4859
afio, mapr2, tim13_remap, bit_width, 4723, 1280, 122, 0, 4845
afio, mapr2, tim14_remap, bit_offset, 4729, 1280, 129, 0, 4858
afio, mapr2, tim14_remap, access, 4704, 1280, 208, 0, 4912
afio, mapr2, tim14_remap, bit_width, 4676, 1280, 145, 0, 4821
afio, mapr2, tim1_dma_remap, bit_offset, 4725, 0, 138, 0, 4863
afio, mapr2, tim1_dma_remap, access, 4725, 1280, 105, 0, 4830
afio, mapr2, tim1_dma_remap, bit_width, 4725, 1280, 129, 0, 4854
afio, mapr2, tim67_dac_dma_remap, bit_offset, 4717, 1280, 151, 0, 4868
afio, mapr2, tim67_dac_dma_remap, access, 4721, 1280, 169, 0, 4890
afio, mapr2, tim67_dac_dma_remap, bit_width, 4721, 1280, 155, 0, 4876
afio, mapr2, cec_remap, bit_offset, 4730, 1280, 120, 0, 4850
afio, mapr2, cec_remap, access, 4691, 1280, 199, 0, 4890
afio, mapr2, cec_remap, bit_width, 4710, 1280, 138, 0, 4848
afio, mapr2, tim15_remap, bit_offset, 4740, 1280, 121, 0, 4861
afio, mapr2, tim15_remap, access, 4691, 1280, 240, 0, 4931
afio, mapr2, tim15_remap, bit_width, 4713, 1280, 127, 0, 4840
afio, mapr2, tim16_remap, bit_offset, 4746, 1280, 137, 0, 4883
afio, mapr2, tim16_remap, access, 4722, 1280, 106, 0, 4828
afio, mapr2, tim16_remap, bit_width, 4754, 1280, 137, 0, 4891
afio, mapr2, tim17_remap, bit_offset, 4746, 1280, 102, 0, 4848
afio, fibjl, tim17_remap, access, 4702, 1280, 251, 0, 4953
afio, mapr2, tim17_remap, bit_width, 4699, 1280, 101, 0, 4800
bkp, cr, , address_offset, 4708, 1280, 112, 0, 4820
bkp, cr, , reset_value, 4693, 1280, 112, 0, 4805
bkp, cr, , size, 4770, 1280, 155, 0, 4925
bkp, cr, tpal, bit_offset, 4727, 1280, 126, 0, 4853
bkp, gechqdpbzqt, tpal, access, 4732, 1280, 173, 0, 4905
bkp, noqwnvxcj, tpal, bit_width, 4715, 1280, 200, 0, 4915
bkp, cr, tpe, bit_offset, 4751, 1280, 147, 0, 4898
bkp, cr, tpe, access, 4754, 1280, 119, 0, 4873
bkp, cr, tpe, bit_width, 4751, 1280, 145, 0, 4896
bkp, csr, , address_offset, 4744, 1280, 101, 0, 4845
bkp, csr, , reset_value, 4693, 1280, 105, 0, 4798
bkp, csr, , size, 4780, 1280, 122, 0, 4902
bkp, csr, tpie, bit_offset, 4798, 1280, 119, 0, 4917
bkp, csr, tpie, access, 4771, 1280, 148, 0, 4919
bkp, csr, tpie, bit_width, 4798, 1280, 125, 0, 4923
bkp, csr, cte, bit_offset, 4762, 1280, 113, 0, 4875
bkp, csr, cte, access, 4790, 1280, 104, 0, 4894
bkp, csr, cte, bit_width, 4762, 1280, 112, 0, 4874
bkp, wnvnstohpsj, cti, bit_offset, 4768, 1280, 184, 0, 4952
bkp, csr, cti, access, 4791, 1280, 89, 0, 4880
bkp, csr, cti, bit_width, 4763, 1280, 94, 0, 4857
bkp, csr, tef, bit_offset, 4763, 1280, 171, 0, 4934
bkp, csr, tef, access, 4795, 1280, 125, 0, 4920
bkp, csr, tef, bit_width, 4763, 1280, 111, 0, 4874
bkp, csr, tif, bit_offset, 4763, 1280, 128, 0, 4891
bkp, csr, tif, access, 4801, 1280, 158, 0, 4959
bkp, csr, tif, bit_width, 4763, 1280, 104, 0, 4867
bkp, dr1, , address_offset, 4693, 0, 153, 0, 4846
bkp, dr1, , reset_value, 4694, 1280, 180, 0, 4874
bkp, dr1, , size, 4727, 1280, 164, 0, 4891
bkp, dr1, d, bit_offset, 4737, 1280, 169, 0, 4906
bkp, dr1, d, access, 4731, 1280, 200, 0, 4931
bkp, dr1, d, bit_width, 4737, 1280, 143, 0, 4880
bkp, dr10, , address_offset, 4704, 1280, 129, 0, 4833
bkp, dr10, , reset_value, 4737, 1280, 155, 0, 4892
bkp, dr10, , size, 4772, 1280, 112, 0, 4884
bkp, dr10, d, bit_offset, 4735, 1280, 146, 0, 4881
bkp, dr10, d, access, 4745, 1280, 175, 0, 4920
bkp, dr10, d, bit_width, 4735, 1280, 139, 0, 4874
bkp, dr11, , address_offset, 4729, 1280, 113, 0, 4842
bkp, dr11, , reset_value, 4735, 1280, 148, 0, 4883
bkp, dr11, , size, 4775, 1280, 142, 0, 4917
bkp, dr11, d, bit_offset, 4768, 1280, 119, 0, 4887
bkp, dr11, d, access, 4732, 1280, 191, 0, 4923
bkp, dr11, d, bit_width, 4735, 1280, 99, 0, 4834
bkp, dr12, , address_offset, 4746, 1280, 96, 0, 4842
bkp, dr12, , reset_value, 4747, 1280, 182, 0, 4929
bkp, dr12, , size, 4790, 1280, 106, 0, 4896
bkp, dr12, d, bit_offset, 4735, 1280, 149, 0, 4884
bkp, dr12, d, access, 4736, 1280, 214, 0, 4950
bkp, dr12, d, bit_width, 4782, 1280, 126, 0, 4908
bkp, dr13, wsevcyzvitmx, address_offset, 4656, 1280, 139, 0, 4795
bkp, dr13, , reset_value, 4790, 1280, 178, 0, 4968
bkp, dr13, , size, 4762, 1280, 94, 0, 4856
bkp, dr13, d, bit_offset, 4735, 1280, 114, 0, 4849
bkp, dr13, d, access, 4732, 1280, 199, 0, 4931
bkp, dr13, d, bit_width, 4768, 1280, 118, 0, 4886
bkp, dr14, , address_offset, 4592, 1280, 135, 0, 4727
bkp, yjnclmjcs, , reset_value, 4723, 1280, 123, 0, 4846
bkp, dr14, ezmkpvrmtfh, size, 4757, 1280, 171, 0, 4928
bkp, dr14, d, bit_offset, 4723, 1280, 139, 0, 4862
bkp, dr14, d, access, 4732, 1280, 200, 0, 4932
bkp, dr14, d, bit_width, 4723, 1280, 126, 0, 4849
bkp, dr15, , address_offset, 4707, 1280, 114, 0, 4821
bkp, dr15, , reset_value, 4725, 1280, 127, 0, 4852
bkp, dr15, , size, 4745, 1280, 164, 0, 4909
bkp, dr15, d, bit_offset, 4723, 1280, 159, 0, 4882
bkp, dr15, d, access, 4720, 1280, 172, 0, 4892
bkp, dr15, d, bit_width, 4708, 1280, 151, 0, 4859
bkp, dr16, , address_offset, 4723, 1280, 96, 0, 4819
bkp, dr16, , reset_value, 4719, 1280, 188, 0, 4907
