peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
afio, evcr, , address_offset, 5032, 0, 242, 128, 5274
afio, evcr, vvayurpxfkp, reset_value, 5081, 0, 463, 320, 5544
afio, evcr, alwbxnn, size, 5074, 0, 449, 320, 5523
afio, evcr, evoe, bit_offset, 5056, 1792, 202, 64, 5258
afio, evcr, evoe, access, 4957, 0, 227, 128, 5184
afio, evcr, evoe, bit_width, 4954, 0, 235, 128, 5189
afio, fyacsxrmhvyu, pin, bit_offset, 5163, 1792, 334, 192, 5497
afio, evcr, pin, access, 5078, 0, 354, 256, 5432
afio, evcr, pin, bit_width, 5108, 1792, 236, 128, 5344
afio, mhhmbqflagra, port, bit_offset, 5076, 1792, 537, 384, 5613
afio, evcr, port, access, 5043, 0, 237, 128, 5280
afio, evcr, port, bit_width, 5084, 1792, 207, 128, 5291
afio, exticr1, , address_offset, 5177, 1792, 210, 128, 5387
ivokeygwpx, exticr1, , reset_value, 5200, 0, 385, 256, 5585
afio, exticr1, , size, 5174, 1792, 372, 256, 5546
afio, exticr1, exti0, bit_offset, 5162, 1792, 310, 192, 5472
afio, exticr1, exti0, access, 5174, 0, 374, 256, 5548
nmjfj, exticr1, exti0, bit_width, 5188, 1792, 261, 128, 5449
afio, exticr1, exti1, bit_offset, 5162, 1792, 369, 192, 5531
afio, exticr1, exti1, access, 5173, 1792, 258, 128, 5431
afio, exticr1, exti1, bit_width, 5162, 1792, 192, 64, 5354
afio, exticr1, exti2, bit_offset, 5173, 0, 422, 256, 5595
afio, exticr1, exti2, access, 5186, 1792, 372, 192, 5558
afio, exticr1, exti2, bit_width, 5186, 1792, 331, 192, 5517
afio, exticr1, exti3, bit_offset, 5174, 0, 449, 320, 5623
afio, exticr1, exti3, access, 5186, 1792, 337, 256, 5523
afio, exticr1, exti3, bit_width, 5186, 1792, 217, 128, 5403
afio, exticr2, , address_offset, 5178, 1792, 243, 128, 5421
afio, exticr2, , reset_value, 5190, 1792, 359, 256, 5549
afio, exticr2, , size, 5172, 1792, 291, 192, 5463
afio, exticr2, exti4, bit_offset, 5186, 1792, 338, 192, 5524
afio, exticr2, exti4, access, 5186, 1792, 255, 128, 5441
nuyuufjlctre, exticr2, exti4, bit_width, 5191, 1792, 293, 192, 5484
afio, exticr2, exti5, bit_offset, 5186, 1792, 564, 384, 5750
afio, exticr2, exti5, access, 5186, 1792, 249, 128, 5435
pbkpltmaoqv, exticr2, exti5, bit_width, 5191, 1792, 307, 192, 5498
afio, exticr2, exti6, bit_offset, 5186, 1792, 432, 320, 5618
afio, exticr2, exti6, access, 5097, 1792, 250, 128, 5347
afio, exticr2, exti6, bit_width, 5186, 1792, 269, 128, 5455
afio, exticr2, exti7, bit_offset, 5186, 1792, 465, 320, 5651
afio, exticr2, exti7, access, 5186, 1792, 310, 192, 5496
afio, exticr2, exti7, bit_width, 5186, 1792, 287, 128, 5473
afio, exticr3, , address_offset, 5171, 1792, 241, 128, 5412
afio, exticr3, , reset_value, 5190, 1792, 311, 192, 5501
afio, exticr3, , size, 5187, 1792, 316, 192, 5503
afio, exticr3, exti10, bit_offset, 5192, 1792, 420, 256, 5612
afio, exticr3, javiabvwx, access, 5093, 1792, 526, 384, 5619
afio, exticr3, exti10, bit_width, 5192, 1792, 320, 192, 5512
afio, exticr3, exti11, bit_offset, 5192, 1792, 623, 384, 5815
afio, exticr3, exti11, access, 5191, 1792, 567, 384, 5758
afio, exticr3, fckit, bit_width, 5192, 1792, 384, 256, 5576
afio, exticr3, exti8, bit_offset, 5173, 1792, 404, 256, 5577
afio, exticr3, exti8, access, 5192, 1792, 264, 128, 5456
afio, exticr3, exti8, bit_width, 5192, 1792, 246, 128, 5438
afio, exticr3, exti9, bit_offset, 5192, 1792, 594, 448, 5786
afio, exticr3, exti9, access, 5192, 1792, 340, 192, 5532
afio, exticr3, exti9, bit_width, 5192, 1792, 251, 128, 5443
afio, exticr4, , address_offset, 5172, 1792, 231, 128, 5403
afio, exticr4, , reset_value, 5154, 0, 306, 192, 5460
afio, exticr4, , size, 5166, 1792, 222, 128, 5388
ucdrlg, exticr4, exti12, bit_offset, 5183, 1792, 265, 128, 5448
afio, exticr4, exti12, access, 5180, 1792, 325, 192, 5505
afio, exticr4, exti12, bit_width, 5180, 1792, 185, 64, 5365
afio, exticr4, exti13, bit_offset, 5180, 1792, 356, 192, 5536
afio, exticr4, exti13, access, 5179, 1792, 472, 320, 5651
afio, exticr4, exti13, bit_width, 5192, 1792, 345, 192, 5537
afio, exticr4, exti14, bit_offset, 5180, 1792, 461, 320, 5641
afio, exticr4, exti14, access, 5180, 1792, 228, 128, 5408
afio, exticr4, exti14, bit_width, 5192, 1792, 262, 128, 5454
afio, exticr4, exti15, bit_offset, 5180, 0, 558, 448, 5738
afio, exticr4, exti15, access, 5180, 1792, 296, 192, 5476
afio, exticr4, exti15, bit_width, 5180, 1792, 217, 128, 5397
afio, mapr, , address_offset, 5119, 1792, 273, 192, 5392
afio, mapr, , reset_value, 5094, 1792, 284, 192, 5378
afio, mapr, , size, 5146, 1792, 353, 256, 5499
afio, mapr, bjdzghryy, bit_offset, 5117, 1792, 328, 192, 5445
afio, mapr, i2c1_remap, access, 5108, 1792, 429, 320, 5537
afio, mapr, i2c1_remap, bit_width, 5088, 1792, 304, 192, 5392
afio, mapr, pd01_remap, bit_offset, 4999, 1792, 226, 128, 5225
