peripheral_name, register_name, field_name, key, input_tokens, cached_tokens, output_tokens, reasoning_tokens, total_tokens
afio, evcr, , address_offset, 5095, 0, 239, 138, 5334
afio, evcr, vvayurpxfkp, reset_value, 5144, 0, 594, 415, 5738
afio, evcr, alwbxnn, size, 5137, 1792, 640, 504, 5777
afio, evcr, evoe, bit_offset, 5119, 0, 250, 86, 5369
afio, evcr, evoe, access, 5020, 1792, 425, 297, 5445
afio, evcr, evoe, bit_width, 5017, 0, 254, 122, 5271
afio, fyacsxrmhvyu, pin, bit_offset, 5226, 0, 289, 154, 5515
afio, evcr, pin, access, 5141, 1792, 354, 241, 5495
afio, evcr, pin, bit_width, 5171, 0, 448, 310, 5619
afio, mhhmbqflagra, port, bit_offset, 5139, 1792, 398, 227, 5537
afio, evcr, port, access, 5106, 1792, 800, 635, 5906
afio, evcr, port, bit_width, 5147, 1792, 459, 324, 5606
afio, exticr1, , address_offset, 5240, 1792, 268, 136, 5508
ivokeygwpx, exticr1, , reset_value, 5263, 1792, 906, 672, 6169
afio, exticr1, , size, 5237, 1792, 339, 195, 5576
afio, exticr1, exti0, bit_offset, 5225, 0, 371, 244, 5596
afio, exticr1, exti0, access, 5237, 1792, 385, 208, 5622
nmjfj, exticr1, exti0, bit_width, 5251, 1792, 672, 427, 5923
afio, exticr1, exti1, bit_offset, 5225, 0, 522, 341, 5747
afio, exticr1, exti1, access, 5236, 1792, 411, 222, 5647
afio, exticr1, exti1, bit_width, 5225, 0, 465, 275, 5690
afio, exticr1, exti2, bit_offset, 5236, 0, 519, 332, 5755
afio, exticr1, exti2, access, 5249, 1792, 547, 383, 5796
afio, exticr1, exti2, bit_width, 5249, 0, 333, 139, 5582
afio, exticr1, exti3, bit_offset, 5237, 1792, 355, 217, 5592
afio, exticr1, exti3, access, 5249, 1792, 356, 231, 5605
afio, exticr1, exti3, bit_width, 5249, 1792, 447, 277, 5696
afio, exticr2, , address_offset, 5241, 1792, 279, 156, 5520
afio, exticr2, , reset_value, 5253, 1792, 460, 323, 5713
afio, exticr2, , size, 5235, 1792, 350, 208, 5585
afio, exticr2, exti4, bit_offset, 5249, 1792, 428, 266, 5677
afio, exticr2, exti4, access, 5249, 0, 532, 325, 5781
nuyuufjlctre, exticr2, exti4, bit_width, 5254, 1792, 687, 439, 5941
afio, exticr2, exti5, bit_offset, 5249, 1792, 556, 362, 5805
afio, exticr2, exti5, access, 5249, 1792, 411, 217, 5660
pbkpltmaoqv, exticr2, exti5, bit_width, 5254, 1792, 626, 426, 5880
afio, exticr2, exti6, bit_offset, 5249, 1792, 503, 304, 5752
afio, exticr2, exti6, access, 5160, 1792, 425, 240, 5585
afio, exticr2, exti6, bit_width, 5249, 1792, 339, 154, 5588
afio, exticr2, exti7, bit_offset, 5249, 1792, 609, 393, 5858
afio, exticr2, exti7, access, 5249, 1792, 276, 154, 5525
afio, exticr2, exti7, bit_width, 5249, 1792, 344, 223, 5593
afio, exticr3, , address_offset, 5234, 1792, 239, 88, 5473
afio, exticr3, , reset_value, 5253, 0, 294, 138, 5547
afio, exticr3, , size, 5250, 1792, 285, 161, 5535
afio, exticr3, exti10, bit_offset, 5255, 1792, 575, 337, 5830
afio, exticr3, javiabvwx, access, 5156, 1792, 347, 206, 5503
afio, exticr3, exti10, bit_width, 5255, 1792, 388, 190, 5643
afio, exticr3, exti11, bit_offset, 5255, 1792, 561, 357, 5816
afio, exticr3, exti11, access, 5254, 0, 490, 314, 5744
afio, exticr3, fckit, bit_width, 5255, 1792, 314, 169, 5569
afio, exticr3, exti8, bit_offset, 5236, 1792, 519, 337, 5755
afio, exticr3, exti8, access, 5255, 1792, 340, 182, 5595
afio, exticr3, exti8, bit_width, 5255, 1792, 400, 227, 5655
afio, exticr3, exti9, bit_offset, 5255, 1792, 568, 387, 5823
afio, exticr3, exti9, access, 5255, 1792, 275, 128, 5530
afio, exticr3, exti9, bit_width, 5255, 1792, 289, 149, 5544
afio, exticr4, , address_offset, 5235, 1792, 289, 127, 5524
afio, exticr4, , reset_value, 5217, 1792, 334, 213, 5551
afio, exticr4, , size, 5229, 1792, 351, 191, 5580
ucdrlg, exticr4, exti12, bit_offset, 5246, 1792, 1113, 927, 6359
afio, exticr4, exti12, access, 5243, 1792, 393, 253, 5636
afio, exticr4, exti12, bit_width, 5243, 1792, 378, 219, 5621
afio, exticr4, exti13, bit_offset, 5243, 1792, 562, 349, 5805
afio, exticr4, exti13, access, 5242, 1792, 632, 459, 5874
afio, exticr4, exti13, bit_width, 5236, 1792, 439, 253, 5675
afio, exticr4, exti14, bit_offset, 5243, 1792, 587, 404, 5830
afio, exticr4, exti14, access, 5243, 1792, 382, 217, 5625
afio, exticr4, exti14, bit_width, 5255, 1792, 383, 246, 5638
afio, exticr4, exti15, bit_offset, 5243, 1792, 464, 270, 5707
afio, exticr4, exti15, access, 5243, 1792, 327, 177, 5570
afio, exticr4, exti15, bit_width, 5243, 1792, 410, 208, 5653
afio, mapr, , address_offset, 5182, 1792, 346, 188, 5528
afio, mapr, , reset_value, 5157, 1792, 331, 191, 5488
afio, mapr, , size, 5209, 1792, 246, 162, 5455
afio, mapr, bjdzghryy, bit_offset, 5180, 1792, 363, 208, 5543
afio, mapr, i2c1_remap, access, 5171, 1792, 271, 170, 5442
afio, mapr, i2c1_remap, bit_width, 5151, 1792, 485, 350, 5636
afio, mapr, pd01_remap, bit_offset, 5062, 1792, 293, 171, 5355
afio, mapr, pd01_remap, access, 5061, 1792, 407, 252, 5468
afio, mapr, pd01_remap, bit_width, 5062, 1792, 291, 125, 5353
afio, mapr, spi1_remap, bit_offset, 5203, 1792, 332, 185, 5535
afio, mapr, spi1_remap, access, 5172, 1792, 266, 164, 5438
afio, mapr, spi1_remap, bit_width, 5203, 1792, 318, 184, 5521
afio, php, swj_cfg, bit_offset, 5063, 1792, 463, 272, 5526
afio, mapr, swj_cfg, access, 5040, 1792, 301, 179, 5341
afio, mapr, swj_cfg, bit_width, 5083, 1792, 348, 211, 5431
afio, mapr, jiqif, bit_offset, 5189, 1792, 291, 103, 5480
afio, mapr, tim1_remap, access, 5151, 1792, 393, 235, 5544
afio, mapr, tim1_remap, bit_width, 5151, 1792, 309, 166, 5460
afio, mapr, tim2_remap, bit_offset, 5056, 1792, 912, 731, 5968
afio, mapr, tim2_remap, access, 5142, 1792, 510, 307, 5652
afio, mapr, tim2_remap, bit_width, 5143, 1792, 287, 174, 5430
afio, mapr, tim3_remap, bit_offset, 5141, 1792, 316, 160, 5457
afio, mapr, tim3_remap, access, 5143, 1792, 362, 220, 5505
afio, mapr, tim3_remap, bit_width, 5151, 1792, 313, 202, 5464
afio, mapr, tim4_remap, bit_offset, 5129, 1792, 352, 206, 5481
afio, mapr, tim4_remap, access, 5133, 1792, 348, 217, 5481
afio, mapr, tim4_remap, bit_width, 5158, 1792, 247, 164, 5405
afio, mapr, tim5ch4_iremap, bit_offset, 5160, 1792, 1348, 1164, 6508
afio, mapr, tim5ch4_iremap, access, 5112, 1792, 448, 334, 5560
afio, mapr, tim5ch4_iremap, bit_width, 5158, 1792, 1070, 879, 6228
afio, mapr, usart1_remap, bit_offset, 5150, 1792, 363, 224, 5513
afio, mapr, usart1_remap, access, 5155, 1792, 339, 235, 5494
afio, mapr, usart1_remap, bit_width, 5205, 1792, 439, 276, 5644
afio, mapr, usart2_remap, bit_offset, 5121, 1792, 249, 129, 5370
afio, mapr, usart2_remap, access, 5154, 1792, 341, 225, 5495
afio, mapr, usart2_remap, bit_width, 5203, 1792, 277, 153, 5480
afio, mapr, usart3_remap, bit_offset, 5121, 1792, 422, 234, 5543
afio, mapr, usart3_remap, access, 5155, 1792, 323, 208, 5478
afio, mapr, usart3_remap, bit_width, 5150, 1792, 277, 155, 5427
afio, mapr2, , address_offset, 5160, 1792, 611, 434, 5771
afio, mapr2, , reset_value, 5223, 0, 607, 446, 5830
afio, mapr2, , size, 5135, 1792, 489, 280, 5624
aqnorbdyqh, mapr2, fsmc_nadv, bit_offset, 5160, 1792, 684, 484, 5844
afio, mapr2, fsmc_nadv, access, 5155, 1792, 507, 358, 5662
afio, mapr2, fsmc_nadv, bit_width, 5142, 1792, 351, 222, 5493
afio, mapr2, misc_remap, bit_offset, 5191, 1792, 302, 183, 5493
afio, mapr2, misc_remap, access, 5167, 1792, 299, 184, 5466
afio, mapr2, misc_remap, bit_width, 5225, 1792, 249, 146, 5474
afio, mapr2, tim12_remap, bit_offset, 5172, 1792, 270, 158, 5442
afio, mapr2, tim12_remap, access, 5147, 1792, 549, 330, 5696
afio, mapr2, tim12_remap, bit_width, 5143, 1792, 361, 207, 5504
afio, mapr2, tim13_remap, bit_offset, 5166, 1792, 423, 226, 5589
afio, mapr2, tim13_remap, access, 5176, 1792, 445, 310, 5621
afio, mapr2, tim13_remap, bit_width, 5166, 1792, 279, 141, 5445
afio, mapr2, tim14_remap, bit_offset, 5172, 1792, 327, 180, 5499
