id,reference_manual,run,source_file,peripheral,register,target_operation,target_fields,preconditions,postconditions,severity,consequence,datasheet_text,dup_count,lint_flags,status,note
335516f273b0,rm0008,1,rm0008/1/adc1_cr1,adc1,cr1,write,[],"[{""register_name"":""ADC_CR1"",""field_name"":""DUALMOD[3:0]"",""required_state"":""equals:0b0000""}]",[],warning,Possible loss of synchronization if dual mode is left enabled while changing other configuration bits.,"In dual mode, a change of channel configuration generates a restart that can produce a loss of synchronization. It is recommended to disable dual mode before any configuration change.",1,,,
df30384809cc,rm0008,1,rm0008/1/adc2_smpr1,adc2,smpr1,write,[],[],[],warning,Changing sample‑time bits while a conversion is in progress may corrupt the conversion.,During sample cycles channel selection bits must remain unchanged.,1,empty_conditions,,
4f5f265844e7,rm0008,1,rm0008/1/adc3_cr1,adc3,cr1,write,"[""DUALMOD""]","[{""register_name"":""ADC3_CR1"",""field_name"":""DUALMOD"",""required_state"":""cleared""}]",[],warning,Dual mode bits are reserved in ADC3 and must remain at reset value to avoid undefined behavior.,Note: These bits are reserved in ADC2 and ADC3.,1,,,
ad174574f2f0,rm0008,1,rm0008/1/afio_evcr,afio,evcr,read,[],"[{""register_name"":""RCC_APB2ENR"",""field_name"":""AFIOEN"",""required_state"":""set""}]",[],error,Register cannot be accessed if AFIO clock is disabled,"To read/write the AFIO_EVCR, AFIO_MAPR and AFIO_EXTICRX registers, the AFIO clock should first be enabled. Refer to Section 7.3.7: APB2 peripheral clock enable register (RCC_APB2ENR).",1,,,
f357dac5e3e5,rm0008,1,rm0008/1/afio_evcr,afio,evcr,write,[],"[{""register_name"":""RCC_APB2ENR"",""field_name"":""AFIOEN"",""required_state"":""set""}]",[],error,Register cannot be accessed if AFIO clock is disabled,"To read/write the AFIO_EVCR, AFIO_MAPR and AFIO_EXTICRX registers, the AFIO clock should first be enabled. Refer to Section 7.3.7: APB2 peripheral clock enable register (RCC_APB2ENR).",1,,,
779b4e3f0de0,rm0008,1,rm0008/1/afio_exticr1,afio,exticr1,read,[],"[{""register_name"":""RCC_APB2ENR"",""field_name"":""AFIOEN"",""required_state"":""set""}]",[],error,Register cannot be accessed unless the AFIO peripheral clock is enabled.,"To read/write the AFIO_EVCR, AFIO_MAPR and AFIO_EXTICRX registers, the AFIO clock should first be enabled. Refer to Section 7.3.7: APB2 peripheral clock enable register (RCC_APB2ENR).",1,,,
b1b968b0b5d6,rm0008,1,rm0008/1/afio_exticr1,afio,exticr1,write,[],"[{""register_name"":""RCC_APB2ENR"",""field_name"":""AFIOEN"",""required_state"":""set""}]",[],error,Register cannot be accessed unless the AFIO peripheral clock is enabled.,"To read/write the AFIO_EVCR, AFIO_MAPR and AFIO_EXTICRX registers, the AFIO clock should first be enabled. Refer to Section 7.3.7: APB2 peripheral clock enable register (RCC_APB2ENR).",1,,,
5a3dfad0a703,rm0008,1,rm0008/1/afio_exticr2,afio,exticr2,read,[],"[{""register_name"":""RCC_APB2ENR"",""field_name"":""AFIOEN"",""required_state"":""set""}]",[],error,Reading or writing without the AFIO clock enabled is invalid,"To read/write the AFIO_EVCR, AFIO_MAPR and AFIO_EXTICRX registers, the AFIO clock should first be enabled. Refer to Section 7.3.7: APB2 peripheral clock enable register (RCC_APB2ENR).",1,,,
68316d449183,rm0008,1,rm0008/1/afio_exticr2,afio,exticr2,write,[],"[{""register_name"":""RCC_APB2ENR"",""field_name"":""AFIOEN"",""required_state"":""set""}]",[],error,Reading or writing without the AFIO clock enabled is invalid,"To read/write the AFIO_EVCR, AFIO_MAPR and AFIO_EXTICRX registers, the AFIO clock should first be enabled. Refer to Section 7.3.7: APB2 peripheral clock enable register (RCC_APB2ENR).",1,,,
f746b4b81517,rm0008,1,rm0008/1/afio_exticr3,afio,exticr3,write,[],"[{""register_name"":""RCC_APB2ENR"",""field_name"":""AFIOEN"",""required_state"":""set""}]",[],error,Accessing the register without the AFIO clock enabled may lead to undefined behavior.,"To read/write the AFIO_EVCR, AFIO_MAPR and AFIO_EXTICRX registers, the AFIO clock should first be enabled. Refer to Section 7.3.7: APB2 peripheral clock enable register (RCC_APB2ENR).",1,,,
