peripheral,register,field_name,alt_name,key,correct_value,svd_value,agent_value,status,page,set_method,derived_from
aips0,,,,base_address,0x40000000,0x40000000,,verified,93,human-verified,
aips0,mpra,,,address_offset,0,0,,verified,436,human-verified,
aips0,mpra,,,reset_value,,0x77700000,,datasheet-ambiguous,436,human-verified,
aips0,mpra,,,size,32,32,,verified,436,human-verified,
aips0,mpra,mpl5,,bit_offset,8,8,,verified,436,human-verified,
aips0,mpra,mpl5,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mpl5,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtw5,,bit_offset,9,9,,verified,436,human-verified,
aips0,mpra,mtw5,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtw5,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtr5,,bit_offset,10,10,,verified,436,human-verified,
aips0,mpra,mtr5,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtr5,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mpl4,,bit_offset,12,12,,verified,436,human-verified,
aips0,mpra,mpl4,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mpl4,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtw4,,bit_offset,13,13,,verified,436,human-verified,
aips0,mpra,mtw4,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtw4,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtr4,,bit_offset,14,14,,verified,436,human-verified,
aips0,mpra,mtr4,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtr4,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mpl3,,bit_offset,16,16,,verified,436,human-verified,
aips0,mpra,mpl3,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mpl3,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtw3,,bit_offset,17,17,,verified,436,human-verified,
aips0,mpra,mtw3,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtw3,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtr3,,bit_offset,18,18,,verified,436,human-verified,
aips0,mpra,mtr3,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtr3,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mpl2,,bit_offset,20,20,,verified,436,human-verified,
aips0,mpra,mpl2,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mpl2,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtw2,,bit_offset,21,21,,verified,436,human-verified,
aips0,mpra,mtw2,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtw2,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtr2,,bit_offset,22,22,,verified,436,human-verified,
aips0,mpra,mtr2,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtr2,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mpl1,,bit_offset,24,24,,verified,436,human-verified,
aips0,mpra,mpl1,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mpl1,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtw1,,bit_offset,25,25,,verified,436,human-verified,
aips0,mpra,mtw1,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtw1,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtr1,,bit_offset,26,26,,verified,436,human-verified,
aips0,mpra,mtr1,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtr1,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mpl0,,bit_offset,28,28,,verified,436,human-verified,
aips0,mpra,mpl0,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mpl0,,access,read-write,read-write,,verified,436,human-verified,
aips0,mpra,mtw0,,bit_offset,29,29,,verified,436,human-verified,
aips0,mpra,mtw0,,bit_width,1,1,,verified,436,human-verified,
aips0,mpra,mtw0,,access,read-write,read-write,,verified,436,human-verified,
