peripheral,register,field_name,key,correct_value,svd_value,agent_value
acmp0,c0,,address_offset,,0x1,
acmp0,c0,,reset_value,,0,
acmp0,c0,,size,,8,
acmp0,c0,acnsel,bit_offset,,0,0
acmp0,c0,acnsel,bit_width,,2,2
acmp0,c0,acpsel,bit_offset,,4,4
acmp0,c0,acpsel,bit_width,,2,2
acmp0,c1,,address_offset,,0x2,
acmp0,c1,,reset_value,,0,
acmp0,c1,,size,,8,
acmp0,c1,dacen,bit_offset,,7,7
acmp0,c1,dacen,bit_width,,1,1
acmp0,c1,dacref,bit_offset,,6,6
acmp0,c1,dacref,bit_width,,1,1
acmp0,c1,dacval,bit_offset,,0,0
acmp0,c1,dacval,bit_width,,6,6
acmp0,c2,,address_offset,,0x3,
acmp0,c2,,reset_value,,0,
acmp0,c2,,size,,8,
acmp0,c2,acipe,bit_offset,,0,
acmp0,c2,acipe,bit_width,,3,
acmp0,cs,,address_offset,,0,
acmp0,cs,,reset_value,,0,
acmp0,cs,,size,,8,
acmp0,cs,ace,bit_offset,,7,7
acmp0,cs,ace,bit_width,,1,1
acmp0,cs,acf,bit_offset,,5,5
acmp0,cs,acf,bit_width,,1,1
acmp0,cs,acie,bit_offset,,4,4
acmp0,cs,acie,bit_width,,1,1
acmp0,cs,acmod,bit_offset,,0,0
acmp0,cs,acmod,bit_width,,2,2
acmp0,cs,aco,bit_offset,,3,3
acmp0,cs,aco,bit_width,,1,1
acmp0,cs,hyst,bit_offset,,6,6
acmp0,cs,hyst,bit_width,,1,1
acmp0,cs,acope,bit_offset,,2,
acmp0,cs,acope,bit_width,,1,
acmp0,cs,ac ope,bit_offset,,,2
acmp0,cs,ac ope,bit_width,,,1
acmp1,c0,,address_offset,,0x1,
acmp1,c0,,reset_value,,0,
acmp1,c0,,size,,8,
acmp1,c0,acnsel,bit_offset,,0,0
acmp1,c0,acnsel,bit_width,,2,2
acmp1,c0,acpsel,bit_offset,,4,4
acmp1,c0,acpsel,bit_width,,2,2
acmp1,c0,reserved,bit_offset,,,2
acmp1,c0,reserved,bit_width,,,2
acmp1,c1,,address_offset,,0x2,
acmp1,c1,,reset_value,,0,
acmp1,c1,,size,,8,
acmp1,c1,dacen,bit_offset,,7,7
acmp1,c1,dacen,bit_width,,1,1
acmp1,c1,dacref,bit_offset,,6,6
acmp1,c1,dacref,bit_width,,1,1
acmp1,c1,dacval,bit_offset,,0,0
acmp1,c1,dacval,bit_width,,6,6
acmp1,c2,,address_offset,,0x3,
acmp1,c2,,reset_value,,0,
acmp1,c2,,size,,8,
acmp1,c2,acipe,bit_offset,,0,
acmp1,c2,acipe,bit_width,,3,
acmp1,cs,,address_offset,,0,
acmp1,cs,,reset_value,,0,
acmp1,cs,,size,,8,
acmp1,cs,ace,bit_offset,,7,7
acmp1,cs,ace,bit_width,,1,1
acmp1,cs,acf,bit_offset,,5,5
acmp1,cs,acf,bit_width,,1,1
acmp1,cs,acie,bit_offset,,4,4
acmp1,cs,acie,bit_width,,1,1
acmp1,cs,acmod,bit_offset,,0,0
acmp1,cs,acmod,bit_width,,2,2
acmp1,cs,aco,bit_offset,,3,3
