peripheral,register,field_name,alt_name,key,correct_value,svd_value,agent_value,status,page,set_method,derived_from
ftmre,,,,base_address,0x40020000,0x40020000,,verified,13,human-verified,
ftmre,fccobix,,,address_offset,0x1,0x1,,verified,,imported,
ftmre,fccobix,,,reset_value,0,0,,verified,,imported,
ftmre,fccobix,,,size,8,8,,verified,,imported,
ftmre,fccobix,ccobix,,bit_offset,0,0,0,verified,,imported,
ftmre,fccobix,ccobix,,bit_width,3,3,3,verified,,imported,
ftmre,fccobix,ccobix,,access,read-write,read-write,,verified,,imported,
ftmre,fsec,,,address_offset,0x2,0x2,,verified,,imported,
ftmre,fsec,,,reset_value,0,0,,verified,,imported,
ftmre,fsec,,,size,8,8,,verified,,imported,
ftmre,fsec,sec,,bit_offset,0,0,0,verified,,imported,
ftmre,fsec,sec,,bit_width,2,2,2,verified,,imported,
ftmre,fsec,sec,,access,read-only,read-only,,verified,,imported,
ftmre,fsec,keyen,,bit_offset,6,6,6,verified,,imported,
ftmre,fsec,keyen,,bit_width,2,2,2,verified,,imported,
ftmre,fsec,keyen,,access,read-only,read-only,,verified,,imported,
ftmre,fclkdiv,,,address_offset,0x3,0x3,,verified,,imported,
ftmre,fclkdiv,,,reset_value,0,0,,verified,,imported,
ftmre,fclkdiv,,,size,8,8,,verified,,imported,
ftmre,fclkdiv,fdiv,,bit_offset,0,0,0,verified,,imported,
ftmre,fclkdiv,fdiv,,bit_width,6,6,6,verified,,imported,
ftmre,fclkdiv,fdiv,,access,read-write,read-write,,verified,,imported,
ftmre,fclkdiv,fdivlck,,bit_offset,6,6,6,verified,,imported,
ftmre,fclkdiv,fdivlck,,bit_width,1,1,1,verified,,imported,
ftmre,fclkdiv,fdivlck,,access,read-write,read-write,,verified,,imported,
ftmre,fclkdiv,fdivld,,bit_offset,7,7,7,verified,,imported,
ftmre,fclkdiv,fdivld,,bit_width,1,1,1,verified,,imported,
ftmre,fclkdiv,fdivld,,access,read-only,read-only,,verified,,imported,
ftmre,fstat,,,address_offset,0x5,0x5,,verified,,imported,
ftmre,fstat,,,reset_value,0x80,0x80,,verified,,imported,
ftmre,fstat,,,size,8,8,,verified,,imported,
ftmre,fstat,mgstat,,bit_offset,0,0,0,verified,,imported,
ftmre,fstat,mgstat,,bit_width,2,2,2,verified,,imported,
ftmre,fstat,mgstat,,access,read-only,read-only,,verified,,imported,
ftmre,fstat,mgbusy,,bit_offset,3,3,3,verified,,imported,
ftmre,fstat,mgbusy,,bit_width,1,1,1,verified,,imported,
ftmre,fstat,mgbusy,,access,read-only,read-only,,verified,,imported,
ftmre,fstat,fpviol,,bit_offset,4,4,4,verified,,imported,
ftmre,fstat,fpviol,,bit_width,1,1,1,verified,,imported,
ftmre,fstat,fpviol,,access,read-write,read-write,,verified,,imported,
ftmre,fstat,accerr,,bit_offset,5,5,5,verified,,imported,
ftmre,fstat,accerr,,bit_width,1,1,1,verified,,imported,
ftmre,fstat,accerr,,access,read-write,read-write,,verified,,imported,
ftmre,fstat,ccif,,bit_offset,7,7,7,verified,,imported,
ftmre,fstat,ccif,,bit_width,1,1,1,verified,,imported,
ftmre,fstat,ccif,,access,read-write,read-write,,verified,,imported,
ftmre,fcnfg,,,address_offset,0x7,0x7,,verified,,imported,
ftmre,fcnfg,,,reset_value,0,0,,verified,,imported,
ftmre,fcnfg,,,size,8,8,,verified,,imported,
ftmre,fcnfg,ersareq,,bit_offset,5,5,5,verified,,imported,
ftmre,fcnfg,ersareq,,bit_width,1,1,1,verified,,imported,
ftmre,fcnfg,ersareq,,access,read-only,read-only,,verified,,imported,
ftmre,fcnfg,ccie,,bit_offset,7,7,7,verified,,imported,
ftmre,fcnfg,ccie,,bit_width,1,1,1,verified,,imported,
ftmre,fcnfg,ccie,,access,read-write,read-write,,verified,,imported,
ftmre,fccoblo,,,address_offset,0x8,0x8,,verified,,imported,
ftmre,fccoblo,,,reset_value,0,0,,verified,,imported,
ftmre,fccoblo,,,size,8,8,,verified,,imported,
ftmre,fccoblo,ccob,,bit_offset,0,0,0,verified,,imported,
ftmre,fccoblo,ccob,,bit_width,8,8,8,verified,,imported,
ftmre,fccoblo,ccob,,access,read-write,read-write,,verified,,imported,
ftmre,fccobhi,,,address_offset,0x9,0x9,,verified,,imported,
ftmre,fccobhi,,,reset_value,0,0,,verified,,imported,
ftmre,fccobhi,,,size,8,8,,verified,,imported,
ftmre,fccobhi,ccob,,bit_offset,0,0,0,verified,,imported,
ftmre,fccobhi,ccob,,bit_width,8,8,8,verified,,imported,
ftmre,fccobhi,ccob,,access,read-write,read-write,,verified,,imported,
ftmre,fprot,,,address_offset,0xB,0xB,,verified,,imported,
ftmre,fprot,,,reset_value,0,0,,verified,,imported,
ftmre,fprot,,,size,8,8,,verified,,imported,
ftmre,fprot,fpls,,bit_offset,0,0,0,verified,,imported,
ftmre,fprot,fpls,,bit_width,2,2,2,verified,,imported,
ftmre,fprot,fpls,,access,read-write,read-write,,verified,,imported,
ftmre,fprot,fpldis,,bit_offset,2,2,2,verified,,imported,
ftmre,fprot,fpldis,,bit_width,1,1,1,verified,,imported,
ftmre,fprot,fpldis,,access,read-write,read-write,,verified,,imported,
ftmre,fprot,rnv,,bit_offset,3,3,,verified,15,human-verified,
ftmre,fprot,rnv,,bit_width,3,3,,verified,15,human-verified,
ftmre,fprot,rnv,,access,read-only,read-only,,verified,15,human-verified,
ftmre,fprot,rnv6,,bit_offset,6,6,6,verified,,imported,
ftmre,fprot,rnv6,,bit_width,1,1,1,verified,,imported,
ftmre,fprot,rnv6,,access,read-only,read-only,,verified,,imported,
ftmre,fprot,fpopen,,bit_offset,7,7,7,verified,,imported,
ftmre,fprot,fpopen,,bit_width,1,1,1,verified,,imported,
ftmre,fprot,fpopen,,access,read-write,read-write,,verified,,imported,
ftmre,fopt,,,address_offset,0xF,0xF,,verified,,imported,
ftmre,fopt,,,reset_value,0,0,,verified,,imported,
ftmre,fopt,,,size,8,8,,verified,,imported,
ftmre,fopt,nv,,bit_offset,0,0,0,verified,,imported,
ftmre,fopt,nv,,bit_width,8,8,8,verified,,imported,
ftmre,fopt,nv,,access,read-only,read-only,,verified,,imported,
irq,,,,base_address,0x40031000,0x40031000,,verified,7,human-verified,
irq,sc,,,address_offset,0,0,,verified,19,human-verified,
irq,sc,,,reset_value,0,0,,verified,19,human-verified,
irq,sc,,,size,8,8,,verified,19,human-verified,
irq,sc,irqmod,,bit_offset,0,0,0,verified,19,human-verified,
irq,sc,irqmod,,bit_width,1,1,1,verified,19,human-verified,
irq,sc,irqmod,,access,read-write,read-write,,verified,19,human-verified,
irq,sc,irqie,,bit_offset,1,1,1,verified,19,human-verified,
irq,sc,irqie,,bit_width,1,1,1,verified,19,human-verified,
irq,sc,irqie,,access,read-write,read-write,,verified,19,human-verified,
irq,sc,irqack,,bit_offset,2,2,2,verified,19,human-verified,
irq,sc,irqack,,bit_width,1,1,1,verified,19,human-verified,
irq,sc,irqack,,access,write-only,write-only,,verified,19,human-verified,
irq,sc,irqf,,bit_offset,3,3,3,verified,19,human-verified,
irq,sc,irqf,,bit_width,1,1,1,verified,19,human-verified,
irq,sc,irqf,,access,read-only,read-only,,verified,19,human-verified,
irq,sc,irqpe,,bit_offset,4,4,4,verified,19,human-verified,
irq,sc,irqpe,,bit_width,1,1,1,verified,19,human-verified,
irq,sc,irqpe,,access,read-write,read-write,,verified,19,human-verified,
irq,sc,irqedg,,bit_offset,5,5,5,verified,19,human-verified,
irq,sc,irqedg,,bit_width,1,1,1,verified,19,human-verified,
irq,sc,irqedg,,access,read-write,read-write,,verified,19,human-verified,
irq,sc,irqpdd,,bit_offset,6,6,6,verified,19,human-verified,
irq,sc,irqpdd,,bit_width,1,1,1,verified,19,human-verified,
irq,sc,irqpdd,,access,read-write,read-write,,verified,19,human-verified,
crc,,,,base_address,0x40032000,0x40032000,,verified,5,human-verified,
crc,data,,,address_offset,0,0,,verified,,imported,
crc,data,,,reset_value,0xFFFFFFFF,0xFFFFFFFF,,verified,,imported,
crc,data,,,size,32,32,,verified,,imported,
crc,data,ll,,bit_offset,0,0,0,verified,,imported,
crc,data,ll,,bit_width,8,8,8,verified,,imported,
crc,data,ll,,access,read-write,read-write,,verified,,imported,
crc,data,lu,,bit_offset,8,8,8,verified,,imported,
crc,data,lu,,bit_width,8,8,8,verified,,imported,
crc,data,lu,,access,read-write,read-write,,verified,,imported,
crc,data,hl,,bit_offset,16,16,16,verified,,imported,
crc,data,hl,,bit_width,8,8,8,verified,,imported,
crc,data,hl,,access,read-write,read-write,,verified,,imported,
crc,data,hu,,bit_offset,24,24,24,verified,,imported,
crc,data,hu,,bit_width,8,8,8,verified,,imported,
crc,data,hu,,access,read-write,read-write,,verified,,imported,
crc,gpoly,,,address_offset,0x4,0x4,,verified,,imported,
crc,gpoly,,,reset_value,0x1021,0x1021,,verified,,imported,
crc,gpoly,,,size,32,32,,verified,,imported,
crc,gpoly,low,,bit_offset,0,0,0,verified,,imported,
crc,gpoly,low,,bit_width,16,16,16,verified,,imported,
crc,gpoly,low,,access,read-write,read-write,,verified,,imported,
crc,gpoly,high,,bit_offset,16,16,16,verified,,imported,
crc,gpoly,high,,bit_width,16,16,16,verified,,imported,
crc,gpoly,high,,access,read-write,read-write,,verified,,imported,
