peripheral,register,field_name,alt_name,key,correct_value,svd_value,agent_value,status,page,set_method,derived_from
ftmre,fccobix,,,address_offset,0x1,0x1,,verified,,imported,
ftmre,fccobix,,,reset_value,0,0,,verified,,imported,
ftmre,fccobix,,,size,8,8,,verified,,imported,
ftmre,fccobix,ccobix,,bit_offset,0,0,0,verified,,imported,
ftmre,fccobix,ccobix,,bit_width,3,3,3,verified,,imported,
ftmre,fccobix,ccobix,,access,read-write,read-write,,verified,,imported,
ftmre,fsec,,,address_offset,0x2,0x2,,verified,,imported,
ftmre,fsec,,,reset_value,0,0,,verified,,imported,
ftmre,fsec,,,size,8,8,,verified,,imported,
ftmre,fsec,sec,,bit_offset,0,0,0,verified,,imported,
ftmre,fsec,sec,,bit_width,2,2,2,verified,,imported,
ftmre,fsec,sec,,access,read-only,read-only,,verified,,imported,
ftmre,fsec,keyen,,bit_offset,6,6,6,verified,,imported,
ftmre,fsec,keyen,,bit_width,2,2,2,verified,,imported,
ftmre,fsec,keyen,,access,read-only,read-only,,verified,,imported,
ftmre,fclkdiv,,,address_offset,0x3,0x3,,verified,,imported,
ftmre,fclkdiv,,,reset_value,0,0,,verified,,imported,
ftmre,fclkdiv,,,size,8,8,,verified,,imported,
ftmre,fclkdiv,fdiv,,bit_offset,0,0,0,verified,,imported,
ftmre,fclkdiv,fdiv,,bit_width,6,6,6,verified,,imported,
ftmre,fclkdiv,fdiv,,access,read-write,read-write,,verified,,imported,
ftmre,fclkdiv,fdivlck,,bit_offset,6,6,6,verified,,imported,
ftmre,fclkdiv,fdivlck,,bit_width,1,1,1,verified,,imported,
ftmre,fclkdiv,fdivlck,,access,read-write,read-write,,verified,,imported,
ftmre,fclkdiv,fdivld,,bit_offset,7,7,7,verified,,imported,
ftmre,fclkdiv,fdivld,,bit_width,1,1,1,verified,,imported,
ftmre,fclkdiv,fdivld,,access,read-only,read-only,,verified,,imported,
ftmre,fstat,,,address_offset,0x5,0x5,,verified,,imported,
ftmre,fstat,,,reset_value,0x80,0x80,,verified,,imported,
ftmre,fstat,,,size,8,8,,verified,,imported,
ftmre,fstat,mgstat,,bit_offset,0,0,0,verified,,imported,
ftmre,fstat,mgstat,,bit_width,2,2,2,verified,,imported,
ftmre,fstat,mgstat,,access,read-only,read-only,,verified,,imported,
ftmre,fstat,mgbusy,,bit_offset,3,3,3,verified,,imported,
ftmre,fstat,mgbusy,,bit_width,1,1,1,verified,,imported,
ftmre,fstat,mgbusy,,access,read-only,read-only,,verified,,imported,
ftmre,fstat,fpviol,,bit_offset,4,4,4,verified,,imported,
ftmre,fstat,fpviol,,bit_width,1,1,1,verified,,imported,
ftmre,fstat,fpviol,,access,read-write,read-write,,verified,,imported,
ftmre,fstat,accerr,,bit_offset,5,5,5,verified,,imported,
ftmre,fstat,accerr,,bit_width,1,1,1,verified,,imported,
ftmre,fstat,accerr,,access,read-write,read-write,,verified,,imported,
ftmre,fstat,ccif,,bit_offset,7,7,7,verified,,imported,
ftmre,fstat,ccif,,bit_width,1,1,1,verified,,imported,
ftmre,fstat,ccif,,access,read-write,read-write,,verified,,imported,
ftmre,fcnfg,,,address_offset,0x7,0x7,,verified,,imported,
ftmre,fcnfg,,,reset_value,0,0,,verified,,imported,
