peripheral,register,field_name,key,correct_value,svd_value,agent_value
adc0,cfg1,,address_offset,,0x40,
adc0,cfg1,,reset_value,,0,
adc0,cfg1,,size,32,32,
adc0,cfg1,adiclk,bit_offset,,0,0
adc0,cfg1,adiclk,bit_width,,2,2
adc0,cfg1,adiv,bit_offset,,5,5
adc0,cfg1,adiv,bit_width,,2,2
adc0,cfg1,mode,bit_offset,,2,2
adc0,cfg1,mode,bit_width,,2,2
adc0,cfg1,clrltrg,bit_offset,,8,
adc0,cfg1,clrltrg,bit_width,,1,
adc0,cfg2,,address_offset,,0x44,
adc0,cfg2,,reset_value,,0xC,
adc0,cfg2,,size,,32,
adc0,cfg2,smplts,bit_offset,,0,0
adc0,cfg2,smplts,bit_width,,8,8
adc0,sc2,,address_offset,,0x90,
adc0,sc2,,reset_value,,0,
adc0,sc2,,size,,32,
adc0,sc2,acfe,bit_offset,,5,5
adc0,sc2,acfe,bit_width,,1,1
adc0,sc2,acfgt,bit_offset,,4,4
adc0,sc2,acfgt,bit_width,,1,1
adc0,sc2,acren,bit_offset,,3,3
adc0,sc2,acren,bit_width,,1,1
adc0,sc2,adact,bit_offset,,7,7
adc0,sc2,adact,bit_width,,1,1
adc0,sc2,adtrg,bit_offset,,6,6
adc0,sc2,adtrg,bit_width,,1,1
adc0,sc2,dmaen,bit_offset,,2,2
adc0,sc2,dmaen,bit_width,,1,1
adc0,sc2,refsel,bit_offset,,0,0
adc0,sc2,refsel,bit_width,,2,2
adc0,sc2,trgprnum,bit_offset,,13,13
adc0,sc2,trgprnum,bit_width,,2,2
adc0,sc2,trgsterr,bit_offset,,24,24
adc0,sc2,trgsterr,bit_width,,4,4
adc0,sc2,trgstlat,bit_offset,,16,16
adc0,sc2,trgstlat,bit_width,,4,4
adc0,sc3,,address_offset,,0x94,
adc0,sc3,,reset_value,,0,
adc0,sc3,,size,,32,
adc0,sc3,adco,bit_offset,,3,12
adc0,sc3,adco,bit_width,,1,1
adc0,sc3,avge,bit_offset,,2,9
adc0,sc3,avge,bit_width,,1,1
adc0,sc3,avgs,bit_offset,,0,5
adc0,sc3,avgs,bit_width,,2,4
adc0,sc3,cal,bit_offset,,7,15
adc0,sc3,cal,bit_width,,1,1
adc0,base_ofs,,address_offset,,0x98,
adc0,base_ofs,,reset_value,,0x40,
adc0,base_ofs,,size,,32,
adc0,base_ofs,ba_ofs,bit_offset,,0,
adc0,base_ofs,ba_ofs,bit_width,,8,
adc0,clp0,,address_offset,,0xC4,
adc0,clp0,,reset_value,,0x2E,
adc0,clp0,,size,,32,
adc0,clp0,clp0,bit_offset,,0,
adc0,clp0,clp0,bit_width,,8,
adc0,clp0_ofs,,address_offset,,0xE0,
adc0,clp0_ofs,,reset_value,,0,
adc0,clp0_ofs,,size,,32,
adc0,clp0_ofs,clp0_ofs,bit_offset,,0,
adc0,clp0_ofs,clp0_ofs,bit_width,,4,
adc0,clp1,,address_offset,,0xC0,
adc0,clp1,,reset_value,,0x5C,
adc0,clp1,,size,,32,
adc0,clp1,clp1,bit_offset,,0,
adc0,clp1,clp1,bit_width,,9,
adc0,clp1_ofs,,address_offset,,0xDC,
adc0,clp1_ofs,,reset_value,,0,
adc0,clp1_ofs,,size,,32,
adc0,clp1_ofs,clp1_ofs,bit_offset,,0,
adc0,clp1_ofs,clp1_ofs,bit_width,,4,
adc0,clp2,,address_offset,,0xBC,
adc0,clp2,,reset_value,,0xB8,
adc0,clp2,,size,,32,
adc0,clp2,clp2,bit_offset,,0,
adc0,clp2,clp2,bit_width,,10,
adc0,clp2_ofs,,address_offset,,0xD8,
adc0,clp2_ofs,,reset_value,,0,
adc0,clp2_ofs,,size,,32,
adc0,clp2_ofs,clp2_ofs,bit_offset,,0,
adc0,clp2_ofs,clp2_ofs,bit_width,,4,
adc0,clp3,,address_offset,,0xB8,
adc0,clp3,,reset_value,,0x180,
adc0,clp3,,size,,32,
adc0,clp3,clp3,bit_offset,,0,
adc0,clp3,clp3,bit_width,,10,
adc0,clp3_ofs,,address_offset,,0xD4,
adc0,clp3_ofs,,reset_value,,0,
adc0,clp3_ofs,,size,,32,
adc0,clp3_ofs,clp3_ofs,bit_offset,,0,
adc0,clp3_ofs,clp3_ofs,bit_width,,4,
adc0,clp9,,address_offset,,0xCC,
adc0,clp9,,reset_value,,0,
adc0,clp9,,size,,32,
adc0,clp9,clp9,bit_offset,,0,
adc0,clp9,clp9,bit_width,,7,
adc0,clp9_ofs,,address_offset,,0xE8,
adc0,clp9_ofs,,reset_value,,0x240,
adc0,clp9_ofs,,size,,32,
adc0,clp9_ofs,clp9_ofs,bit_offset,,0,
adc0,clp9_ofs,clp9_ofs,bit_width,,12,
adc0,clps,,address_offset,,0xB4,
adc0,clps,,reset_value,,0x2E,
adc0,clps,,size,,32,
adc0,clps,clps,bit_offset,,0,
adc0,clps,clps,bit_width,,7,
adc0,clps_ofs,,address_offset,,0xD0,
adc0,clps_ofs,,reset_value,,0,
adc0,clps_ofs,,size,,32,
adc0,clps_ofs,clps_ofs,bit_offset,,0,
adc0,clps_ofs,clps_ofs,bit_width,,4,
adc0,clpx,,address_offset,,0xC8,
adc0,clpx,,reset_value,,0,
adc0,clpx,,size,,32,
adc0,clpx,clpx,bit_offset,,0,
adc0,clpx,clpx,bit_width,,7,
adc0,clpx_ofs,,address_offset,,0xE4,
adc0,clpx_ofs,,reset_value,,0x440,
adc0,clpx_ofs,,size,,32,
adc0,clpx_ofs,clpx_ofs,bit_offset,,0,
adc0,clpx_ofs,clpx_ofs,bit_width,,12,
adc0,cv%s,,address_offset,,0x88,
adc0,cv%s,,reset_value,,0,
adc0,cv%s,,size,,32,
adc0,cv%s,cv,bit_offset,,0,
adc0,cv%s,cv,bit_width,,16,
adc0,g,,address_offset,,0xAC,
adc0,g,,reset_value,,0x2F0,
adc0,g,,size,,32,
adc0,g,g,bit_offset,,0,
adc0,g,g,bit_width,,11,
adc0,ofs,,address_offset,,0x9C,
adc0,ofs,,reset_value,,0,
adc0,ofs,,size,,32,
adc0,ofs,ofs,bit_offset,,0,
adc0,ofs,ofs,bit_width,,16,
adc0,r%s,,address_offset,,0x48,
adc0,r%s,,reset_value,,0,
adc0,r%s,,size,,32,
adc0,r%s,d,bit_offset,,0,
adc0,r%s,d,bit_width,,12,
adc0,sc1%s,,address_offset,,0,
adc0,sc1%s,,reset_value,,0x1F,
adc0,sc1%s,,size,,32,
adc0,sc1%s,adch,bit_offset,,0,
adc0,sc1%s,adch,bit_width,,5,
adc0,sc1%s,aien,bit_offset,,6,
adc0,sc1%s,aien,bit_width,,1,
adc0,sc1%s,coco,bit_offset,,7,
adc0,sc1%s,coco,bit_width,,1,
adc0,ug,,address_offset,,0xB0,
adc0,ug,,reset_value,,0x4,
adc0,ug,,size,,32,
adc0,ug,ug,bit_offset,,0,
adc0,ug,ug,bit_width,,10,
adc0,usr_ofs,,address_offset,,0xA0,
adc0,usr_ofs,,reset_value,,0,
adc0,usr_ofs,,size,,32,
adc0,usr_ofs,usr_ofs,bit_offset,,0,
