peripheral,register,field_name,key,correct_value
,,,,
afio,mapr2,cec_remap,bit_offset,3
afio,mapr2,fsmc_nadv,bit_offset,10
afio,mapr2,misc_remap,bit_offset,13
afio,mapr2,tim12_remap,bit_offset,12
afio,mapr2,tim13_remap,bit_offset,8
afio,mapr2,tim14_remap,bit_offset,9
afio,mapr2,tim15_remap,bit_offset,0
afio,mapr2,tim16_remap,bit_offset,1
afio,mapr2,tim17_remap,bit_offset,2
afio,mapr2,tim1_dma_remap,bit_offset,4
afio,mapr2,tim67_dac_dma_remap,bit_offset,11
bkp,cr,,address_offset,0x30
bkp,csr,,address_offset,0x34
bkp,dr1,,address_offset,0x4
bkp,dr10,,address_offset,0x28
bkp,dr11,,address_offset,0x40
bkp,dr12,,address_offset,0x44
bkp,dr13,,address_offset,0x48
bkp,dr14,,address_offset,0x4C
bkp,dr16,,address_offset,0x54
bkp,dr17,,address_offset,0x54
bkp,dr18,,address_offset,0x5c
bkp,dr19,,address_offset,0x60
bkp,dr2,,address_offset,0x8
bkp,dr20,,address_offset,0x64
bkp,dr21,,address_offset,0x64
bkp,dr22,,address_offset,0x68
bkp,dr23,,address_offset,0x6C
bkp,dr23,,reset_value,0x0
bkp,dr24,,address_offset,0x70
bkp,dr26,,address_offset,0x78
bkp,dr27,,address_offset,0x7C
bkp,dr28,,address_offset,0x80
bkp,dr29,,address_offset,0x84
bkp,dr3,,address_offset,0xC
bkp,dr30,,address_offset,0x88
bkp,dr31,,address_offset,0x8C
bkp,dr33,,address_offset,0x94
bkp,dr34,,address_offset,0x98
bkp,dr37,,address_offset,0xA4
bkp,dr39,,address_offset,0xAC
bkp,dr4,,address_offset,0x10
bkp,dr40,,address_offset,0xB0
bkp,dr42,,address_offset,0xB8
bkp,dr5,,address_offset,0x14
bkp,dr7,,address_offset,0x1c
bkp,dr8,,address_offset,0x20
bkp,dr9,,address_offset,0x24
bkp,rtccr,,address_offset,0x2c
crc,dr,,reset_value,0xFFFFFFFF
crc,idr,idr,bit_width,8
dac,cr,en2,bit_offset,16
dac,cr,ten1,bit_offset,2
dac,cr,ten2,bit_offset,18
dac,dhr12ld,,address_offset,0x24
dac,dhr12r2,,address_offset,0x14
dac,dhr12rd,,address_offset,0x20
dac,dhr8rd,,address_offset,0x28
dac,dor1,,address_offset,0x2C
dac,dor2,,address_offset,0x30
dac,sr,dmaudr1,bit_offset,13
flash,cr,,reset_value,0x80
flash,cr,lock,bit_offset,7
flash,cr,strt,bit_offset,6
flash,obr,,address_offset,0x1C
flash,obr,,reset_value,0x3FFFFFC
flash,optkeyr,,address_offset,0x8
flash,sr,,reset_value,0x0
flash,sr,eop,bit_offset,5
flash,wrpr,,reset_value,0xFFFFFFFF
flash,wrpr,,size,32
fsmc,bcr2,asyncwait,bit_offset,15
fsmc,bcr2,bursten,bit_offset,8
fsmc,bcr2,cburstrw,bit_offset,19
fsmc,bcr2,extmod,bit_offset,14
fsmc,bcr2,muxen,bit_offset,1
fsmc,bcr2,waitcfg,bit_offset,11
fsmc,bcr2,waiten,bit_offset,13
fsmc,bcr2,waitpol,bit_offset,9
fsmc,bcr2,wrapmod,bit_offset,10
fsmc,bcr2,wren,bit_offset,12
fsmc,bcr3,asyncwait,bit_offset,15
fsmc,bcr3,bursten,bit_offset,8
fsmc,bcr3,cburstrw,bit_offset,19
fsmc,bcr3,extmod,bit_offset,14
fsmc,bcr3,waitcfg,bit_offset,11
fsmc,bcr3,waiten,bit_offset,13
fsmc,bcr3,waitpol,bit_offset,9
fsmc,bcr3,wrapmod,bit_offset,10
fsmc,bcr3,wren,bit_offset,12
fsmc,bcr4,,reset_value,0x30D2
fsmc,bcr4,asyncwait,bit_offset,15
fsmc,bcr4,bursten,bit_offset,8
fsmc,bcr4,cburstrw,bit_offset,19
fsmc,bcr4,waitcfg,bit_offset,11
fsmc,bcr4,waiten,bit_offset,13
fsmc,bcr4,waitpol,bit_offset,9
fsmc,bcr4,wrapmod,bit_offset,10
fsmc,bcr4,wren,bit_offset,12
fsmc,btr1,,reset_value,0x0FFFFFFF
fsmc,btr2,,reset_value,0x0FFFFFFF
fsmc,bwtr1,,address_offset,0x104
fsmc,bwtr1,,reset_value,0xFFFFFFF
fsmc,bwtr2,,reset_value,0xFFFFFFF
fsmc,bwtr3,,reset_value,0xFFFFFFF
fsmc,bwtr4,,reset_value,0xFFFFFFF
iwdg,sr,pvu,bit_offset,0
iwdg,sr,rvu,bit_offset,1
rcc,apb2enr,adc1en,bit_offset,9
rcc,apb2enr,iopaen,bit_offset,2
rcc,apb2enr,iopben,bit_offset,3
rcc,apb2enr,iopcen,bit_offset,4
rcc,apb2enr,iopden,bit_offset,5
rcc,apb2enr,iopeen,bit_offset,6
rcc,apb2enr,iopfen,bit_offset,7
rcc,apb2enr,iopgen,bit_offset,8
rcc,apb2enr,spi1en,bit_offset,12
rcc,apb2enr,tim15en,bit_offset,16
rcc,apb2enr,tim16en,bit_offset,17
rcc,apb2enr,tim17en,bit_offset,18
rcc,apb2enr,tim1en,bit_offset,11
rcc,apb2enr,usart1en,bit_offset,14
rcc,apb2rstr,ioparst,bit_offset,2
rcc,apb2rstr,iopbrst,bit_offset,3
rcc,apb2rstr,iopcrst,bit_offset,4
rcc,apb2rstr,iopdrst,bit_offset,5
rcc,apb2rstr,ioperst,bit_offset,6
rcc,apb2rstr,iopfrst,bit_offset,7
rcc,apb2rstr,iopgrst,bit_offset,8
rcc,apb2rstr,spi1rst,bit_offset,12
rcc,apb2rstr,tim15rst,bit_offset,16
rcc,apb2rstr,tim16rst,bit_offset,17
rcc,apb2rstr,tim17rst,bit_offset,18
rcc,apb2rstr,tim1rst,bit_offset,11
rcc,apb2rstr,usart1rst,bit_offset,14
rcc,cr,,reset_value,0x83
rtc,alrh,,address_offset,0x20
rtc,alrh,,reset_value,0xFFFF
rtc,alrl,,reset_value,0xFFFF
rtc,cntl,,address_offset,0x1C
rtc,divh,,address_offset,0x10
rtc,divl,,address_offset,0x14
rtc,divl,,reset_value,0x8000
tim1,bdtr,bke,bit_offset,12
tim1,bdtr,bkp,bit_offset,13
tim1,bdtr,moe,bit_offset,15
tim1,bdtr,ossi,bit_offset,10
tim1,bdtr,ossr,bit_offset,11
tim1,ccer,cc2e,bit_offset,4
tim1,ccer,cc2ne,bit_offset,6
tim1,ccer,cc2np,bit_offset,7
tim1,ccer,cc2p,bit_offset,5
tim1,ccer,cc3e,bit_offset,8
tim1,ccer,cc3ne,bit_offset,10
tim1,ccer,cc3np,bit_offset,11
tim1,ccer,cc3p,bit_offset,9
tim1,ccer,cc4e,bit_offset,12
tim1,ccer,cc4p,bit_offset,13
tim1,ccr4,,address_offset,0x40
tim1,cnt,cnt,bit_width,16
tim1,cr2,mms,bit_offset,4
tim1,cr2,ois1,bit_offset,8
tim1,cr2,ois1n,bit_offset,9
tim1,cr2,ois2,bit_offset,10
tim1,cr2,ois2n,bit_offset,11
tim1,cr2,ois3,bit_offset,12
tim1,cr2,ois3n,bit_offset,13
tim1,cr2,ois4,bit_offset,14
tim1,cr2,ti1s,bit_offset,7
tim1,rcr,,address_offset,0x30
tim1,smcr,ece,bit_offset,14
tim1,smcr,etf,bit_offset,8
tim1,smcr,etp,bit_offset,15
tim1,smcr,etps,bit_offset,12
tim1,smcr,ts,bit_offset,4
tim12,arr,,reset_value,0xFFFF
tim12,cr1,opm,bit_offset,3
tim12,cr1,udis,bit_offset,1
tim12,cr1,urs,bit_offset,2
tim13,arr,,reset_value,0xFFFF
tim15,bdtr,,address_offset,0x44
tim15,ccr2,,address_offset,0x38
tim15,dcr,,address_offset,0x48
tim15,dmar,,address_offset,0x4C
tim2,arr,,reset_value,0xFFFF
tim2,smcr,,address_offset,0x8
tim6,arr,,reset_value,0xFFFF
tim6,sr,,address_offset,0x10
wwdg,cr,,reset_value,0x7F
