peripheral,register,field_name,key,correct_value,svd_value,agent_value
afio,evcr,,address_offset,0x0,0x0,
afio,evcr,,reset_value,0x00000000,0x00000000,
afio,evcr,,size,32,32,
afio,evcr,evoe,bit_offset,7,7,7
afio,evcr,evoe,bit_width,1,1,1
afio,evcr,pin,bit_offset,0,0,0
afio,evcr,pin,bit_width,4,4,4
afio,evcr,port,bit_offset,4,4,
afio,evcr,port,bit_width,3,3,
afio,exticr1,,address_offset,0x8,0x8,
afio,exticr1,,reset_value,0x00000000,0x00000000,
afio,exticr1,,size,32,32,
afio,exticr1,exti0,bit_offset,0,0,0
afio,exticr1,exti0,bit_width,4,4,4
afio,exticr1,exti1,bit_offset,4,4,4
afio,exticr1,exti1,bit_width,4,4,4
afio,exticr1,exti2,bit_offset,8,8,8
afio,exticr1,exti2,bit_width,4,4,4
afio,exticr1,exti3,bit_offset,12,12,12
afio,exticr1,exti3,bit_width,4,4,4
afio,exticr2,,address_offset,0xC,0xC,
afio,exticr2,,reset_value,0x00000000,0x00000000,
afio,exticr2,,size,32,32,
afio,exticr2,exti4,bit_offset,0,0,0
afio,exticr2,exti4,bit_width,4,4,4
afio,exticr2,exti5,bit_offset,4,4,4
afio,exticr2,exti5,bit_width,4,4,4
afio,exticr2,exti6,bit_offset,8,8,8
afio,exticr2,exti6,bit_width,4,4,4
afio,exticr2,exti7,bit_offset,12,12,12
afio,exticr2,exti7,bit_width,4,4,4
afio,exticr3,,address_offset,0x10,0x10,
afio,exticr3,,reset_value,0x00000000,0x00000000,
afio,exticr3,,size,32,32,
afio,exticr3,exti10,bit_offset,8,8,8
afio,exticr3,exti10,bit_width,4,4,4
afio,exticr3,exti11,bit_offset,12,12,12
afio,exticr3,exti11,bit_width,4,4,4
afio,exticr3,exti8,bit_offset,0,0,0
afio,exticr3,exti8,bit_width,4,4,4
afio,exticr3,exti9,bit_offset,4,4,4
afio,exticr3,exti9,bit_width,4,4,4
afio,exticr4,,address_offset,0x14,0x14,
afio,exticr4,,reset_value,0x00000000,0x00000000,
afio,exticr4,,size,32,32,
afio,exticr4,exti12,bit_offset,0,0,0
afio,exticr4,exti12,bit_width,4,4,4
afio,exticr4,exti13,bit_offset,4,4,4
afio,exticr4,exti13,bit_width,4,4,4
afio,exticr4,exti14,bit_offset,8,8,8
afio,exticr4,exti14,bit_width,4,4,4
afio,exticr4,exti15,bit_offset,12,12,12
afio,exticr4,exti15,bit_width,4,4,4
afio,mapr,,address_offset,0x4,0x4,
afio,mapr,,reset_value,0x00000000,0x00000000,
afio,mapr,,size,32,32,
afio,mapr,i2c1_remap,bit_offset,1,1,1
afio,mapr,i2c1_remap,bit_width,1,1,1
afio,mapr,pd01_remap,bit_offset,15,15,15
afio,mapr,pd01_remap,bit_width,1,1,1
afio,mapr,spi1_remap,bit_offset,0,0,0
afio,mapr,spi1_remap,bit_width,1,1,1
afio,mapr,swj_cfg,bit_offset,24,24,24
afio,mapr,swj_cfg,bit_width,3,3,3
afio,mapr,tim1_remap,bit_offset,6,6,6
afio,mapr,tim1_remap,bit_width,2,2,2
afio,mapr,tim2_remap,bit_offset,8,8,8
afio,mapr,tim2_remap,bit_width,2,2,2
afio,mapr,tim3_remap,bit_offset,10,10,10
afio,mapr,tim3_remap,bit_width,2,2,2
afio,mapr,tim4_remap,bit_offset,12,12,12
afio,mapr,tim4_remap,bit_width,1,1,1
afio,mapr,tim5ch4_iremap,bit_offset,16,16,16
afio,mapr,tim5ch4_iremap,bit_width,1,1,1
afio,mapr,usart1_remap,bit_offset,2,2,2
afio,mapr,usart1_remap,bit_width,1,1,1
afio,mapr,usart2_remap,bit_offset,3,3,3
afio,mapr,usart2_remap,bit_width,1,1,1
afio,mapr,usart3_remap,bit_offset,4,4,4
afio,mapr,usart3_remap,bit_width,2,2,2
afio,mapr2,,address_offset,0x1C,0x1C,
afio,mapr2,,reset_value,0x00000000,0x00000000,
afio,mapr2,,size,32,32,
afio,mapr2,fsmc_nadv,bit_offset,10,10,5
afio,mapr2,fsmc_nadv,bit_width,1,1,1
afio,mapr2,misc_remap,bit_offset,13,13,8
afio,mapr2,misc_remap,bit_width,1,1,1
afio,mapr2,tim12_remap,bit_offset,12,12,7
afio,mapr2,tim12_remap,bit_width,1,1,1
afio,mapr2,tim13_remap,bit_offset,8,8,3
afio,mapr2,tim13_remap,bit_width,1,1,1
afio,mapr2,tim14_remap,bit_offset,9,9,4
afio,mapr2,tim14_remap,bit_width,1,1,1
afio,mapr2,tim1_dma_remap,bit_offset,4,4,0
afio,mapr2,tim1_dma_remap,bit_width,1,1,1
afio,mapr2,tim67_dac_dma_remap,bit_offset,11,11,6
afio,mapr2,tim67_dac_dma_remap,bit_width,1,1,1
afio,mapr2,cec_remap,bit_offset,3,3,
afio,mapr2,cec_remap,bit_width,1,1,
afio,mapr2,tim15_remap,bit_offset,0,0,
afio,mapr2,tim15_remap,bit_width,1,1,
afio,mapr2,tim16_remap,bit_offset,1,1,
afio,mapr2,tim16_remap,bit_width,1,1,
afio,mapr2,tim17_remap,bit_offset,2,2,
afio,mapr2,tim17_remap,bit_width,1,1,
bkp,cr,,address_offset,0x30,0x2C,
bkp,cr,,reset_value,0x00000000,0x00000000,
bkp,cr,,size,16,32,
bkp,cr,tpal,bit_offset,1,1,1
bkp,cr,tpal,bit_width,1,1,1
bkp,cr,tpe,bit_offset,0,0,0
bkp,cr,tpe,bit_width,1,1,1
bkp,csr,,address_offset,0x34,0x30,
bkp,csr,,reset_value,0x00000000,0x00000000,
bkp,csr,,size,16,32,
bkp,csr,tpie,bit_offset,2,2,0
bkp,csr,tpie,bit_width,1,1,1
bkp,csr,cte,bit_offset,0,0,
bkp,csr,cte,bit_width,1,1,
bkp,csr,cti,bit_offset,1,1,
bkp,csr,cti,bit_width,1,1,
bkp,csr,tef,bit_offset,8,8,
bkp,csr,tef,bit_width,1,1,
bkp,csr,tif,bit_offset,9,9,
bkp,csr,tif,bit_width,1,1,
bkp,dr1,,address_offset,0x4,0x0,
bkp,dr1,,reset_value,0x00000000,0x00000000,
bkp,dr1,,size,16,32,
bkp,dr1,d,bit_offset,0,0,
bkp,dr1,d,bit_width,16,16,
bkp,dr10,,address_offset,0x28,0x24,
bkp,dr10,,reset_value,0x00000000,0x00000000,
bkp,dr10,,size,16,32,
bkp,dr10,d,bit_offset,0,0,
bkp,dr10,d,bit_width,16,16,
bkp,dr11,,address_offset,0x40,0x3C,
bkp,dr11,,reset_value,0x00000000,0x00000000,
bkp,dr11,,size,16,32,
bkp,dr11,d,bit_offset,0,0,
bkp,dr11,d,bit_width,16,16,
bkp,dr12,,address_offset,0x44,0x40,
bkp,dr12,,reset_value,0x00000000,0x00000000,
bkp,dr12,,size,16,32,
bkp,dr12,d,bit_offset,0,0,
bkp,dr12,d,bit_width,16,16,
bkp,dr13,,address_offset,0x48,0x44,
bkp,dr13,,reset_value,0x00000000,0x00000000,
bkp,dr13,,size,16,32,
bkp,dr13,d,bit_offset,0,0,
bkp,dr13,d,bit_width,16,16,
bkp,dr14,,address_offset,0x4C,0x48,
bkp,dr14,,reset_value,0x00000000,0x00000000,
bkp,dr14,,size,16,32,
bkp,dr14,d,bit_offset,0,0,0
bkp,dr14,d,bit_width,16,16,16
bkp,dr15,,address_offset,0x50,0x4C,
bkp,dr15,,reset_value,0x00000000,0x00000000,
bkp,dr15,,size,16,32,
bkp,dr15,d,bit_offset,0,0,
bkp,dr15,d,bit_width,16,16,
bkp,dr16,,address_offset,0x54,0x50,
bkp,dr16,,reset_value,0x00000000,0x00000000,
bkp,dr16,,size,16,32,
bkp,dr16,d,bit_offset,0,0,
bkp,dr16,d,bit_width,16,16,
bkp,dr17,,address_offset,0x54,0x54,
bkp,dr17,,reset_value,0x00000000,0x00000000,
bkp,dr17,,size,16,32,
bkp,dr17,d,bit_offset,0,0,
bkp,dr17,d,bit_width,16,16,
bkp,dr18,,address_offset,0x5c,0x58,
bkp,dr18,,reset_value,0x00000000,0x00000000,
bkp,dr18,,size,16,32,
bkp,dr18,d,bit_offset,0,0,
bkp,dr18,d,bit_width,16,16,
bkp,dr19,,address_offset,0x60,0x5C,
bkp,dr19,,reset_value,0x00000000,0x00000000,
bkp,dr19,,size,16,32,
bkp,dr19,d,bit_offset,0,0,
bkp,dr19,d,bit_width,16,16,
bkp,dr2,,address_offset,0x8,0x4,
bkp,dr2,,reset_value,0x00000000,0x00000000,
bkp,dr2,,size,16,32,
bkp,dr2,d,bit_offset,0,0,
bkp,dr2,d,bit_width,16,16,
bkp,dr20,,address_offset,0x64,0x60,
bkp,dr20,,reset_value,0x00000000,0x00000000,
bkp,dr20,,size,16,32,
bkp,dr20,d,bit_offset,0,0,
bkp,dr20,d,bit_width,16,16,
bkp,dr3,,address_offset,0xC,0x8,
bkp,dr3,,reset_value,0x00000000,0x00000000,
bkp,dr3,,size,16,32,
bkp,dr3,d,bit_offset,0,0,
bkp,dr3,d,bit_width,16,16,
bkp,dr4,,address_offset,0x10,0xC,
bkp,dr4,,reset_value,0x00000000,0x00000000,
bkp,dr4,,size,16,32,
bkp,dr4,d,bit_offset,0,0,
bkp,dr4,d,bit_width,16,16,
bkp,dr5,,address_offset,0x14,0x10,
bkp,dr5,,reset_value,0x00000000,0x00000000,
bkp,dr5,,size,16,32,
bkp,dr5,d,bit_offset,0,0,
bkp,dr5,d,bit_width,16,16,
bkp,dr6,,address_offset,0x18,0x14,
bkp,dr6,,reset_value,0x00000000,0x00000000,
bkp,dr6,,size,16,32,
bkp,dr6,d,bit_offset,0,0,
bkp,dr6,d,bit_width,16,16,
bkp,dr7,,address_offset,0x1c,0x18,
bkp,dr7,,reset_value,0x00000000,0x00000000,
bkp,dr7,,size,16,32,
bkp,dr7,d,bit_offset,0,0,
bkp,dr7,d,bit_width,16,16,
bkp,dr8,,address_offset,0x20,0x1C,
bkp,dr8,,reset_value,0x00000000,0x00000000,
bkp,dr8,,size,16,32,
bkp,dr8,d,bit_offset,0,0,
bkp,dr8,d,bit_width,16,16,
bkp,dr9,,address_offset,0x24,0x20,
bkp,dr9,,reset_value,0x00000000,0x00000000,
bkp,dr9,,size,16,32,
bkp,dr9,d,bit_offset,0,0,
bkp,dr9,d,bit_width,16,16,
bkp,rtccr,,address_offset,0x2c,0x28,
bkp,rtccr,,reset_value,0x00000000,0x00000000,
bkp,rtccr,,size,16,32,
bkp,rtccr,cal,bit_offset,0,0,8
bkp,rtccr,cal,bit_width,7,7,7
