peripheral,register,field_name,alt_name,key,correct_value,svd_value,agent_value,status,page,set_method,derived_from
fsmc,,,,base_address,,0xA0000000,,,,,
fsmc,bcr1,,,address_offset,0x0,0x0,,verified,,imported,
fsmc,bcr1,,,reset_value,0x30DB,0x000030D0,,verified,,imported,
fsmc,bcr1,,,size,32,0x20,,verified,,imported,
fsmc,bcr1,cburstrw,,bit_offset,19,19,19,verified,,imported,
fsmc,bcr1,cburstrw,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,cburstrw,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,asyncwait,,bit_offset,15,15,15,verified,,imported,
fsmc,bcr1,asyncwait,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,asyncwait,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,extmod,,bit_offset,14,14,14,verified,,imported,
fsmc,bcr1,extmod,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,extmod,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,waiten,,bit_offset,13,13,13,verified,,imported,
fsmc,bcr1,waiten,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,waiten,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,wren,,bit_offset,12,12,12,verified,,imported,
fsmc,bcr1,wren,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,wren,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,waitcfg,,bit_offset,11,11,11,verified,,imported,
fsmc,bcr1,waitcfg,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,waitcfg,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,waitpol,,bit_offset,9,9,9,verified,,imported,
fsmc,bcr1,waitpol,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,waitpol,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,bursten,,bit_offset,8,8,8,verified,,imported,
fsmc,bcr1,bursten,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,bursten,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,faccen,,bit_offset,6,6,6,verified,,imported,
fsmc,bcr1,faccen,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,faccen,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,mwid,,bit_offset,4,4,4,verified,,imported,
fsmc,bcr1,mwid,,bit_width,2,2,2,verified,,imported,
fsmc,bcr1,mwid,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,mtyp,,bit_offset,2,2,2,verified,,imported,
fsmc,bcr1,mtyp,,bit_width,2,2,2,verified,,imported,
fsmc,bcr1,mtyp,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,muxen,,bit_offset,1,1,1,verified,,imported,
fsmc,bcr1,muxen,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,muxen,,access,read-write,read-write,,verified,,imported,
fsmc,bcr1,mbken,,bit_offset,0,0,0,verified,,imported,
fsmc,bcr1,mbken,,bit_width,1,1,1,verified,,imported,
fsmc,bcr1,mbken,,access,read-write,read-write,,verified,,imported,
fsmc,btr1,,,address_offset,0x4,0x4,,verified,,imported,
fsmc,btr1,,,reset_value,0x0FFFFFFF,0xFFFFFFFF,,verified,,imported,
fsmc,btr1,,,size,32,0x20,,verified,,imported,
fsmc,btr1,accmod,,bit_offset,28,28,28,verified,,imported,
fsmc,btr1,accmod,,bit_width,2,2,2,verified,,imported,
fsmc,btr1,accmod,,access,read-write,read-write,,verified,,imported,
fsmc,btr1,datlat,,bit_offset,24,24,24,verified,,imported,
fsmc,btr1,datlat,,bit_width,4,4,4,verified,,imported,
fsmc,btr1,datlat,,access,read-write,read-write,,verified,,imported,
fsmc,btr1,clkdiv,,bit_offset,20,20,20,verified,,imported,
fsmc,btr1,clkdiv,,bit_width,4,4,4,verified,,imported,
fsmc,btr1,clkdiv,,access,read-write,read-write,,verified,,imported,
fsmc,btr1,busturn,,bit_offset,16,16,16,verified,,imported,
fsmc,btr1,busturn,,bit_width,4,4,4,verified,,imported,
fsmc,btr1,busturn,,access,read-write,read-write,,verified,,imported,
fsmc,btr1,datast,,bit_offset,8,8,8,verified,,imported,
fsmc,btr1,datast,,bit_width,8,8,8,verified,,imported,
fsmc,btr1,datast,,access,read-write,read-write,,verified,,imported,
fsmc,btr1,addhld,,bit_offset,4,4,4,verified,,imported,
fsmc,btr1,addhld,,bit_width,4,4,4,verified,,imported,
fsmc,btr1,addhld,,access,read-write,read-write,,verified,,imported,
fsmc,btr1,addset,,bit_offset,0,0,0,verified,,imported,
fsmc,btr1,addset,,bit_width,4,4,4,verified,,imported,
fsmc,btr1,addset,,access,read-write,read-write,,verified,,imported,
fsmc,bcr2,,,address_offset,0x8,0x8,,verified,,imported,
fsmc,bcr2,,,reset_value,0x30D2,0x000030D0,,verified,,imported,
fsmc,bcr2,,,size,32,0x20,,verified,,imported,
fsmc,bcr2,cburstrw,,bit_offset,19,19,19,verified,,imported,
fsmc,bcr2,cburstrw,,bit_width,1,1,1,verified,,imported,
fsmc,bcr2,cburstrw,,access,read-write,read-write,,verified,,imported,
fsmc,bcr2,asyncwait,,bit_offset,15,15,15,verified,,imported,
fsmc,bcr2,asyncwait,,bit_width,1,1,1,verified,,imported,
fsmc,bcr2,asyncwait,,access,read-write,read-write,,verified,,imported,
fsmc,bcr2,extmod,,bit_offset,14,14,14,verified,,imported,
fsmc,bcr2,extmod,,bit_width,1,1,1,verified,,imported,
fsmc,bcr2,extmod,,access,read-write,read-write,,verified,,imported,
fsmc,bcr2,waiten,,bit_offset,13,13,13,verified,,imported,
