peripheral,register,field_name,key,correct_value,svd_value,agent_value
adc,ccr,,address_offset,,0x308,
adc,ccr,,reset_value,,0x00000000,
adc,ccr,,size,,32,
adc,ccr,tsen,bit_offset,,23,23
adc,ccr,tsen,bit_width,,1,1
adc,ccr,vrefen,bit_offset,,22,22
adc,ccr,vrefen,bit_width,,1,1
adc,ccr,vbaten,bit_offset,,24,
adc,ccr,vbaten,bit_width,,1,
adc,cfgr2,,address_offset,,0x10,
adc,cfgr2,,reset_value,0x0,0x00008000,
adc,cfgr2,,size,,32,
adc,cfgr2,jitoff_d2,bit_offset,,30,
adc,cfgr2,jitoff_d2,bit_width,,1,
adc,cfgr2,jitoff_d4,bit_offset,,31,
adc,cfgr2,jitoff_d4,bit_width,,1,
adc,cfgr2,ckmode,bit_offset,,,30
adc,cfgr2,ckmode,bit_width,,,2
adc,chselr,,address_offset,,0x28,
adc,chselr,,reset_value,,0x00000000,
adc,chselr,,size,,32,
adc,chselr,chsel0,bit_offset,,0,0
adc,chselr,chsel0,bit_width,,1,1
adc,chselr,chsel1,bit_offset,,1,1
adc,chselr,chsel1,bit_width,,1,1
adc,chselr,chsel10,bit_offset,,10,10
adc,chselr,chsel10,bit_width,,1,1
adc,chselr,chsel11,bit_offset,,11,11
adc,chselr,chsel11,bit_width,,1,1
adc,chselr,chsel12,bit_offset,,12,12
adc,chselr,chsel12,bit_width,,1,1
adc,chselr,chsel13,bit_offset,,13,13
adc,chselr,chsel13,bit_width,,1,1
adc,chselr,chsel14,bit_offset,,14,14
adc,chselr,chsel14,bit_width,,1,1
adc,chselr,chsel15,bit_offset,,15,15
adc,chselr,chsel15,bit_width,,1,1
adc,chselr,chsel16,bit_offset,,16,16
adc,chselr,chsel16,bit_width,,1,1
adc,chselr,chsel17,bit_offset,,17,17
adc,chselr,chsel17,bit_width,,1,1
adc,chselr,chsel2,bit_offset,,2,2
adc,chselr,chsel2,bit_width,,1,1
adc,chselr,chsel3,bit_offset,,3,3
adc,chselr,chsel3,bit_width,,1,1
adc,chselr,chsel4,bit_offset,,4,4
adc,chselr,chsel4,bit_width,,1,1
adc,chselr,chsel5,bit_offset,,5,5
adc,chselr,chsel5,bit_width,,1,1
adc,chselr,chsel6,bit_offset,,6,6
adc,chselr,chsel6,bit_width,,1,1
adc,chselr,chsel7,bit_offset,,7,7
adc,chselr,chsel7,bit_width,,1,1
adc,chselr,chsel8,bit_offset,,8,8
adc,chselr,chsel8,bit_width,,1,1
adc,chselr,chsel9,bit_offset,,9,9
adc,chselr,chsel9,bit_width,,1,1
adc,chselr,chsel18,bit_offset,,18,
adc,chselr,chsel18,bit_width,,1,
adc,cr,,address_offset,,0x8,
adc,cr,,reset_value,,0x00000000,
adc,cr,,size,,32,
adc,cr,adcal,bit_offset,,31,31
adc,cr,adcal,bit_width,,1,1
adc,cr,addis,bit_offset,,1,1
adc,cr,addis,bit_width,,1,1
adc,cr,aden,bit_offset,,0,0
adc,cr,aden,bit_width,,1,1
adc,cr,adstart,bit_offset,,2,2
adc,cr,adstart,bit_width,,1,1
adc,cr,adstp,bit_offset,,4,4
adc,cr,adstp,bit_width,,1,1
adc,dr,,address_offset,,0x40,
adc,dr,,reset_value,,0x00000000,
adc,dr,,size,,32,
adc,dr,data,bit_offset,,0,0
adc,dr,data,bit_width,,16,16
adc,ier,,address_offset,,0x4,
adc,ier,,reset_value,,0x00000000,
adc,ier,,size,,32,
adc,ier,adrdyie,bit_offset,,0,0
adc,ier,adrdyie,bit_width,,1,1
adc,ier,awdie,bit_offset,,7,7
adc,ier,awdie,bit_width,,1,1
adc,ier,eocie,bit_offset,,2,2
adc,ier,eocie,bit_width,,1,1
adc,ier,eosie,bit_offset,,3,3
adc,ier,eosie,bit_width,,1,1
adc,ier,eosmpie,bit_offset,,1,1
adc,ier,eosmpie,bit_width,,1,1
adc,ier,ovrie,bit_offset,,4,4
adc,ier,ovrie,bit_width,,1,1
adc,isr,,address_offset,,0x0,
adc,isr,,reset_value,,0x00000000,
adc,isr,,size,,32,
adc,isr,adrdy,bit_offset,,0,0
adc,isr,adrdy,bit_width,,1,1
adc,isr,awd,bit_offset,,7,7
adc,isr,awd,bit_width,,1,1
adc,isr,eoc,bit_offset,,2,2
adc,isr,eoc,bit_width,,1,1
adc,isr,eos,bit_offset,,3,3
adc,isr,eos,bit_width,,1,1
adc,isr,eosmp,bit_offset,,1,1
adc,isr,eosmp,bit_width,,1,1
adc,isr,ovr,bit_offset,,4,4
adc,isr,ovr,bit_width,,1,1
adc,smpr,,address_offset,,0x14,
adc,smpr,,reset_value,,0x00000000,
adc,smpr,,size,,32,
adc,smpr,smpr,bit_offset,,0,
adc,smpr,smpr,bit_width,,3,
adc,smpr,smp,bit_offset,,,0
adc,smpr,smp,bit_width,,,3
adc,tr,,address_offset,,0x20,
adc,tr,,reset_value,0xFFF0000,0x00000FFF,
adc,tr,,size,,32,
adc,tr,ht,bit_offset,,16,16
adc,tr,ht,bit_width,,12,12
adc,tr,lt,bit_offset,,0,0
adc,tr,lt,bit_width,,12,12
adc,cfgr1,,address_offset,,0xC,
adc,cfgr1,,reset_value,,0x00000000,
adc,cfgr1,,size,,32,
adc,cfgr1,align,bit_offset,,5,
adc,cfgr1,align,bit_width,,1,
adc,cfgr1,autdly,bit_offset,,14,
adc,cfgr1,autdly,bit_width,,1,
adc,cfgr1,autoff,bit_offset,,15,
adc,cfgr1,autoff,bit_width,,1,
adc,cfgr1,awdch,bit_offset,,26,
adc,cfgr1,awdch,bit_width,,5,
adc,cfgr1,awden,bit_offset,,23,
adc,cfgr1,awden,bit_width,,1,
adc,cfgr1,awdsgl,bit_offset,,22,
adc,cfgr1,awdsgl,bit_width,,1,
adc,cfgr1,cont,bit_offset,,13,
adc,cfgr1,cont,bit_width,,1,
adc,cfgr1,discen,bit_offset,,16,
adc,cfgr1,discen,bit_width,,1,
adc,cfgr1,dmacfg,bit_offset,,1,
adc,cfgr1,dmacfg,bit_width,,1,
adc,cfgr1,dmaen,bit_offset,,0,
adc,cfgr1,dmaen,bit_width,,1,
adc,cfgr1,exten,bit_offset,,10,
adc,cfgr1,exten,bit_width,,2,
adc,cfgr1,extsel,bit_offset,,6,
adc,cfgr1,extsel,bit_width,,3,
adc,cfgr1,ovrmod,bit_offset,,12,
adc,cfgr1,ovrmod,bit_width,,1,
adc,cfgr1,res,bit_offset,,3,
adc,cfgr1,res,bit_width,,2,
adc,cfgr1,scandir,bit_offset,,2,
adc,cfgr1,scandir,bit_width,,1,
crc,cr,,address_offset,,0x8,
crc,cr,,reset_value,,0x00000000,
crc,cr,,size,,32,
crc,cr,reset,bit_offset,,0,0
crc,cr,reset,bit_width,,1,1
crc,cr,rev_in,bit_offset,,5,5
crc,cr,rev_in,bit_width,,2,2
crc,cr,rev_out,bit_offset,,7,7
crc,cr,rev_out,bit_width,,1,1
crc,cr,polysize,bit_offset,,3,
crc,cr,polysize,bit_width,,2,
crc,dr,,address_offset,,0x0,
crc,dr,,reset_value,,0xFFFFFFFF,
crc,dr,,size,,32,
crc,dr,dr,bit_offset,,0,0
crc,dr,dr,bit_width,,32,32
crc,idr,,address_offset,,0x4,
crc,idr,,reset_value,,0x00000000,
crc,idr,,size,,32,
crc,idr,idr,bit_offset,,0,
crc,idr,idr,bit_width,,8,
crc,idr,idr[7:0],bit_offset,,,0
crc,idr,idr[7:0],bit_width,,,8
crc,init,,address_offset,0x10,0xC,
crc,init,,reset_value,,0xFFFFFFFF,
crc,init,,size,,32,
crc,init,init,bit_offset,,0,
crc,init,init,bit_width,,32,
crc,init,crc_init,bit_offset,,,0
crc,init,crc_init,bit_width,,,32
dbgmcu,apb1_fz,,address_offset,,0x8,
dbgmcu,apb1_fz,,reset_value,,0x0,
dbgmcu,apb1_fz,,size,,32,
dbgmcu,apb1_fz,dbg_i2c1_smbus_timeout,bit_offset,,21,21
dbgmcu,apb1_fz,dbg_i2c1_smbus_timeout,bit_width,,1,1
dbgmcu,apb1_fz,dbg_iwdg_stop,bit_offset,,12,12
dbgmcu,apb1_fz,dbg_iwdg_stop,bit_width,,1,1
dbgmcu,apb1_fz,dbg_tim14_stop,bit_offset,,8,8
dbgmcu,apb1_fz,dbg_tim14_stop,bit_width,,1,1
dbgmcu,apb1_fz,dbg_tim3_stop,bit_offset,,1,1
dbgmcu,apb1_fz,dbg_tim3_stop,bit_width,,1,1
dbgmcu,apb1_fz,dbg_tim6_stop,bit_offset,,4,4
dbgmcu,apb1_fz,dbg_tim6_stop,bit_width,,1,1
dbgmcu,apb1_fz,dbg_tim7_stop,bit_offset,,5,5
dbgmcu,apb1_fz,dbg_tim7_stop,bit_width,,1,1
dbgmcu,apb1_fz,dbg_wwdg_stop,bit_offset,,11,11
dbgmcu,apb1_fz,dbg_wwdg_stop,bit_width,,1,1
dbgmcu,apb1_fz,dbg_rtc_stop,bit_offset,,,10
dbgmcu,apb1_fz,dbg_rtc_stop,bit_width,,,1
dbgmcu,apb2_fz,,address_offset,,0xC,
dbgmcu,apb2_fz,,reset_value,,0x0,
dbgmcu,apb2_fz,,size,,32,
dbgmcu,apb2_fz,dbg_tim15_stop,bit_offset,,16,16
dbgmcu,apb2_fz,dbg_tim15_stop,bit_width,,1,1
dbgmcu,apb2_fz,dbg_tim16_stop,bit_offset,,17,17
dbgmcu,apb2_fz,dbg_tim16_stop,bit_width,,1,1
dbgmcu,apb2_fz,dbg_tim17_stop,bit_offset,,18,18
dbgmcu,apb2_fz,dbg_tim17_stop,bit_width,,1,1
dbgmcu,apb2_fz,dbg_tim1_stop,bit_offset,,11,11
dbgmcu,apb2_fz,dbg_tim1_stop,bit_width,,1,1
dbgmcu,cr,,address_offset,,0x4,
dbgmcu,cr,,reset_value,,0x0,
dbgmcu,cr,,size,,32,
dbgmcu,cr,dbg_standby,bit_offset,,2,2
dbgmcu,cr,dbg_standby,bit_width,,1,1
dbgmcu,cr,dbg_stop,bit_offset,,1,1
dbgmcu,cr,dbg_stop,bit_width,,1,1
dbgmcu,idcode,,address_offset,,0x0,
dbgmcu,idcode,,reset_value,,0x0,
dbgmcu,idcode,,size,,32,
dbgmcu,idcode,dev_id,bit_offset,,0,0
dbgmcu,idcode,dev_id,bit_width,,12,12
dbgmcu,idcode,rev_id,bit_offset,,16,16
dbgmcu,idcode,rev_id,bit_width,,16,16
dbgmcu,idcode,div_id,bit_offset,,12,
dbgmcu,idcode,div_id,bit_width,,4,
exti,emr,,address_offset,,0x4,
exti,emr,,reset_value,,0x00000000,
exti,emr,,size,,32,
exti,emr,mr0,bit_offset,,0,
exti,emr,mr0,bit_width,,1,
exti,emr,mr1,bit_offset,,1,
exti,emr,mr1,bit_width,,1,
exti,emr,mr10,bit_offset,,10,
exti,emr,mr10,bit_width,,1,
exti,emr,mr11,bit_offset,,11,
exti,emr,mr11,bit_width,,1,
exti,emr,mr12,bit_offset,,12,
exti,emr,mr12,bit_width,,1,
exti,emr,mr13,bit_offset,,13,
exti,emr,mr13,bit_width,,1,
exti,emr,mr14,bit_offset,,14,
exti,emr,mr14,bit_width,,1,
exti,emr,mr15,bit_offset,,15,
exti,emr,mr15,bit_width,,1,
exti,emr,mr16,bit_offset,,16,
exti,emr,mr16,bit_width,,1,
exti,emr,mr17,bit_offset,,17,
exti,emr,mr17,bit_width,,1,
exti,emr,mr18,bit_offset,,18,
exti,emr,mr18,bit_width,,1,
exti,emr,mr19,bit_offset,,19,
exti,emr,mr19,bit_width,,1,
exti,emr,mr2,bit_offset,,2,
exti,emr,mr2,bit_width,,1,
exti,emr,mr20,bit_offset,,20,
exti,emr,mr20,bit_width,,1,
exti,emr,mr21,bit_offset,,21,
exti,emr,mr21,bit_width,,1,
exti,emr,mr22,bit_offset,,22,
exti,emr,mr22,bit_width,,1,
exti,emr,mr23,bit_offset,,23,
exti,emr,mr23,bit_width,,1,
exti,emr,mr24,bit_offset,,24,
exti,emr,mr24,bit_width,,1,
exti,emr,mr25,bit_offset,,25,
exti,emr,mr25,bit_width,,1,
exti,emr,mr26,bit_offset,,26,
exti,emr,mr26,bit_width,,1,
exti,emr,mr27,bit_offset,,27,
exti,emr,mr27,bit_width,,1,
exti,emr,mr3,bit_offset,,3,
exti,emr,mr3,bit_width,,1,
exti,emr,mr4,bit_offset,,4,
exti,emr,mr4,bit_width,,1,
exti,emr,mr5,bit_offset,,5,
exti,emr,mr5,bit_width,,1,
exti,emr,mr6,bit_offset,,6,
exti,emr,mr6,bit_width,,1,
exti,emr,mr7,bit_offset,,7,
exti,emr,mr7,bit_width,,1,
exti,emr,mr8,bit_offset,,8,
exti,emr,mr8,bit_width,,1,
exti,emr,mr9,bit_offset,,9,
exti,emr,mr9,bit_width,,1,
