peripheral,register,field_name,alt_name,key,correct_value,svd_value,agent_value,status,page,set_method,derived_from
adc1,,,,base_address,0x50040000,0x50040000,,verified,9,human-verified,
adc1,isr,,,address_offset,0x0,0x0,,verified,7,human-verified,
adc1,isr,,,reset_value,0x00000000,0x00000000,,verified,7,human-verified,
adc1,isr,,,size,0x20,0x20,,verified,7,human-verified,
adc1,isr,adrdy,,bit_offset,0,0,,verified,7,human-verified,
adc1,isr,adrdy,,bit_width,1,1,,verified,7,human-verified,
adc1,isr,adrdy,,access,read-write,read-write,,verified,7,human-verified,
adc1,isr,eosmp,,bit_offset,1,1,,verified,7,human-verified,
adc1,isr,eosmp,,bit_width,1,1,,verified,7,human-verified,
adc1,isr,eosmp,,access,read-write,read-write,,verified,7,human-verified,
adc1,isr,eoc,,bit_offset,2,2,,verified,7,human-verified,
adc1,isr,eoc,,bit_width,1,1,,verified,7,human-verified,
adc1,isr,eoc,,access,read-write,read-write,,verified,7,human-verified,
adc1,isr,eos,,bit_offset,3,3,,verified,7,human-verified,
adc1,isr,eos,,bit_width,1,1,,verified,7,human-verified,
adc1,isr,eos,,access,read-write,read-write,,verified,7,human-verified,
adc1,isr,ovr,,bit_offset,4,4,,verified,7,human-verified,
adc1,isr,ovr,,bit_width,1,1,,verified,7,human-verified,
adc1,isr,ovr,,access,read-write,read-write,,verified,7,human-verified,
adc1,isr,jeoc,,bit_offset,5,5,,verified,7,human-verified,
adc1,isr,jeoc,,bit_width,1,1,,verified,7,human-verified,
adc1,isr,jeoc,,access,read-write,read-write,,verified,7,human-verified,
adc1,isr,jeos,,bit_offset,6,6,,verified,7,human-verified,
adc1,isr,jeos,,bit_width,1,1,,verified,7,human-verified,
adc1,isr,jeos,,access,read-write,read-write,,verified,7,human-verified,
adc1,isr,awd%s,awd1,bit_offset,7,7,,verified,7,human-verified,
adc1,isr,awd%s,awd1,bit_width,1,1,,verified,7,human-verified,
adc1,isr,awd%s,awd1,access,read-write,read-write,,verified,7,human-verified,
adc1,isr,awd2,,bit_offset,8,8,,verified,7,human-verified,
adc1,isr,awd2,,bit_width,1,1,,verified,7,human-verified,
adc1,isr,awd2,,access,read-write,read-write,,verified,7,human-verified,
adc1,isr,awd3,,bit_offset,9,9,,verified,7,human-verified,
adc1,isr,awd3,,bit_width,1,1,,verified,7,human-verified,
adc1,isr,awd3,,access,read-write,read-write,,verified,7,human-verified,
adc1,isr,jqovf,,bit_offset,10,10,,verified,7,human-verified,
adc1,isr,jqovf,,bit_width,1,1,,verified,7,human-verified,
adc1,isr,jqovf,,access,read-write,read-write,,verified,7,human-verified,
adc1,ier,,,address_offset,,0x4,,,,,
adc1,ier,,,reset_value,,0x00000000,,,,,
adc1,ier,,,size,,0x20,,,,,
adc1,ier,adrdyie,,bit_offset,,0,,,,,
adc1,ier,adrdyie,,bit_width,,1,,,,,
adc1,ier,adrdyie,,access,,read-write,,,,,
adc1,ier,eosmpie,,bit_offset,,1,,,,,
adc1,ier,eosmpie,,bit_width,,1,,,,,
adc1,ier,eosmpie,,access,,read-write,,,,,
adc1,ier,eocie,,bit_offset,,2,,,,,
adc1,ier,eocie,,bit_width,,1,,,,,
adc1,ier,eocie,,access,,read-write,,,,,
adc1,ier,eosie,,bit_offset,,3,,,,,
adc1,ier,eosie,,bit_width,,1,,,,,
adc1,ier,eosie,,access,,read-write,,,,,
adc1,ier,ovrie,,bit_offset,,4,,,,,
adc1,ier,ovrie,,bit_width,,1,,,,,
adc1,ier,ovrie,,access,,read-write,,,,,
adc1,ier,jeocie,,bit_offset,,5,,,,,
adc1,ier,jeocie,,bit_width,,1,,,,,
adc1,ier,jeocie,,access,,read-write,,,,,
adc1,ier,jeosie,,bit_offset,,6,,,,,
