peripheral,register,field_name,key,correct_value
,,,,
dbg,idcode,,reset_value,0x10000443
dma,cndtr2,,address_offset,0x20
dmamux,c0cr,dmareq_id,bit_offset,0
dmamux,c1cr,nbreq,bit_offset,19
dmamux,c1cr,se,bit_offset,16
dmamux,c1cr,spol,bit_offset,17
dmamux,c1cr,sync_id,bit_offset,24
dmamux,c2cr,nbreq,bit_offset,19
dmamux,c2cr,nbreq,bit_width,5
dmamux,c2cr,se,bit_offset,16
dmamux,c2cr,spol,bit_offset,17
dmamux,c2cr,sync_id,bit_width,5
dmamux,rg0cr,gnbreq,bit_offset,19
dmamux,rg0cr,gpol,bit_offset,17
dmamux,rg0cr,oie,bit_offset,8
dmamux,rg1cr,ge,bit_offset,16
dmamux,rg1cr,gnbreq,bit_offset,19
dmamux,rg1cr,gnbreq,bit_width,5
dmamux,rg1cr,gpol,bit_offset,17
dmamux,rg1cr,oie,bit_offset,8
dmamux,rg1cr,sig_id,bit_width,5
dmamux,rg3cr,ge,bit_offset,16
dmamux,rg3cr,gnbreq,bit_offset,19
dmamux,rg3cr,gpol,bit_offset,17
dmamux,rg3cr,oie,bit_offset,8
flash,cr,pnb,bit_width,7
flash,pcrop1aer,pcrop1a_end,bit_width,9
flash,pcrop1asr,pcrop1a_strt,bit_width,9
flash,pcrop1ber,pcrop1b_end,bit_width,9
flash,pcrop1bsr,pcrop1b_strt,bit_width,9
flash,secr,sec_size,bit_width,7
flash,wrp1ar,wrp1a_end,bit_width,7
flash,wrp1ar,wrp1a_strt,bit_width,7
flash,wrp1br,wrp1b_end,bit_width,7
flash,wrp1br,wrp1b_strt,bit_width,7
rcc,ahbsmenr,,reset_value,0x1301
rcc,apbsmenr1,,reset_value,0x186F7C03
rcc,cfgr,hpre,bit_offset,8
rcc,cfgr,mcosel,bit_width,4
rcc,cfgr,sw,bit_width,3
rcc,cfgr,sws,bit_offset,3
rcc,cfgr,sws,bit_width,3
rcc,cr,,reset_value,0x1540
rcc,cr,hsion,bit_offset,8
rcc,cr,hsirdy,bit_offset,10
rcc,csr1,lsedrv,bit_width,1
rcc,icscr,hsitrim,bit_offset,8
rcc,iopsmenr,,reset_value,0x2F
rtc,alrmassr,,address_offset,0x44
syscfg,cfgr1,,reset_value,0x0000 000X
syscfg,itline4,rcc,bit_offset,0
tim14,arr,,address_offset,0x2C
tim14,arr,,reset_value,0xFFFF
tim14,ccer,,address_offset,0x20
tim14,ccr1,,address_offset,0x34
tim14,cnt,,address_offset,0x24
tim14,egr,,address_offset,0x14
tim14,psc,,address_offset,0x28
tim16,cnt,cnt,bit_offset,0
tim16,cr2,ois1,bit_offset,8
tim16,cr2,ois1n,bit_offset,9
tim16,dmar,dmab,bit_offset,0
tim16,rcr,rep,bit_width,8
tim17,arr,arr,bit_offset,0
tim17,cnt,cnt,bit_width,16
tim3,arr,,reset_value,0xFFFFFFFF
tim3,arr,arr,bit_width,32
tim3,cnt,,address_offset,0x24
tim3,dier,cc3de,bit_offset,11
tim3,dier,cc4de,bit_offset,12
tim3,dmar,dmab,bit_width,16
