peripheral,register,field_name,key,correct_value,svd_value,agent_value
adc,awd1tr,,address_offset,,0x20,
adc,awd1tr,,reset_value,,0x0FFF0000,
adc,awd1tr,,size,,32,
adc,awd1tr,ht1,bit_offset,,16,
adc,awd1tr,ht1,bit_width,,12,
adc,awd1tr,lt1,bit_offset,,0,
adc,awd1tr,lt1,bit_width,,12,
adc,awd1tr,ht1[11:0],bit_offset,,,16
adc,awd1tr,ht1[11:0],bit_width,,,12
adc,awd1tr,lt1[11:0],bit_offset,,,0
adc,awd1tr,lt1[11:0],bit_width,,,12
adc,awd2cr,,address_offset,,0xa0,
adc,awd2cr,,reset_value,,0x00000000,
adc,awd2cr,,size,,32,
adc,awd2cr,awd2ch0,bit_offset,,0,
adc,awd2cr,awd2ch0,bit_width,,1,
adc,awd2cr,awd2ch1,bit_offset,,1,
adc,awd2cr,awd2ch1,bit_width,,1,
adc,awd2cr,awd2ch10,bit_offset,,10,
adc,awd2cr,awd2ch10,bit_width,,1,
adc,awd2cr,awd2ch11,bit_offset,,11,
adc,awd2cr,awd2ch11,bit_width,,1,
adc,awd2cr,awd2ch12,bit_offset,,12,
adc,awd2cr,awd2ch12,bit_width,,1,
adc,awd2cr,awd2ch13,bit_offset,,13,
adc,awd2cr,awd2ch13,bit_width,,1,
adc,awd2cr,awd2ch14,bit_offset,,14,
adc,awd2cr,awd2ch14,bit_width,,1,
adc,awd2cr,awd2ch15,bit_offset,,15,
adc,awd2cr,awd2ch15,bit_width,,1,
adc,awd2cr,awd2ch16,bit_offset,,16,
adc,awd2cr,awd2ch16,bit_width,,1,
adc,awd2cr,awd2ch17,bit_offset,,17,
adc,awd2cr,awd2ch17,bit_width,,1,
adc,awd2cr,awd2ch18,bit_offset,,18,
adc,awd2cr,awd2ch18,bit_width,,1,
adc,awd2cr,awd2ch19,bit_offset,,19,
adc,awd2cr,awd2ch19,bit_width,,1,
adc,awd2cr,awd2ch2,bit_offset,,2,
adc,awd2cr,awd2ch2,bit_width,,1,
adc,awd2cr,awd2ch20,bit_offset,,20,
adc,awd2cr,awd2ch20,bit_width,,1,
adc,awd2cr,awd2ch21,bit_offset,,21,
adc,awd2cr,awd2ch21,bit_width,,1,
adc,awd2cr,awd2ch22,bit_offset,,22,
adc,awd2cr,awd2ch22,bit_width,,1,
adc,awd2cr,awd2ch3,bit_offset,,3,
adc,awd2cr,awd2ch3,bit_width,,1,
adc,awd2cr,awd2ch4,bit_offset,,4,
adc,awd2cr,awd2ch4,bit_width,,1,
adc,awd2cr,awd2ch5,bit_offset,,5,
adc,awd2cr,awd2ch5,bit_width,,1,
adc,awd2cr,awd2ch6,bit_offset,,6,
adc,awd2cr,awd2ch6,bit_width,,1,
adc,awd2cr,awd2ch7,bit_offset,,7,
adc,awd2cr,awd2ch7,bit_width,,1,
adc,awd2cr,awd2ch8,bit_offset,,8,
adc,awd2cr,awd2ch8,bit_width,,1,
adc,awd2cr,awd2ch9,bit_offset,,9,
adc,awd2cr,awd2ch9,bit_width,,1,
adc,awd2cr,awd2ch[22:0],bit_offset,,,0
adc,awd2cr,awd2ch[22:0],bit_width,,,23
